Run	Value	MetricType	Model
1	0.6415469627882608	Pearson	Seq
1	0.5830364903858244	Spearman	Seq
1	0.1794	MSE	Seq
1	0.6013606062791987	Pearson_MSE0.3	Seq
1	0.5606700543324634	Spearman_MSE0.3	Seq
1	0.2878	MSE_MSE0.3	Seq
1	0.6605700844176629	Pearson_MSE0.3_Same	Seq
1	0.5886914859485806	Spearman_MSE0.3_Same	Seq
1	0.2064	MSE_MSE0.3_Same	Seq
1	0.6049919146696074	Pearson_MSE0.3_AtoB	Seq
1	0.5614079777432911	Spearman_MSE0.3_AtoB	Seq
1	0.2808	MSE_MSE0.3_AtoB	Seq
1	0.5655822527479182	Pearson_MSE0.3_BtoA	Seq
1	0.5327221726840599	Spearman_MSE0.3_BtoA	Seq
1	0.3733	MSE_MSE0.3_BtoA	Seq
1	0.47996256953083444	Pearson_Diff	Seq
1	0.30822151184876456	Spearman_Diff	Seq
1	0.1698	MSE_Diff	Seq
1	0.3598733136148534	Pearson_Diff_Same	Seq
1	0.19679407477538635	Spearman_Diff_Same	Seq
1	0.1241	MSE_Diff_Same	Seq
1	0.600655613654469	Pearson_Diff_AtoB	Seq
1	0.48606744377879985	Spearman_Diff_AtoB	Seq
1	0.2133	MSE_Diff_AtoB	Seq
1	0.47645762709370126	Pearson_Diff_BtoA	Seq
1	0.3567035327585853	Spearman_Diff_BtoA	Seq
1	0.2756	MSE_Diff_BtoA	Seq
2	0.6397581772567486	Pearson	Seq
2	0.5811969734112591	Spearman	Seq
2	0.186	MSE	Seq
2	0.6037133979505923	Pearson_MSE0.3	Seq
2	0.5606028794260484	Spearman_MSE0.3	Seq
2	0.2883	MSE_MSE0.3	Seq
2	0.5751918502862612	Pearson_MSE0.3_Same	Seq
2	0.5279854854989677	Spearman_MSE0.3_Same	Seq
2	0.2517	MSE_MSE0.3_Same	Seq
2	0.5897066784554996	Pearson_MSE0.3_AtoB	Seq
2	0.5375323001934916	Spearman_MSE0.3_AtoB	Seq
2	0.2932	MSE_MSE0.3_AtoB	Seq
2	0.6571258665343185	Pearson_MSE0.3_BtoA	Seq
2	0.6282068005172262	Spearman_MSE0.3_BtoA	Seq
2	0.3115	MSE_MSE0.3_BtoA	Seq
2	0.48413305626989933	Pearson_Diff	Seq
2	0.3089084761058299	Spearman_Diff	Seq
2	0.1737	MSE_Diff	Seq
2	0.3370352003231309	Pearson_Diff_Same	Seq
2	0.19634434997864425	Spearman_Diff_Same	Seq
2	0.1317	MSE_Diff_Same	Seq
2	0.5727524212399075	Pearson_Diff_AtoB	Seq
2	0.45604319346595024	Spearman_Diff_AtoB	Seq
2	0.2292	MSE_Diff_AtoB	Seq
2	0.5595688897153646	Pearson_Diff_BtoA	Seq
2	0.40854769657753676	Spearman_Diff_BtoA	Seq
2	0.2458	MSE_Diff_BtoA	Seq
4	0.622608178805069	Pearson	Seq
4	0.5662597983499214	Spearman	Seq
4	0.1929	MSE	Seq
4	0.6243382152534578	Pearson_MSE0.3	Seq
4	0.5650311392548829	Spearman_MSE0.3	Seq
4	0.2708	MSE_MSE0.3	Seq
4	0.6434577573648681	Pearson_MSE0.3_Same	Seq
4	0.5582345432543312	Spearman_MSE0.3_Same	Seq
4	0.216	MSE_MSE0.3_Same	Seq
4	0.5786094525207008	Pearson_MSE0.3_AtoB	Seq
4	0.5205413851938996	Spearman_MSE0.3_AtoB	Seq
4	0.2888	MSE_MSE0.3_AtoB	Seq
4	0.6871587157411834	Pearson_MSE0.3_BtoA	Seq
4	0.6432506320369382	Spearman_MSE0.3_BtoA	Seq
4	0.2852	MSE_MSE0.3_BtoA	Seq
4	0.4851942915899238	Pearson_Diff	Seq
4	0.30164525810874093	Spearman_Diff	Seq
4	0.1715	MSE_Diff	Seq
4	0.32677107671391586	Pearson_Diff_Same	Seq
4	0.18086007922376465	Spearman_Diff_Same	Seq
4	0.1373	MSE_Diff_Same	Seq
4	0.5713525220734019	Pearson_Diff_AtoB	Seq
4	0.4435677912345415	Spearman_Diff_AtoB	Seq
4	0.2219	MSE_Diff_AtoB	Seq
4	0.5987063843927749	Pearson_Diff_BtoA	Seq
4	0.44656413925707295	Spearman_Diff_BtoA	Seq
4	0.2218	MSE_Diff_BtoA	Seq
5	0.6226708231515725	Pearson	Seq
5	0.5678144898374665	Spearman	Seq
5	0.1934	MSE	Seq
5	0.5982884990471534	Pearson_MSE0.3	Seq
5	0.541611261823392	Spearman_MSE0.3	Seq
5	0.2854	MSE_MSE0.3	Seq
5	0.5923079910633188	Pearson_MSE0.3_Same	Seq
5	0.498882450942945	Spearman_MSE0.3_Same	Seq
5	0.238	MSE_MSE0.3_Same	Seq
5	0.5904300558140995	Pearson_MSE0.3_AtoB	Seq
5	0.5325021230810918	Spearman_MSE0.3_AtoB	Seq
5	0.286	MSE_MSE0.3_AtoB	Seq
5	0.6257827197564241	Pearson_MSE0.3_BtoA	Seq
5	0.5918739561678387	Spearman_MSE0.3_BtoA	Seq
5	0.3264	MSE_MSE0.3_BtoA	Seq
5	0.48518975674341597	Pearson_Diff	Seq
5	0.3019048675393763	Spearman_Diff	Seq
5	0.1714	MSE_Diff	Seq
5	0.3306340014188939	Pearson_Diff_Same	Seq
5	0.180742199543631	Spearman_Diff_Same	Seq
5	0.1324	MSE_Diff_Same	Seq
5	0.5872478691663859	Pearson_Diff_AtoB	Seq
