seqid	CTCF2vs1	CTCF3vs1	CTCF4vs1	CTCF5vs1
0	0.008095	0.01192	0.01778	0.02058
1	-0.0329	-0.04105	-0.06238	-0.0763
2	0.001758	0.00551	0.00397	0.0008535
3	-0.01516	-0.02887	-0.0445	-0.0572
4	0.003813	-0.0094	-0.00919	-0.01272
5	0.00143	-0.00391	-0.0184	-0.02505
6	-0.014496	-0.01733	-0.04645	-0.04932
7	0.001388	-0.03091	-0.04175	-0.07825
8	0.00901	0.002974	-0.01244	-0.0257
9	0.0002176	-0.0006227	-0.01334	-0.01715
10	-0.01674	-0.02023	-0.0379	-0.05063
11	0.002924	-0.01343	-0.03078	-0.05347
12	-0.00418	-0.012794	-0.0247	-0.02945
13	0.01007	-0.0086	-0.04468	-0.0651
14	0.003576	0.0054	0.01643	0.01749
15	0.002611	-0.01692	-0.0335	-0.06183
16	-0.01878	-0.01878	-0.0682	-0.08136
17	-0.009834	-0.00954	-0.0381	-0.04498
18	0.00637	-0.01428	-0.0362	-0.06177
19	0.003565	0.01431	0.02061	0.0277
20	-0.003853	-0.02344	-0.0366	-0.0491
21	-0.005306	-0.01113	-0.0184	-0.04648
22	0.00451	-0.0119	-0.04126	-0.0681
23	0.004784	0.00879	0.01918	0.0259
24	-0.002256	-0.005863	-0.009636	-0.0255
25	-0.03693	-0.03598	-0.0759	-0.0834
26	0.000214	-0.01512	-0.02277	-0.02962
27	0.001048	-0.01134	-0.02249	-0.03546
28	0.00401	0.002274	-0.01318	-0.02763
29	0.002583	0.01092	0.0167	0.02708
30	-0.001806	-0.003176	-0.01091	-0.01645
31	-0.04092	-0.0553	-0.06793	-0.07886
32	-0.01143	-0.027	-0.04703	-0.04956
33	-0.00848	-0.0258	-0.02763	-0.03607
34	-0.006645	-0.02141	-0.03867	-0.04224
35	0.0007534	0.001987	0.003017	0.000608
36	0.001609	0.002604	0.0065	0.00553
37	-0.01518	-0.02779	-0.0449	-0.05435
38	-0.005352	-0.00831	-0.0164	-0.03412
39	0.01611	0.02364	0.02615	0.03075
40	-0.00833	-0.0204	-0.03888	-0.0523
41	-0.00975	-0.02449	-0.0374	-0.03754
42	-0.01017	-0.024	-0.03806	-0.05865
43	-0.005116	-0.01563	-0.03882	-0.07007
44	0.001694	-0.002352	-0.004692	-0.01429
45	0.000728	-0.007675	-0.01965	-0.01599
46	-0.001747	0.00596	0.01897	0.01942
47	-0.02338	-0.01822	-0.05185	-0.0603
48	-0.00546	-0.00973	-0.01689	-0.03348
49	-0.0026	-0.00599	-0.00221	-0.001346
50	-0.0007157	-0.02289	-0.04187	-0.05167
51	0.00258	0.006153	0.01901	0.02039
52	-0.004555	-0.000419	-0.002604	-0.002476
53	-0.001728	-0.009	-0.0331	-0.03833
54	0.003342	0.001117	-0.01584	-0.03818
55	-0.001581	-0.003511	-0.003777	-0.004425
56	-0.00437	-0.00663	-0.03023	-0.03375
57	0.003803	-0.008095	-0.02904	-0.03119
58	-0.0196	-0.02678	-0.04077	-0.04865
59	-0.000833	-0.01275	-0.0346	-0.0428
60	0.003374	0.000808	0.006855	0.006424
61	0.003347	0.009224	0.00783	0.0088
62	-0.0143	-0.0355	-0.05023	-0.063
63	-0.02452	-0.03064	-0.06616	-0.08484
64	-0.001843	-0.007004	-0.02104	-0.02461
65	0.001946	-0.007633	-0.01143	-0.0216
66	0.002974	0.002167	-0.004192	-0.001841
67	0.009865	0.00879	0.002983	-0.002594
68	0.00399	-0.01255	-0.01514	-0.05493
69	0.001938	-0.007935	-0.02382	-0.03564
70	-0.001821	-0.00582	-0.02405	-0.0484
71	0.004555	0.001323	0.001233	-0.001522
72	-0.002697	-0.008545	-0.00985	-0.0123
73	0.001391	-0.01656	-0.03952	-0.06354
74	-0.008804	-0.023	-0.044	-0.0482
75	-0.01941	-0.05862	-0.07983	-0.09406
76	-0.002125	-0.007458	-0.00871	-0.01287
77	-0.01179	-0.01171	-0.02975	-0.05353
78	-0.01405	-0.03464	-0.05176	-0.0858
79	0.0004523	-0.01055	-0.0328	-0.03546
80	-0.0065	-0.02078	-0.04565	-0.05423
81	-0.01448	-0.02228	-0.0481	-0.0609
82	-0.00605	-0.00762	-0.02075	-0.044
83	-0.003563	-0.0225	-0.03754	-0.0505
84	0.0002381	-0.008835	-0.0212	-0.02237
85	-0.008316	-0.01304	-0.03687	-0.064
86	0.00121	-0.012314	-0.0539	-0.07574
87	0.00626	-0.0111	-0.01852	-0.0558
88	0.009346	-0.03143	-0.04044	-0.05597
89	-0.004887	-0.00534	-0.01459	-0.02647
90	-0.015045	-0.02834	-0.03705	-0.048
91	0.001025	-0.02762	-0.02994	-0.0385
92	-0.00632	-0.02936	-0.03464	-0.0662
93	-0.005707	-0.01588	-0.0168	-0.02058
94	-0.00287	-0.013306	-0.01446	-0.02605
95	-0.001411	-0.01255	-0.01627	-0.01964
96	-0.0016	-0.01077	-0.03061	-0.0453
97	-0.002186	-0.01005	-0.02737	-0.04138
98	-0.008255	-0.01575	-0.0311	-0.0371
99	0.001966	-0.00949	-0.01573	-0.02145
