Seqid	RNA1	RNA2	RNA3	RNA4
0	-0.0002419	-0.0005164	-0.0007977	-0.001079
1	-0.000144	-0.0002966	-0.000488	-0.0006933
2	-0.0001376	-0.0002935	-0.0004861	-0.0007133
3	-0.0001027	-0.0001978	-0.000277	-0.0003965
4	-0.0003965	-0.0007706	-0.001118	-0.001464
5	-0.0006943	-0.001473	-0.002249	-0.003033
6	-0.000288	-0.000533	-0.000807	-0.001114
7	-0.0001966	-0.0004218	-0.000673	-0.001003
8	-0.000423	-0.0008335	-0.001201	-0.001536
9	-0.0008917	-0.001791	-0.0027	-0.003584
10	-0.0001348	-0.000279	-0.0004022	-0.000597
11	-0.0008216	-0.001574	-0.002312	-0.00305
12	-0.0003643	-0.000725	-0.001086	-0.001469
13	-5.513e-05	-0.0001046	-0.0001677	-0.0002592
14	-0.0003257	-0.000685	-0.001072	-0.001434
15	-0.0002668	-0.000577	-0.0008845	-0.001219
16	-0.000152	-0.0002809	-0.0004551	-0.0006595
17	-0.000365	-0.000779	-0.001189	-0.001593
18	-0.0004041	-0.0008097	-0.001224	-0.001569
19	-0.0002913	-0.000589	-0.000918	-0.0013075
20	-0.000758	-0.001533	-0.00229	-0.002996
21	-0.0003543	-0.0007052	-0.001042	-0.001401
22	-0.0001911	-0.0003862	-0.000612	-0.0008583
23	-0.000733	-0.001442	-0.002148	-0.002861
24	-3.374e-05	4.3e-06	4.596e-05	0.0001421
25	-0.0003262	-0.000651	-0.000942	-0.001237
26	-0.0001254	-0.0002363	-0.0003376	-0.0004427
27	-0.000383	-0.000798	-0.001244	-0.001646
28	-0.0001733	-0.0003865	-0.0006323	-0.0008616
29	-6.06e-05	-0.0001108	-0.0001678	-0.0002031
30	-0.0001165	-0.0002434	-0.0003824	-0.00052
31	-0.000972	-0.001932	-0.0029	-0.003902
32	-0.000566	-0.001108	-0.00168	-0.002268
33	-0.000836	-0.001582	-0.002306	-0.003063
34	-0.00029	-0.0004964	-0.0006523	-0.000808
35	-0.0002285	-0.000457	-0.000728	-0.0009713
36	-0.0001507	-0.0003421	-0.0005713	-0.000776
37	-0.0003743	-0.000762	-0.00113	-0.001534
38	-0.0001687	-0.000262	-0.0003483	-0.000414
39	9.57e-05	0.0001631	0.0001217	0.00010234
40	-0.0001798	-0.0004041	-0.0006657	-0.000932
41	-0.0002658	-0.0005627	-0.0008903	-0.001276
42	-0.0002642	-0.0005183	-0.000882	-0.001264
43	-0.0001063	-0.0001838	-0.0002794	-0.0003517
44	-0.0004203	-0.000846	-0.001268	-0.001679
45	-0.0003471	-0.0005217	-0.000768	-0.001075
46	-5.364e-05	-8.58e-05	-9.97e-05	-0.00010943
47	0.0002345	0.0004442	0.0006166	0.000766
48	-0.0003777	-0.000725	-0.001047	-0.001362
49	5.317e-05	9.75e-05	0.0001246	0.0001413
50	-0.0003023	-0.000609	-0.000868	-0.001169
51	-0.0001066	-0.0001853	-0.0002785	-0.0003686
52	-0.0005083	-0.001201	-0.001884	-0.002571
53	-0.0002363	-0.0004141	-0.000574	-0.00076
54	-0.000182	-0.0004132	-0.000673	-0.000978
55	-0.0003915	-0.000764	-0.001145	-0.001538
56	-0.0004992	-0.000987	-0.001464	-0.0018835
57	-0.0005407	-0.001106	-0.001728	-0.00236
58	-0.0004408	-0.0009217	-0.001442	-0.001934
59	-0.0002832	-0.000555	-0.000872	-0.001129
