Seqid	RNA1	RNA2	RNA3	RNA4
0	7.57e-06	6.8e-05	0.0001447	0.000237
1	0.0001256	0.0003169	0.000469	0.000579
2	3.654e-05	9.73e-05	0.0001876	0.0002923
3	1.824e-05	3.475e-05	8.565e-05	0.0001863
4	7.3e-05	0.0002061	0.0003746	0.0005655
5	7.445e-05	0.0001394	0.0002035	0.000256
6	1.96e-05	4.506e-05	0.00011045	0.0002426
7	5.347e-05	9.1e-05	0.000122	0.000142
8	3.89e-05	0.0001246	0.0002339	0.0003495
9	0.0002198	0.0003912	0.0005884	0.0007844
10	0.0001291	0.0002613	0.0003722	0.00052
11	0.0001462	0.0002754	0.0004091	0.000569
12	0.00011355	0.0001489	0.0001885	0.000235
13	6.85e-06	-4.35e-06	-6e-08	3.49e-05
14	7.08e-05	0.0001942	0.0003104	0.000451
15	6.264e-05	0.0001341	0.0001905	0.0002259
16	0.0001774	0.000368	0.000554	0.000752
17	0.0003164	0.0006475	0.001021	0.001397
18	5.27e-05	0.0001315	0.0002335	0.0003264
19	0.000133	0.000278	0.0003886	0.0004869
20	0.0001409	0.0003014	0.0004668	0.0006356
21	0.0002806	0.000555	0.000817	0.001072
22	-2.396e-05	-5.35e-05	-6.735e-05	-6.807e-05
23	0.0001299	0.00029	0.0004818	0.000689
24	8.416e-05	0.0003405	0.000685	0.00105
25	0.0001543	0.0003214	0.000511	0.000731
26	0.0002527	0.0004797	0.0007305	0.001006
27	3.16e-05	1.92e-05	3.564e-05	6.294e-05
28	2.956e-05	9.5e-05	0.0001715	0.0002694
29	0.0002885	0.00062	0.0009637	0.001331
30	0.000105	0.0002186	0.0003536	0.00056
31	0.000247	0.000476	0.0006576	0.000807
32	-1.967e-05	-4.1e-05	-6.175e-05	-9.56e-05
33	0.0002446	0.000509	0.000787	0.001045
34	0.0001787	0.0003443	0.00052	0.0006847
35	0.0002097	0.0004623	0.0007334	0.0009985
36	9.86e-05	0.0002129	0.000395	0.000619
37	-5.22e-05	-9.02e-05	-0.0001065	-0.00012046
38	0.00012195	0.0002487	0.0003831	0.000536
39	0.0001122	0.000222	0.0003264	0.000417
40	-1.055e-05	1.48e-05	4.905e-05	8.52e-05
41	0.0002422	0.0005183	0.0008583	0.001224
42	0.0001453	0.0002947	0.000391	0.0004945
43	0.000383	0.0007863	0.001201	0.001629
44	4.566e-05	0.0001599	0.0002968	0.0004203
45	1.8e-06	7.01e-05	0.0001626	0.0003257
46	0.0001858	0.00038	0.0005536	0.000718
47	0.0003226	0.0006247	0.000946	0.001257
48	0.000134	0.000316	0.0005393	0.0008082
49	0.0001664	0.0003521	0.000518	0.000707
50	-3.3e-06	-1.65e-05	-5.59e-05	-0.00010586
51	2.15e-05	4.745e-05	7.43e-05	0.0001035
52	-0.0001397	-0.0002487	-0.0002491	-0.0002468
53	7.236e-05	0.0001164	0.0001795	0.0002472
54	9.04e-05	0.0002155	0.0003934	0.000554
55	0.0001264	0.0002419	0.0003712	0.000516
56	0.00011474	0.0002565	0.0003762	0.0004637
57	9.59e-05	9.9e-05	0.0001264	0.0002104
58	-2.7e-05	-5.83e-05	-8.667e-05	-0.00011605
59	9.4e-05	0.0001937	0.0003402	0.0006065
