Seqid	RNA1	RNA2	RNA3	RNA4
0	-4.065e-05	-7.784e-05	-9.71e-05	-0.00012076
1	3.95e-05	5.394e-05	7.325e-05	7.886e-05
2	1.526e-05	4.67e-05	5.43e-05	7.164e-05
3	-0.0001025	-0.0002425	-0.000391	-0.0005255
4	-9.28e-05	-0.0002046	-0.0003285	-0.0004447
5	-5.52e-05	-0.0001649	-0.0002694	-0.0003734
6	4e-05	6.13e-05	0.0001192	0.0001836
7	-4.48e-05	-9.98e-05	-0.0001585	-0.0002058
8	0.00010884	0.0002236	0.0003304	0.000435
9	3.916e-05	7.284e-05	8.506e-05	9.6e-05
10	-0.00011325	-0.0002269	-0.0003362	-0.0004556
11	-4.81e-05	-0.0001084	-0.0001554	-0.0002047
12	-0.000183	-0.0003495	-0.00052	-0.000673
13	1.23e-05	7.45e-06	-7.01e-05	-0.0001861
14	3.725e-05	5.15e-05	0.0001023	0.0001659
15	-9.55e-05	-0.0001978	-0.0002952	-0.0003736
16	9.66e-05	0.0001715	0.0002468	0.0003326
17	-7.4e-06	-2.897e-05	-4.8e-05	-5.37e-05
18	4.25e-05	9.81e-05	0.0001515	0.0002085
19	-0.0001541	-0.0003057	-0.000458	-0.0006304
20	-6.5e-05	-0.0001484	-0.0002278	-0.0003214
21	4.804e-05	0.000115	0.0001776	0.0002468
22	-3.374e-05	-9.847e-05	-0.0001596	-0.0002283
23	-7.9e-06	-7.87e-06	1.44e-05	5.186e-05
24	-0.0002046	-0.0004377	-0.000723	-0.00098
25	-3.85e-05	-9.55e-05	-0.0001621	-0.0002062
26	-0.0002364	-0.000504	-0.000768	-0.001016
27	-6.02e-05	-0.0001271	-0.0001906	-0.0002577
28	-0.00010055	-0.0001907	-0.000262	-0.000348
29	6.48e-05	0.0001228	0.0001566	0.0001848
30	1.16e-05	4.286e-05	6.646e-05	0.0001086
31	8.86e-05	0.000188	0.0002816	0.0003512
32	-0.0001477	-0.0003018	-0.0004451	-0.00058
33	-0.0001422	-0.0003033	-0.000473	-0.0006146
34	-0.0001853	-0.000379	-0.0005636	-0.000755
35	-0.00010103	-0.0001765	-0.0003119	-0.000443
36	-4.66e-05	-6.78e-05	-9.537e-05	-0.00011945
37	6.44e-06	-1.067e-05	-3.98e-05	-7.504e-05
38	-7.015e-05	-0.0001761	-0.0002773	-0.0003765
39	-9.805e-05	-0.0001891	-0.0002904	-0.000423
40	-0.0001028	-0.0002285	-0.0003486	-0.000471
41	-0.0001792	-0.000393	-0.00056	-0.0006742
42	-0.0001276	-0.000244	-0.0003753	-0.0005116
43	5.1e-06	-2.3e-06	5.66e-06	-5.25e-06
44	-5.716e-05	-0.0001321	-0.0002037	-0.0002809
45	-0.0003333	-0.0006504	-0.0009537	-0.001248
46	-8.446e-05	-0.0001692	-0.000239	-0.000314
47	0.0001227	0.0002306	0.0003445	0.0004566
48	9.41e-05	0.0002109	0.0003123	0.0004232
49	-0.0001487	-0.0002916	-0.000454	-0.00062
50	5.597e-05	0.00011367	0.0001838	0.0002284
51	2.76e-05	5.99e-05	8.99e-05	0.00011694
52	-0.0001926	-0.0003622	-0.0005293	-0.000716
53	3.463e-05	5.764e-05	9.14e-05	0.00011814
54	-7.48e-05	-0.0001773	-0.000279	-0.000382
55	-5.543e-05	-0.0001108	-0.000185	-0.0002856
56	-0.00012076	-0.0002182	-0.0003047	-0.0003924
57	-0.0001731	-0.0003276	-0.0004587	-0.000588
58	-5.01e-05	-0.00010777	-0.0001646	-0.0002145
59	1.01e-05	5.54e-06	-3.76e-06	-5.5e-06
