Seqid	RNA1	RNA2	RNA3	RNA4
0	-1.43e-06	-3.73e-05	-9.31e-05	-0.000134
1	-6.34e-05	-9.775e-05	-0.0001507	-0.0001945
2	-3.4e-05	-9.36e-05	-0.0001731	-0.0002134
3	-0.000198	-0.0003495	-0.0004883	-0.000619
4	6.6e-07	3.64e-06	-1.305e-05	-6.56e-05
5	-1.65e-05	-7.8e-05	-9.084e-05	-9.763e-05
6	-2.75e-05	-1.07e-05	-2.47e-05	-5.704e-05
7	-1.85e-05	-7.16e-05	-0.00012	-0.0001525
8	-8.315e-05	-9.5e-05	-8.047e-05	-5.996e-05
9	6.48e-05	0.0002015	0.000385	0.0005794
10	-2.64e-05	-9.984e-05	-0.0001801	-0.0002604
11	-0.0001004	-0.0002142	-0.0003853	-0.000536
12	-4.84e-05	-0.00010675	-0.000187	-0.000285
13	-0.000235	-0.000419	-0.000581	-0.0007124
14	2.22e-05	5.67e-05	9.036e-05	0.0001358
15	2.64e-05	1.85e-05	2.43e-05	2.6e-05
16	-0.00011826	-0.0002248	-0.000321	-0.0003283
17	5.66e-06	0.0001015	0.0002835	0.0005007
18	2.28e-05	2.867e-05	8.81e-05	0.0001596
19	-8.3e-06	-2.164e-05	-6.32e-05	-8.85e-05
20	-0.000102	-0.0001689	-0.00023	-0.0002549
21	-0.00011456	-0.0002221	-0.0003264	-0.0004327
22	-0.00010943	-0.0002067	-0.000311	-0.0004132
23	-3.27e-05	-0.0001037	-0.0001389	-0.0001594
24	-0.0001557	-0.0003564	-0.0005283	-0.0006247
25	2.04e-05	2.545e-05	4.333e-05	1.34e-05
26	1.687e-05	-0.0001215	-0.0002596	-0.0003622
27	-4.24e-05	-8.976e-05	-0.00011367	-0.0001522
28	4.83e-05	0.0001302	0.0001898	0.0002718
29	1.9e-06	1.52e-05	6.276e-05	0.0001234
30	2.843e-05	8.36e-05	0.0001554	0.000213
31	-0.0001796	-0.0003972	-0.000589	-0.0007706
32	1.466e-05	1e-05	-3.2e-06	-5.66e-06
33	-0.0001156	-0.000286	-0.000429	-0.000558
34	-9.88e-05	-0.0002323	-0.00029	-0.0002866
35	-0.0001956	-0.000445	-0.0006967	-0.0009055
36	-6.807e-05	-0.000127	-0.0001414	-0.0001291
37	-0.0	-2.03e-05	5.4e-06	3.916e-05
38	2.676e-05	4.93e-05	7.4e-06	-3.5e-06
39	3.976e-05	0.00010055	0.0001333	0.0001574
40	1.365e-05	1.985e-05	3.356e-05	2.79e-05
41	-0.0001754	-0.0002257	-0.0002425	-0.0002345
42	-2.96e-05	1.4e-05	9.8e-05	0.0001917
43	8.667e-05	0.0002909	0.000536	0.0008197
44	-5.38e-05	-0.0001317	-0.0001748	-0.0002037
45	-0.000321	-0.000665	-0.0008907	-0.001072
46	-5.74e-05	-0.00010455	-0.0001436	-0.0001742
47	0.0001075	0.0002244	0.0003772	0.0005403
48	6.145e-05	0.0001748	0.000272	0.000408
49	1.997e-05	1.58e-05	2.82e-05	3.36e-05
50	-2.474e-05	-1.29e-05	-2.587e-05	-1.92e-05
51	-1.07e-05	-1.21e-05	1.3e-06	2.43e-05
52	-0.0002027	-0.0005407	-0.000963	-0.001326
53	-7.766e-05	-0.000182	-0.000222	-0.000244
54	-5.496e-05	-0.000146	-0.0002413	-0.0002728
55	-9.7e-06	9.2e-06	1.305e-05	2.027e-05
56	-0.000116	-0.0001733	-0.0002575	-0.0003526
57	-4.196e-05	-0.0001597	-0.0002515	-0.0003037
58	-2.62e-05	-8.68e-05	-0.0001662	-0.0002139
59	-6.5e-06	-9.3e-06	4.32e-05	7.81e-05
