Seqid	RNA1	RNA2	RNA3	RNA4
0	-0.000862	-0.00184	-0.00293	-0.004025
1	-0.0004232	-0.00119	-0.00202	-0.003103
2	-0.0004263	-0.0008597	-0.0014105	-0.002161
3	-0.0004277	-0.001058	-0.001959	-0.003231
4	-0.001028	-0.002108	-0.003393	-0.004894
5	-0.00246	-0.004917	-0.007458	-0.009995
6	-0.0007043	-0.001628	-0.002762	-0.003841
7	-0.00092	-0.00227	-0.00393	-0.005573
8	-0.001453	-0.002796	-0.00406	-0.005306
9	-0.003216	-0.00617	-0.00892	-0.01191
10	6.06e-05	4.88e-05	4.89e-05	-9.49e-05
11	-0.002703	-0.005608	-0.00863	-0.011635
12	-0.001016	-0.002192	-0.003288	-0.004494
13	-0.0001125	-0.0001274	-0.0001911	-0.0005374
14	-0.00149	-0.003073	-0.00479	-0.006718
15	-0.001016	-0.002056	-0.003004	-0.00421
16	-0.000991	-0.00229	-0.003712	-0.005272
17	-0.001668	-0.003502	-0.00565	-0.00818
18	-0.001309	-0.002626	-0.00394	-0.005436
19	-0.001025	-0.002268	-0.003363	-0.004288
20	-0.002718	-0.005417	-0.00795	-0.01046
21	-0.001366	-0.002804	-0.00428	-0.00588
22	-0.0004992	-0.001199	-0.002113	-0.003004
23	-0.0031	-0.00647	-0.00977	-0.01317
24	0.000236	0.0006795	0.00101	0.000978
25	-0.001735	-0.003513	-0.005226	-0.007057
26	0.0003774	0.0003762	0.00037	0.0004263
27	-0.001214	-0.002676	-0.004223	-0.00608
28	-0.0006905	-0.0019245	-0.003363	-0.004738
29	-0.000182	-0.0003457	-0.0007167	-0.00161
30	-0.0006394	-0.001353	-0.00218	-0.003218
31	-0.003395	-0.00704	-0.01062	-0.01477
32	-0.001749	-0.003801	-0.006065	-0.008194
33	-0.003363	-0.006577	-0.009674	-0.01269
34	-0.0003312	-0.000626	-0.0009484	-0.001325
35	-0.0003755	-0.0008717	-0.001861	-0.002794
36	-0.0007687	-0.001767	-0.002949	-0.00444
37	-0.001827	-0.00392	-0.00648	-0.00915
38	1.997e-05	0.0001066	-9.83e-05	-0.000687
39	0.0004551	0.0006804	0.0009246	0.000957
40	-0.000527	-0.001244	-0.001986	-0.002846
41	-0.001283	-0.00265	-0.00407	-0.005337
42	-0.001181	-0.00282	-0.004993	-0.007195
43	-0.0008426	-0.001875	-0.003218	-0.004623
44	-0.001284	-0.002539	-0.004017	-0.00537
45	-0.00144	-0.003008	-0.00442	-0.005856
46	-2.28e-05	-0.0003333	-0.0006948	-0.001011
47	-0.0004082	-0.000854	-0.001502	-0.002012
48	-0.001287	-0.002571	-0.003862	-0.005444
49	0.0009155	0.0018835	0.002642	0.003056
50	-0.001358	-0.002825	-0.00452	-0.006245
51	-8.94e-06	-1.11e-05	-0.00010747	-0.0003426
52	-0.002295	-0.005062	-0.00802	-0.01084
53	-0.0008736	-0.001775	-0.002714	-0.00389
54	-0.0006022	-0.001422	-0.00245	-0.003822
55	-0.0008335	-0.001943	-0.003305	-0.00485
56	-0.001538	-0.003164	-0.00521	-0.00748
57	-0.00279	-0.00636	-0.010315	-0.01498
58	-0.001453	-0.00294	-0.004433	-0.00611
59	-0.00111	-0.002304	-0.00375	-0.005577
