seqid	RNA1	RNA2	RNA3	RNA4
0	0.00919	0.001544	-0.01585	-0.0394
1	0.07196	0.04623	0.02342	0.005688
2	0.04385	0.02408	0.004032	-0.01598
3	0.05618	0.03723	0.02318	0.011
4	0.05234	0.02747	0.005577	-0.01338
5	0.03827	0.01865	0.003582	-0.0128
6	0.06885	0.04523	0.02371	0.001616
7	0.05698	0.04355	0.03105	0.02121
8	0.04718	0.005608	-0.03323	-0.05927
9	0.0736	0.04883	0.03412	0.001438
10	0.01564	-0.0772	-0.1418	-0.199
11	0.03622	0.012436	-0.0356	-0.0622
12	0.04767	0.03026	0.00731	-0.001186
13	0.07196	0.06415	0.03943	0.02841
14	0.05222	0.02975	0.01023	0.002714
15	0.0461	0.01729	-0.01395	-0.02454
16	0.07074	0.05557	0.02821	0.00565
17	0.01862	-0.04614	-0.09247	-0.1405
18	0.04163	-0.002514	-0.03052	-0.0702
19	0.01596	-0.0187	-0.0681	-0.11285
20	0.02538	0.01414	0.002192	-0.00418
21	0.02783	-0.03452	-0.0915	-0.1373
22	0.03864	-0.00918	-0.04245	-0.0774
23	0.0542	0.038	0.01566	0.003021
24	0.0207	-0.013306	-0.03964	-0.0723
25	0.04422	0.01297	-0.0298	-0.05835
26	0.02805	-0.04208	-0.11237	-0.1422
27	0.03598	0.011925	-0.01659	-0.04736
28	0.02376	-0.0269	-0.076	-0.1248
29	0.01068	-0.04626	-0.1068	-0.1368
30	0.02504	-0.03314	-0.07263	-0.1082
31	0.0384	0.02277	-0.0002959	-0.01425
32	0.06384	0.05695	0.04565	0.038
33	0.04117	-0.03442	-0.11743	-0.1661
34	0.02211	-0.00793	-0.03412	-0.0641
35	0.06354	0.04587	0.0252	0.004925
36	0.03928	-0.01677	-0.0711	-0.1285
37	0.00469	-0.0708	-0.1259	-0.1727
38	0.01493	-0.01275	-0.03047	-0.0609
39	0.04672	0.03577	0.02502	0.01389
40	0.02834	-0.0202	-0.0723	-0.1117
41	0.04715	0.02997	0.002642	-0.0184
42	0.01573	-0.011894	-0.0447	-0.0659
43	0.0463	0.01764	-0.00439	-0.02498
44	0.03476	-0.01247	-0.0632	-0.11005
45	0.05365	0.0385	0.01723	-0.00165
46	0.03705	0.002272	-0.02765	-0.05508
47	0.0586	0.03946	0.0242	0.00575
48	0.0352	0.00761	-0.02779	-0.06125
49	0.01707	-0.04056	-0.0959	-0.1436
50	0.0497	0.0337	0.01694	-0.002869
