Seqid	RNA1	RNA2	RNA3	RNA4
0	1.21e-05	6.98e-05	0.00012124	0.0001668
1	9.04e-05	0.0002195	0.0003357	0.0004377
2	-1.37e-05	1.1e-05	5.746e-05	9.04e-05
3	-0.0001268	-0.0002482	-0.000301	-0.0003412
4	5.454e-05	0.0001082	0.0001553	0.0002084
5	-0.0001473	-0.000264	-0.0004218	-0.000611
6	-2.77e-05	-6.044e-05	-0.0001026	-0.0001291
7	-2.44e-05	-9.2e-05	-0.0001354	-0.0001956
8	0.0001458	0.000283	0.0004377	0.000611
9	0.0001802	0.000369	0.000555	0.0007453
10	9.674e-05	0.000202	0.0003104	0.0004313
11	-0.000272	-0.000573	-0.0008287	-0.001057
12	-5.48e-05	-0.0001036	-0.0001628	-0.0001907
13	5.853e-05	0.0001028	0.0001639	0.0002354
14	9.08e-05	0.0001955	0.0003517	0.000526
15	7.03e-06	5.9e-06	1.27e-05	2.42e-05
16	0.0001858	0.0003865	0.0006185	0.0008364
17	-6.986e-05	-0.0001626	-0.0002537	-0.0003297
18	1.66e-05	3.076e-05	4.31e-05	4.596e-05
19	-9.95e-05	-0.0002218	-0.0003502	-0.0004835
20	-0.0003002	-0.000573	-0.0007944	-0.0009985
21	-0.0002673	-0.0005445	-0.000856	-0.001126
22	-6.38e-05	-0.0001544	-0.0002656	-0.0004034
23	6.735e-05	0.000131	0.0001842	0.000215
24	5.16e-05	5.114e-05	5.92e-05	6.104e-05
25	8.804e-05	0.0002002	0.0003169	0.0003955
26	1.645e-05	4.97e-05	0.0001102	0.0001544
27	-0.00010484	-0.0001742	-0.0002782	-0.0003726
28	0.000193	0.0003963	0.00057	0.000738
29	0.0001842	0.0004513	0.0007324	0.001025
30	0.0002673	0.000532	0.0007925	0.00102
31	-5.62e-05	-0.0001628	-0.0003023	-0.0004249
32	7.4e-06	2.36e-05	2.867e-05	6.81e-05
33	-0.0001184	-0.0002079	-0.0002885	-0.0003443
34	8.14e-05	0.0001528	0.0002142	0.0003083
35	0.0002599	0.000502	0.000739	0.000953
36	2.39e-05	6.63e-05	8.96e-05	0.0001311
37	9.16e-05	0.0001738	0.000266	0.0003605
38	-4.83e-05	-7.516e-05	-8.285e-05	-7.033e-05
39	-3.69e-05	-0.00010645	-0.0001997	-0.0002959
40	1.62e-05	6.44e-05	0.0001194	0.0001539
41	-0.0001128	-0.0002556	-0.0004163	-0.0005927
42	5.6e-06	2.736e-05	8.13e-05	0.0001358
43	-2.2e-05	7e-06	2.58e-05	3.76e-05
44	3.68e-05	7.993e-05	7.84e-05	9.733e-05
45	-0.000487	-0.000976	-0.00139	-0.001709
46	-5.19e-05	-1.12e-05	4.33e-05	0.0001348
47	0.0001465	0.000259	0.0003796	0.000563
48	0.0001736	0.0003712	0.0005794	0.0008144
49	-6.17e-05	-0.00011283	-0.0001192	-0.000132
50	2.104e-05	3.52e-05	1.91e-05	-1.013e-05
51	1.25e-06	6.85e-06	6.47e-05	0.00010955
52	-7.3e-05	-0.0001283	-0.0001918	-0.0002091
53	7.796e-05	0.0001433	0.000242	0.0003364
54	3.94e-05	0.00010693	0.0001618	0.0002075
55	-6.45e-05	-9.525e-05	-0.0001353	-0.00019
56	-0.0001543	-0.0002737	-0.0003676	-0.0004423
57	-5.037e-05	-7.16e-05	-6.79e-05	-9.26e-05
58	-3.916e-05	-8.243e-05	-0.0001258	-0.0001639
59	0.0001836	0.0003855	0.0005646	0.000725
