Seqid	RNA1	RNA2	RNA3	RNA4
0	-9.9e-05	-0.0001723	-0.0002515	-0.0003486
1	-0.0002395	-0.000485	-0.0007153	-0.0009336
2	-8.27e-05	-0.0001624	-0.000264	-0.0003603
3	-0.0001248	-0.000235	-0.0003314	-0.000419
4	-0.0001773	-0.0003488	-0.0005383	-0.0007005
5	-0.0004182	-0.0008545	-0.001314	-0.001749
6	-0.000255	-0.000492	-0.0007033	-0.0008855
7	-0.0001985	-0.0003896	-0.0006056	-0.0008416
8	-0.0003448	-0.0006666	-0.00098	-0.001282
9	-0.000445	-0.00091	-0.001325	-0.001755
10	-7.81e-05	-9.14e-05	-0.000126	-0.0001403
11	-0.000642	-0.001262	-0.001886	-0.002445
12	-0.0001253	-0.0002525	-0.0003693	-0.0004945
13	-0.0001173	-0.0002487	-0.000374	-0.0004766
14	-0.0002918	-0.000592	-0.0008497	-0.001084
15	-0.0002298	-0.000446	-0.0006804	-0.000906
16	-0.0002097	-0.000457	-0.000683	-0.0008793
17	-0.0003116	-0.0006075	-0.000835	-0.001066
18	-0.0002276	-0.00046	-0.000691	-0.000916
19	-0.0002863	-0.000558	-0.0008335	-0.001136
20	-0.0004163	-0.0008206	-0.00117	-0.001532
21	-0.0004468	-0.0008645	-0.001249	-0.001582
22	-0.0001541	-0.0003126	-0.000433	-0.000555
23	-0.0003896	-0.000787	-0.00118	-0.001582
24	-0.0001495	-0.0001719	-0.000182	-0.0001408
25	-0.0002348	-0.000455	-0.0006557	-0.0008636
26	4.1e-06	5.174e-05	0.00010526	0.0001342
27	-0.0002592	-0.0005097	-0.000777	-0.00104
28	-0.0001477	-0.0002775	-0.0004373	-0.0006175
29	-0.0002116	-0.0002859	-0.0002887	-0.000266
30	-8.047e-05	-0.0001781	-0.0003035	-0.0003881
31	-0.0007453	-0.001576	-0.002409	-0.003208
32	-0.0002663	-0.0005393	-0.0007963	-0.001059
33	-0.000729	-0.001464	-0.002144	-0.002804
34	-9.555e-05	-0.0001811	-0.0001808	-0.0001248
35	4.214e-05	4.26e-05	9.435e-05	0.0001808
36	-0.0002129	-0.0004091	-0.000637	-0.000902
37	-0.0004647	-0.00094	-0.001398	-0.001856
38	-0.0001305	-0.000232	-0.0002983	-0.0003386
39	-4.745e-05	-9.215e-05	-0.0001628	-0.0002296
40	-2.074e-05	-4.42e-05	-9.01e-05	-0.0001353
41	-0.0003483	-0.000707	-0.0010605	-0.001393
42	-0.0002487	-0.000463	-0.0007024	-0.000872
43	-3.684e-05	-4.97e-05	-9.95e-05	-0.0001708
44	-0.0001502	-0.0003295	-0.0004954	-0.000657
45	-0.000495	-0.0009737	-0.001406	-0.001835
46	-0.0002506	-0.0004857	-0.000681	-0.000807
47	-4.97e-05	-0.0001099	-0.0001465	-0.0001682
48	-0.0002333	-0.0004582	-0.000645	-0.0008283
49	-2.354e-05	-3.08e-05	-3.785e-05	-2e-05
50	-0.0003562	-0.000733	-0.0011	-0.001449
51	-3.326e-05	-4.01e-05	-3.77e-05	-3.44e-05
52	-0.000571	-0.001223	-0.00192	-0.002663
53	-0.0002716	-0.0005555	-0.0007906	-0.001005
54	-0.000241	-0.0004954	-0.000759	-0.00105
55	-0.0001236	-0.000198	-0.0002338	-0.0002537
56	-0.000531	-0.001074	-0.001614	-0.00206
57	-0.000423	-0.0008006	-0.001137	-0.00145
58	-0.0002304	-0.000468	-0.000697	-0.0009484
59	-0.0001999	-0.000411	-0.000601	-0.0007563
