Seqid	RNA1	RNA2	RNA3	RNA4
0	-0.0001155	-0.0001886	-0.000283	-0.00039
1	6e-08	-1.454e-05	-1.93e-05	-2.85e-05
2	-8.345e-05	-0.0001374	-0.0002135	-0.000266
3	-0.0001653	-0.0003273	-0.000521	-0.0007253
4	-0.0002484	-0.0005054	-0.000781	-0.001067
5	-0.0002472	-0.000513	-0.0008063	-0.001099
6	-0.0001544	-0.000273	-0.000363	-0.0004547
7	-4.596e-05	-0.0001137	-0.000191	-0.0002766
8	-0.0002897	-0.000558	-0.0008283	-0.001068
9	-0.0004852	-0.000996	-0.001471	-0.00195
10	0.00010127	0.0002202	0.0003052	0.0003843
11	-0.0003383	-0.0006576	-0.000963	-0.001265
12	1.67e-06	7.7e-06	1.657e-05	3.475e-05
13	-0.00011414	-0.0002556	-0.0003684	-0.0004678
14	-1.7e-06	-0.0001268	-0.0002778	-0.000452
15	-6.95e-05	-0.0001767	-0.0002751	-0.0004132
16	-0.0001578	-0.0003054	-0.0004313	-0.0005336
17	-0.000313	-0.0005865	-0.0009155	-0.001244
18	-0.0002508	-0.000518	-0.000803	-0.001068
19	-0.000247	-0.0004945	-0.000735	-0.001001
20	-9.453e-05	-0.0001762	-0.0002577	-0.0003412
21	-2.384e-05	-4.125e-05	-5.597e-05	-7.35e-05
22	-0.00011474	-0.0002335	-0.0003664	-0.0005274
23	-0.0002404	-0.000437	-0.000673	-0.0009313
24	-8.98e-05	-0.0001816	-0.00026	-0.0003202
25	-9.79e-05	-0.0002172	-0.000389	-0.0005984
26	5.68e-05	0.0001135	0.0001742	0.000174
27	-0.0001194	-0.0002756	-0.0004323	-0.000589
28	-4.22e-05	-0.0001351	-0.0002011	-0.0002682
29	-6.64e-05	-0.00010705	-0.0001704	-0.0002065
30	-4.476e-05	-0.00010806	-0.0002314	-0.0003304
31	-0.000417	-0.00089	-0.001427	-0.001912
32	-0.0002725	-0.000565	-0.00083	-0.001125
33	-0.0004666	-0.0009537	-0.001433	-0.00203
34	-9.465e-05	-0.0001673	-0.0002482	-0.0002952
35	1.97e-05	1.585e-05	-1.99e-05	-6.48e-05
36	-1.59e-05	-4.756e-05	-9.656e-05	-0.0001631
37	-0.0002453	-0.0005527	-0.0008607	-0.0011835
38	0.00010055	0.000215	0.0003283	0.0004618
39	0.00011504	0.000199	0.000263	0.0003257
40	-0.0001003	-0.0001943	-0.0002937	-0.000393
41	-3.284e-05	-6.604e-05	-0.00011593	-0.0001303
42	-6.85e-05	-0.00011057	-0.0001701	-0.000289
43	-0.0001853	-0.000358	-0.000557	-0.000761
44	-0.0001862	-0.0003645	-0.0005393	-0.0006704
45	-0.0003023	-0.000557	-0.000866	-0.001194
46	0.0001307	0.0002658	0.0003934	0.0005093
47	7.96e-05	0.0001783	0.0002747	0.0003643
48	-0.000241	-0.000488	-0.0007305	-0.000984
49	7.2e-05	0.0001779	0.0002575	0.0003343
50	-0.00011647	-0.0002625	-0.0004032	-0.000538
51	6.44e-06	5.13e-05	7.814e-05	0.00010073
52	-0.0001806	-0.000353	-0.000523	-0.0006723
53	-9.34e-05	-0.0002147	-0.0003202	-0.0004587
54	-8.464e-05	-0.0001693	-0.0002859	-0.0004075
55	-0.0001405	-0.0003088	-0.000526	-0.0007567
56	-7.904e-05	-0.0003183	-0.000689	-0.001102
57	-0.0001593	-0.00031	-0.0004897	-0.0007033
58	-0.0002503	-0.0005093	-0.0007644	-0.001014
59	-0.0001587	-0.0003228	-0.000512	-0.0006943
