seq_id	CTCF2vs1	CTCF3vs1	CTCF4vs1	CTCF5vs1
0	0.1224	0.1364	0.2795	0.3464
1	0.2313	0.3066	0.4	0.4473
2	0.079	0.1844	0.323	0.3745
3	0.166	0.2705	0.4229	0.4958
4	0.0256	0.1288	0.2029	0.2803
5	0.1466	0.2036	0.2856	0.3643
6	0.3406	0.3909	0.4414	0.502
7	0.1515	0.2471	0.3276	0.3845
8	0.11816	0.1249	0.262	0.301
9	0.143	0.294	0.3652	0.4211
10	0.199	0.2041	0.2744	0.363
11	0.1564	0.2317	0.3635	0.4265
12	0.1587	0.1508	0.2803	0.3274
13	0.1415	0.2615	0.3718	0.4739
14	0.1896	0.2607	0.3528	0.4028
15	0.0773	0.2207	0.3257	0.4346
16	0.2096	0.3064	0.4526	0.5225
17	0.4656	0.47	0.5874	0.6885
18	0.0739	0.163	0.2283	0.3174
19	0.096	0.215	0.2842	0.3806
20	0.1405	0.2437	0.3381	0.402
21	0.0625	0.11053	0.2273	0.3926
22	0.1093	0.2896	0.378	0.4575
23	0.09216	0.1354	0.2656	0.355
24	0.1109	0.2422	0.3076	0.415
25	0.4065	0.4165	0.599	0.6504
26	0.0974	0.1289	0.22	0.2832
27	0.1692	0.1893	0.2993	0.3645
28	0.1366	0.1881	0.277	0.332
29	0.0855	0.2194	0.28	0.3904
30	0.1588	0.205	0.3672	0.4358
31	0.2372	0.3418	0.3835	0.4365
32	0.2908	0.38	0.4731	0.5444
33	0.0855	0.11615	0.1211	0.153
34	0.07825	0.1453	0.2223	0.2345
35	0.0996	0.1512	0.2386	0.29
36	0.0777	0.1355	0.2502	0.281
37	0.2137	0.3145	0.3696	0.4675
38	0.146	0.2129	0.2961	0.3862
39	0.1641	0.258	0.291	0.3943
40	0.07825	0.1556	0.3054	0.3892
41	0.1586	0.1935	0.2496	0.28
42	0.2096	0.2773	0.3367	0.4282
43	0.1686	0.2001	0.2383	0.3015
44	0.0698	0.2244	0.2678	0.365
45	0.0688	0.1931	0.2546	0.3306
46	0.02191	0.1101	0.2137	0.2354
47	0.1298	0.1394	0.2664	0.3494
48	0.1984	0.3462	0.4377	0.5537
49	0.1135	0.1857	0.2915	0.3672
50	0.1519	0.2751	0.343	0.4197
51	0.1228	0.2252	0.3142	0.3738
52	0.10443	0.2008	0.323	0.3203
53	0.1876	0.2496	0.3572	0.422
54	0.0475	0.0838	0.183	0.305
55	0.05396	0.1619	0.2717	0.3047
56	0.1471	0.2406	0.394	0.4749
57	0.1782	0.235	0.2698	0.3435
58	0.11224	0.1846	0.2163	0.2837
59	0.1891	0.2947	0.3293	0.4443
60	0.188	0.2163	0.3281	0.3376
61	0.1081	0.2471	0.322	0.4348
62	0.2607	0.43	0.485	0.5605
63	0.1688	0.1924	0.264	0.3398
64	0.1877	0.2625	0.3909	0.4402
65	0.1888	0.2698	0.4016	0.488
66	0.1434	0.2222	0.318	0.4036
67	0.203	0.3066	0.387	0.4548
68	0.1074	0.1649	0.2305	0.397
69	0.1283	0.2068	0.281	0.3694
70	0.1351	0.2456	0.4102	0.4912
71	0.1729	0.328	0.4397	0.512
72	0.1038	0.1678	0.2786	0.3296
73	0.11145	0.2356	0.3218	0.4688
74	0.0561	0.1217	0.2251	0.244
75	0.1484	0.258	0.4146	0.4673
76	0.1566	0.2764	0.3318	0.3906
77	0.3281	0.3857	0.4724	0.578
78	0.352	0.3928	0.4631	0.606
79	0.1382	0.272	0.337	0.443
80	0.0391	0.09845	0.1787	0.2136
81	0.1318	0.2378	0.3723	0.465
82	0.0317	0.1049	0.1782	0.3044
83	0.1364	0.2705	0.3513	0.4712
84	0.2502	0.393	0.4636	0.511
85	0.1605	0.2236	0.3074	0.4153
86	0.08606	0.1641	0.2974	0.3857
87	0.0887	0.2153	0.2456	0.3499
88	0.0696	0.2659	0.3074	0.4424
89	0.2257	0.2466	0.356	0.4187
90	0.1377	0.138	0.226	0.2634
91	0.1516	0.2627	0.3542	0.419
92	0.2423	0.375	0.4282	0.5503
93	0.2048	0.253	0.3132	0.3552
94	0.1713	0.2573	0.3413	0.3403
95	0.0844	0.2173	0.288	0.3037
96	0.1366	0.31	0.3992	0.4377
97	0.161	0.2411	0.399	0.4968
98	0.464	0.514	0.598	0.6963
99	0.1351	0.1813	0.284	0.2983
100	0.07214	0.1877	0.276	0.339
101	0.0763	0.1812	0.2578	0.3306
102	0.3645	0.4346	0.5635	0.635
103	0.08813	0.2006	0.33	0.4143
104	0.2318	0.3333	0.4297	0.4792
105	0.12366	0.2458	0.3525	0.4065
106	0.11755	0.1749	0.2593	0.3245
107	0.1116	0.2311	0.2947	0.4094
108	0.144	0.2505	0.3428	0.4248
109	0.10986	0.2883	0.3464	0.4531
110	0.3347	0.551	0.639	0.7266
111	0.132	0.2372	0.374	0.472
112	0.2423	0.3562	0.4111	0.4658
113	0.1611	0.2382	0.2983	0.3918
114	0.252	0.296	0.3857	0.438
115	0.1847	0.1761	0.306	0.3696
116	0.1918	0.2478	0.3616	0.4072
117	0.1475	0.2224	0.311	0.396
118	0.11334	0.09076	0.2288	0.308
119	0.12115	0.2322	0.31	0.3718
120	0.1392	0.213	0.3557	0.3987
121	0.1774	0.227	0.3066	0.379
122	0.2023	0.2698	0.3713	0.4573
123	0.10114	0.1727	0.3506	0.3496
124	0.3198	0.391	0.4958	0.5967
125	0.1406	0.1755	0.346	0.4307
126	0.191	0.2515	0.372	0.4534
127	0.05533	0.11096	0.2451	0.3254
128	0.08356	0.2272	0.3237	0.4382
129	0.1478	0.2031	0.3164	0.43
130	0.2115	0.2844	0.391	0.4502
131	0.07544	0.1512	0.288	0.2834
132	0.152	0.1926	0.2676	0.3538
133	0.382	0.403	0.526	0.5825
134	0.1357	0.2979	0.412	0.4695
135	0.11694	0.1653	0.1982	0.3086
136	0.2365	0.2563	0.3213	0.3735
137	0.265	0.407	0.4612	0.582
138	0.2788	0.3167	0.374	0.4282
139	0.1147	0.2341	0.3289	0.4048
140	0.1676	0.1481	0.1786	0.2593
141	0.0904	0.1277	0.2078	0.2458
142	0.2084	0.3132	0.4392	0.513
143	0.1318	0.2268	0.3613	0.4458
144	0.167	0.251	0.3342	0.4285
145	0.0975	0.225	0.3474	0.3538
146	0.2336	0.3086	0.3743	0.45
147	0.113	0.1649	0.254	0.2993
148	0.1434	0.2433	0.309	0.4224
149	0.2073	0.2299	0.394	0.4373
150	0.04425	0.1819	0.3152	0.4072
151	0.2722	0.3489	0.449	0.5825
152	0.1646	0.2097	0.3198	0.347
153	0.2045	0.2651	0.3315	0.438
154	0.2499	0.3718	0.5186	0.616
155	0.089	0.0941	0.147	0.2445
156	0.09247	0.2207	0.3608	0.4495
157	0.1362	0.296	0.3628	0.3792
158	0.09656	0.2208	0.281	0.349
159	0.10785	0.1868	0.2961	0.2803
160	0.11554	0.1893	0.311	0.4045
