Seqid	RNA1	RNA2	RNA3	RNA4
0	0.005173	0.04996	0.05536	0.06216
1	0.03754	0.0413	0.04492	0.04886
2	0.0008044	0.001768	0.003237	0.00519
3	0.005173	0.009995	0.01494	0.02075
4	0.003332	0.006546	0.0103	0.014175
5	0.005623	0.01078	0.01659	0.02205
6	0.008644	0.0179	0.02724	0.03656
7	0.005	0.00979	0.0153	0.02211
8	0.002354	0.005157	0.007675	0.00989
9	0.0052	0.01031	0.01608	0.02141
10	0.002075	0.00432	0.006695	0.00992
11	0.00805	0.01513	0.02284	0.03055
12	0.005287	0.01061	0.015396	0.02094
13	0.003763	0.00824	0.01279	0.01836
14	0.00371	0.007572	0.012	0.01607
15	0.0035	0.007507	0.011406	0.01556
16	0.00629	0.01266	0.01909	0.02528
17	0.004288	0.008865	0.01274	0.01672
18	0.00855	0.01788	0.02797	0.03754
19	0.003437	0.007008	0.011086	0.01536
20	0.01189	0.0229	0.03372	0.04446
21	0.01431	0.02707	0.0386	0.05032
22	0.00792	0.01741	0.0275	0.03812
23	0.006176	0.01238	0.0185	0.0243
24	0.000856	0.002316	0.003815	0.006184
25	0.00573	0.01134	0.01718	0.02339
26	0.003893	0.00846	0.013435	0.01863
27	0.00839	0.018	0.02895	0.04022
28	0.0041	0.00839	0.012764	0.01802
29	0.002249	0.005093	0.008	0.01105
30	0.001679	0.00326	0.005398	0.006718
31	0.00451	0.00951	0.0142	0.01936
32	0.005043	0.01071	0.01599	0.02162
33	0.00805	0.0161	0.0246	0.03427
34	0.003263	0.006485	0.009445	0.01255
35	0.0002873	0.000699	0.001104	0.001997
36	0.004803	0.010574	0.01578	0.02176
37	0.00627	0.01324	0.02097	0.02911
38	0.003904	0.008316	0.01302	0.01822
39	-0.000704	-0.001343	-0.001316	-0.0009007
40	0.001891	0.004612	0.00728	0.01017
41	0.00796	0.01585	0.02411	0.03302
42	0.00931	0.01839	0.02725	0.0367
43	0.00433	0.00881	0.01313	0.01826
44	0.003471	0.007008	0.01031	0.013824
45	0.005493	0.010796	0.01683	0.0227
46	0.002178	0.004406	0.006474	0.00839
47	0.001249	0.001759	0.002712	0.00455
48	0.00358	0.00813	0.01313	0.01807
49	0.000557	0.001532	0.0026	0.003807
50	0.0496	0.05402	0.0593	0.0645
51	0.002893	0.00616	0.00959	0.01372
52	0.005493	0.01261	0.01947	0.02547
53	0.00403	0.007557	0.011024	0.01484
54	0.000636	0.002037	0.003578	0.00551
55	0.00595	0.011795	0.01743	0.02287
56	0.00805	0.0165	0.02449	0.0327
57	0.00877	0.01808	0.02803	0.03827
58	0.011215	0.02222	0.03238	0.042
59	0.00557	0.01198	0.01807	0.02443
