Seqid	RNA1	RNA2	RNA3	RNA4
0	0.0003347	0.0008726	0.001378	0.00198
1	-9.996e-05	-0.0009646	-0.001308	-0.001815
2	-0.0002029	-0.001099	-0.001504	-0.002214
3	0.001439	0.003048	0.004986	0.006985
4	0.0003197	0.000539	0.0005727	0.0009117
5	0.0005684	0.001411	0.002567	0.003475
6	0.001109	0.002317	0.00386	0.00545
7	0.000944	0.001509	0.0018425	0.002178
8	0.00072	0.001216	0.002045	0.002705
9	0.000898	0.001814	0.002375	0.003344
10	0.0008287	0.001447	0.001892	0.002516
11	0.000607	0.0005655	0.0006113	0.000701
12	0.0007973	0.002298	0.00341	0.004147
13	0.000152	0.0008273	0.00218	0.003468
14	-0.0004206	-0.001203	-0.001606	-0.00138
15	-0.0003362	-0.00059	-0.001014	-0.000769
16	0.001375	0.00306	0.004753	0.006187
17	-0.000568	-0.0007577	-0.0009627	-0.001496
18	0.0006094	0.000453	0.001333	0.002281
19	-8.3e-05	-0.0004396	-0.000836	-0.001753
20	0.00131	0.001764	0.002388	0.00257
21	0.001982	0.003885	0.00553	0.007576
22	0.000963	0.001963	0.003197	0.005356
23	-0.0006924	-0.001251	-0.001483	-0.002037
24	-0.0001826	-0.000309	-0.0002395	2.15e-06
25	-0.0001276	0.0002216	0.0005455	7.96e-05
26	0.000697	0.001968	0.003204	0.004242
27	2.82e-05	0.000897	0.002144	0.003403
28	0.0008445	0.001639	0.001854	0.00233
29	0.0002339	0.000506	0.000605	0.001076
30	0.0001945	0.000912	0.0011015	0.0009174
31	0.001004	0.002039	0.002752	0.003956
32	0.0001413	0.0001512	0.0002184	0.0005584
33	-0.0001235	-0.0003726	-0.0001856	-0.0004716
34	0.0001603	0.000616	0.000649	0.0004342
35	-0.0003846	-0.00074	-0.001432	-0.002155
36	0.000458	0.001	0.00181	0.002554
37	0.002056	0.00502	0.00823	0.01153
38	-7.7e-05	0.0002031	0.0003552	0.0007277
39	-0.0009546	-0.001597	-0.002659	-0.003515
40	-0.001395	-0.002647	-0.003849	-0.005257
41	4.745e-05	0.0003538	0.000763	0.000863
42	0.0004857	0.000907	0.001537	0.002274
43	0.0002773	1.42e-05	0.0002754	0.0002968
44	-0.0001845	-0.0002347	2.366e-05	6.61e-05
45	0.000875	0.001625	0.002665	0.003424
46	-0.0016	-0.002432	-0.003416	-0.005016
47	-0.001741	-0.003374	-0.00468	-0.0056
48	7.02e-05	-0.0002124	-0.000492	-0.0005484
49	-0.001058	-0.002079	-0.00288	-0.003632
50	-0.0007257	-0.001488	-0.00236	-0.002949
51	2.646e-05	0.0002047	0.000987	0.001933
52	0.001301	0.002674	0.003468	0.004704
53	-0.0004299	-0.001062	-0.001657	-0.002129
54	-0.000522	-0.000705	-0.00099	-0.001226
55	-0.0001518	-8.714e-05	0.0001898	0.0006404
56	0.0002414	0.000669	0.001273	0.002487
57	0.000615	0.002075	0.003628	0.005405
58	0.001411	0.003092	0.00539	0.007034
59	0.0001316	0.0001827	0.0004365	0.0008526
