Seqid	RNA1	RNA2	RNA3	RNA4
0	0.0008245	0.001779	0.002537	0.003473
1	-0.000614	-0.001054	-0.001641	0.032
2	0.000394	0.0009093	0.0014925	0.00199
3	0.0003493	0.001331	0.00221	0.002949
4	0.000358	0.000994	0.001285	0.0017805
5	-4.715e-05	-0.0002316	-0.000204	-0.0004864
6	0.0008626	0.002163	0.003271	0.00403
7	0.0004416	0.001009	0.001611	0.002342
8	-0.0002685	-0.00057	-0.0008326	-0.001037
9	-0.0006685	-0.0014305	-0.001833	-0.002428
10	0.0007324	0.001497	0.002132	0.00245
11	0.0003834	0.000749	0.0006876	0.000705
12	0.000618	0.001082	0.001684	0.002104
13	0.0002964	0.000696	0.000559	0.001006
14	-0.0001041	0.0001328	4.73e-05	2.08e-05
15	0.000743	0.001727	0.002436	0.002617
16	-0.0001343	3.08e-05	-0.0002568	-0.0004973
17	-0.0003061	-0.000496	-0.001149	-0.001656
18	0.000821	0.0008826	0.001185	0.001764
19	-0.00011957	-0.0003364	-0.0003474	-9.17e-05
20	-0.000636	-0.001524	-0.001857	-0.002174
21	0.000671	0.0001175	8.94e-06	-0.000519
22	0.001001	0.002396	0.003473	0.00484
23	0.0004723	0.0009513	0.00144	0.001692
24	0.0008817	0.002245	0.003448	0.004517
25	0.0002947	0.000643	0.000954	0.001146
26	0.0004814	0.001061	0.001444	0.002163
27	0.0009613	0.002245	0.002956	0.003786
28	0.0001805	0.0001868	5.61e-05	0.0001575
29	0.0004153	0.0003216	0.0003905	0.000308
30	-0.0001078	-0.0003695	-0.000743	-0.000784
31	0.000243	0.0002353	0.0002592	-0.0001242
32	-1.54e-05	0.0002046	5.484e-05	-0.0002084
33	0.0009604	0.002008	0.00267	0.003176
34	-0.0003202	-0.0006614	-0.001121	-0.001413
35	0.0009284	0.001535	0.001856	0.002098
36	-0.0001738	-0.0005817	-0.000769	-0.001022
37	0.001105	0.00212	0.003458	0.00482
38	0.0009656	0.001878	0.002357	0.002987
39	8.52e-05	2.18e-05	-0.000133	-0.000399
40	-0.000495	-0.000944	-0.001296	-0.0015745
41	0.0004916	0.0007424	0.0009174	0.00106
42	0.001155	0.002377	0.003366	0.004242
43	-0.0002235	-0.000495	-0.0008087	-0.001398
44	-0.000327	-0.0003815	-0.0005984	-0.0007963
45	0.0002627	0.000531	0.0006437	0.000735
46	0.000768	0.001322	0.00189	0.002281
47	-0.001633	-0.00332	-0.004597	-0.006374
48	-0.001298	-0.002869	-0.004013	-0.004944
49	0.0002226	0.0008416	0.001408	0.001651
50	-0.001518	-0.003506	-0.00529	-0.007507
51	0.0001129	0.0003388	0.000678	0.000886
52	0.0001421	0.0003436	0.0006175	0.000763
53	-0.000449	-0.0006304	-0.001002	-0.001365
54	-0.000733	-0.001371	-0.00178	-0.002441
55	-0.0002759	-0.0002401	-0.0006065	-0.0005965
56	0.001106	0.002005	0.002352	0.00265
57	0.00111	0.002047	0.002943	0.003561
58	0.0005913	0.0009313	0.001505	0.002098
59	0.0006933	0.001061	0.001775	0.002157
