Seqid	RNA1	RNA2	RNA3	RNA4
0	0.0009727	0.002537	0.004826	0.04688
1	0.03577	0.03735	0.0396	0.0418
2	0.0002549	0.000512	-0.0002216	-0.0004442
3	0.00176	0.004124	0.005688	0.007
4	-5.5e-05	-4.83e-05	0.0003529	0.000887
5	0.000593	0.00237	0.00361	0.00493
6	0.001375	0.003298	0.00518	0.007164
7	0.0004125	0.001686	0.00303	0.002787
8	0.001006	0.002495	0.003891	0.004803
9	0.000759	0.001886	0.001565	0.0005846
10	0.0004585	0.001296	0.001864	0.00262
11	0.002752	0.00535	0.0083	0.01126
12	0.00212	0.00439	0.006435	0.00823
13	0.002357	0.005264	0.00815	0.011055
14	0.00135	0.002913	0.003397	0.004112
15	0.001205	0.00311	0.005203	0.00788
16	0.002483	0.005512	0.0084	0.01111
17	-0.001091	-0.001777	-0.002338	-0.0041
18	0.0009756	0.002514	0.004192	0.005825
19	0.0001777	-0.0002328	-0.001057	-0.001679
20	0.003597	0.006706	0.0093	0.01171
21	0.0032	0.00762	0.01232	0.01627
22	0.002186	0.004745	0.00769	0.01067
23	0.0004282	0.001984	0.004387	0.005768
24	0.000564	0.00191	0.003763	0.00573
25	0.000823	0.001668	0.002268	0.003174
26	0.000656	0.001637	0.00301	0.00474
27	0.0008845	0.002201	0.003815	0.005463
28	0.0004325	0.000998	0.001711	0.002382
29	0.0001342	0.0006247	0.000714	0.0004492
30	-0.0003874	-0.0003808	-0.0004897	0.0001568
31	0.001893	0.004845	0.00747	0.00872
32	0.001073	0.002304	0.003334	0.003847
33	0.001496	0.003714	0.005566	0.00769
34	0.00254	0.00501	0.007053	0.00859
35	-0.000987	-0.002413	-0.00373	-0.005165
36	0.0007954	0.001441	0.002516	0.002947
37	0.002106	0.004627	0.006702	0.008835
38	0.0002307	0.000638	0.000958	0.001349
39	0.0002339	0.0002302	0.0002844	0.0005403
40	-0.0001696	-0.0009212	-0.001747	-0.002012
41	0.000801	0.002188	0.003897	0.005566
42	0.00046	0.000713	0.000747	0.000982
43	0.001088	0.001946	0.003212	0.004604
44	0.0006747	0.001753	0.002733	0.003359
45	0.001243	0.003828	0.005695	0.007317
46	0.002853	0.00564	0.00842	0.01102
47	0.002699	0.00558	0.007313	0.00822
48	-7.015e-05	0.0001681	-0.000344	-0.001748
49	0.0009656	0.002169	0.00305	0.003773
50	0.0005264	0.001237	0.001966	0.00258
51	0.001035	0.002388	0.00394	0.005543
52	0.001564	0.003963	0.007614	0.01148
53	0.000634	0.002035	0.002758	0.003292
54	0.0003648	0.000893	0.0014925	0.001991
55	0.001786	0.003859	0.005947	0.007053
56	0.002466	0.00364	0.00503	0.006737
57	0.000809	0.003777	0.00752	0.01119
58	0.0009704	0.00263	0.004734	0.00708
59	-0.0001682	3.38e-05	0.0001589	0.0003562
