seqid	RNA1	RNA2	RNA3	RNA4
0	0.703	1.005	1.199	1.284
1	0.964	1.218	1.389	1.477
2	0.538	0.654	0.7812	0.839
3	1.022	1.234	1.397	1.062
4	0.743	1.0205	1.221	1.306
5	0.8384	1.024	1.248	1.416
6	0.9453	1.236	1.477	1.6045
7	1.027	1.295	1.512	1.635
8	1.059	1.444	1.628	1.682
9	1.041	1.257	1.518	1.626
10	0.7036	0.9224	1.134	1.295
11	0.8994	1.181	1.402	1.519
12	0.9985	1.153	1.334	1.403
13	0.8994	1.132	1.257	1.232
14	0.905	1.078	1.229	1.2705
15	0.5884	0.841	1.032	1.069
16	0.9805	1.182	1.44	1.513
17	0.855	1.088	1.347	1.479
18	0.898	1.19	1.393	1.446
19	0.8765	1.134	1.424	1.48
20	0.8267	0.9673	1.141	0.9326
21	0.552	0.7544	0.9717	1.054
22	0.9014	1.066	1.302	1.393
23	0.9663	1.179	1.309	0.985
24	0.874	1.063	1.199	1.28
25	1.151	1.495	1.642	1.71
26	0.9595	1.2	1.491	1.584
27	0.9336	1.213	1.457	1.543
28	0.3892	0.5796	0.8286	0.9375
29	1.037	1.216	1.425	1.463
30	0.376	0.594	0.8145	0.944
31	0.9434	1.138	1.339	1.404
32	0.9146	1.11	1.353	1.389
33	0.7207	1.081	1.355	1.439
34	0.236	0.3125	0.5186	0.6406
35	0.9536	1.164	1.359	1.43
36	0.8687	1.039	1.246	1.327
37	0.819	0.984	1.295	1.421
38	0.6963	0.8716	1.142	1.227
39	0.8936	1.158	1.358	1.415
40	0.6953	1.002	1.251	1.373
41	0.8745	1.13	1.429	1.567
42	0.9414	1.129	1.312	1.461
43	0.671	0.8936	1.141	1.231
44	0.7783	0.9487	1.091	1.124
45	0.927	1.1045	1.276	1.406
46	1.046	1.379	1.607	1.694
47	1.01	1.308	1.491	1.476
48	0.8145	1.042	1.128	1.173
49	1.06	1.362	1.595	1.656
50	0.9673	1.3	1.491	1.544
51	0.85	1.021	1.194	1.278
52	0.6587	0.9355	1.091	1.071
53	0.9854	1.266	1.523	1.627
54	0.797	1.141	1.316	1.413
55	0.9824	1.316	1.551	1.648
56	0.769	1.077	1.318	1.429
57	0.9116	1.263	1.484	1.583
58	0.7705	0.951	1.176	1.279
59	0.937	1.178	1.378	1.466
60	1.202	1.566	1.803	1.94
61	0.9272	1.209	1.412	1.532
62	0.8345	1.053	1.229	1.346
63	0.943	1.131	1.351	1.397
64	0.9443	1.202	1.372	1.476
65	0.958	1.289	1.594	1.673
66	0.8325	0.9766	1.17	0.8438
67	1.036	1.2	1.373	1.388
68	0.9785	1.202	1.369	1.402
69	0.5806	0.768	0.9453	1.064
70	0.5293	0.818	0.9727	1.046
71	0.5396	0.795	1.022	1.104
72	0.997	1.222	1.406	1.452
73	1.114	1.292	1.428	1.446
74	0.5273	0.707	0.948	1.082
75	0.956	1.22	1.442	1.534
76	0.8535	1.07	1.32	1.412
77	0.921	1.098	1.277	1.378
78	0.756	0.949	1.111	1.15
79	0.99	1.176	1.347	1.459
80	0.819	1.064	1.351	1.451
81	0.884	1.149	1.351	1.466
82	0.504	0.65	0.781	0.8022
83	0.9688	1.111	1.235	1.274
84	1.137	1.4	1.639	1.752
85	0.894	1.207	1.448	1.523
86	0.7227	0.934	1.124	1.228
87	0.7544	1.022	1.286	1.333
88	0.845	1.107	1.369	1.448
89	0.8335	1.062	1.338	1.453
90	0.824	1.011	1.09	0.688
91	0.9487	1.128	1.325	1.476
92	1.04	1.222	1.33	1.3545
93	0.4878	0.724	0.9414	1.046
94	0.9956	1.301	1.598	1.749
95	0.8945	1.121	1.256	1.279
96	0.9062	1.061	1.218	1.212
97	0.977	1.314	1.553	1.7
98	0.521	0.6772	0.8037	0.8306
99	0.6797	1.004	1.229	1.341
100	1.05	1.305	1.524	1.56
101	0.8545	1.1045	1.275	1.374
102	0.7993	1.029	1.237	1.33
103	0.8403	1.129	1.416	1.569
104	0.6987	0.969	1.176	1.248
105	0.907	1.202	1.471	1.549
106	1.025	1.249	1.53	1.73
107	1.128	1.37	1.508	1.569
108	0.6533	0.801	0.922	1.0
109	0.903	1.176	1.45	1.561
110	0.914	1.141	1.336	1.405
111	0.828	1.002	1.208	1.269
112	0.7686	1.116	1.451	1.601
113	1.035	1.253	1.511	1.64
114	0.9004	1.107	1.37	1.422
115	0.922	1.12	1.346	1.477
116	1.001	1.263	1.499	1.628
117	0.966	1.109	1.315	1.398
118	1.106	1.49	1.71	1.78
119	0.926	1.087	1.172	1.275
120	0.6143	0.92	1.134	1.287
121	0.85	1.1045	1.245	1.317
122	0.6396	0.8047	0.9307	0.6313
123	0.4963	0.7065	0.9043	0.9873
124	0.3948	0.6724	0.862	0.97
125	0.881	1.072	1.31	1.439
126	0.893	1.062	1.205	1.283
127	0.75	0.869	1.071	1.183
128	0.612	0.8535	1.085	1.206
129	0.9175	1.233	1.485	1.536
130	1.055	1.283	1.513	1.638
131	0.7246	0.977	1.133	1.196
132	1.233	1.457	1.616	1.714
133	1.035	1.16	1.285	1.345
134	0.7686	0.84	0.91	0.9976
135	0.66	0.8013	0.944	1.096
136	0.895	1.112	1.341	1.42
137	1.311	1.483	1.601	1.647
138	0.763	1.047	1.222	1.323
139	0.791	1.04	1.269	1.416
140	0.8306	1.069	1.264	1.316
141	1.028	1.318	1.56	1.664
142	0.855	1.071	1.211	1.262
143	1.095	1.384	1.615	1.73
144	0.461	0.63	0.8364	0.9385
145	0.8726	0.951	1.008	1.075
146	0.8936	1.056	1.233	1.321
147	0.577	0.756	0.9717	1.083
148	0.9453	1.119	1.319	1.467
149	0.9546	1.195	1.457	1.537
150	0.985	1.175	1.353	1.442
151	0.7656	0.8745	1.111	1.203
152	0.8647	1.079	1.322	1.466
153	0.9497	1.143	1.36	1.469
154	1.114	1.408	1.62	1.704
155	0.9585	1.335	1.519	1.608
156	0.8784	1.135	1.272	1.313
157	1.084	1.267	1.4375	1.49
158	0.6577	1.002	1.294	1.403
159	0.9346	1.115	1.272	1.331
160	0.471	0.647	0.883	0.497
161	1.151	1.38	1.553	1.614
162	0.9575	1.253	1.544	1.651
163	1.036	1.276	1.474	1.563
164	1.005	1.169	1.341	0.9043
165	0.8296	1.005	1.186	1.338
166	1.081	1.444	1.606	1.658
167	0.867	1.209	1.404	1.463
168	0.755	0.905	1.1	1.189
169	0.8696	1.104	1.342	1.422
170	0.7534	0.993	1.1	1.16
171	1.189	1.513	1.675	1.718
172	0.9243	1.173	1.37	1.465
173	1.0	1.188	1.319	1.363
174	0.6953	0.9927	1.252	1.326
175	0.771	1.002	1.267	1.3955
176	0.9897	1.062	1.219	1.305
177	1.205	1.421	1.579	1.606
178	0.6787	0.94	1.143	1.2
179	0.977	1.225	1.441	1.5625
180	0.856	0.9976	1.227	1.33
181	1.084	1.401	1.603	1.715
182	1.044	1.274	1.423	1.487
183	0.5503	0.834	1.089	1.232
184	0.995	1.254	1.566	1.669
185	0.8	1.077	1.325	1.415
186	0.899	1.036	1.227	1.291
187	0.72	0.9795	1.136	1.177
