Seqid	RNA1	RNA2	RNA3	RNA4
0	0.003342	0.006393	0.0495	0.0523
1	0.0379	0.04126	0.04443	0.04715
2	0.0009665	0.002653	0.004673	0.006657
3	0.00429	0.00861	0.012375	0.01604
4	0.002312	0.005005	0.00768	0.01063
5	0.003174	0.00601	0.00879	0.01149
6	0.001871	0.003878	0.00594	0.00785
7	0.003555	0.00732	0.01098	0.01478
8	0.001562	0.003014	0.004368	0.005684
9	0.000756	0.001616	0.002525	0.003714
10	0.001756	0.003666	0.00573	0.00789
11	0.003794	0.007603	0.01071	0.01398
12	0.002207	0.00501	0.00757	0.00989
13	0.003944	0.008	0.01213	0.01631
14	0.001844	0.003714	0.00574	0.007343
15	-0.0001153	-1.4e-05	0.0001121	0.000833
16	0.002052	0.003967	0.005974	0.00815
17	0.002127	0.004265	0.00657	0.00859
18	0.003902	0.00822	0.01258	0.01695
19	0.002094	0.003845	0.00551	0.00713
20	0.00375	0.007393	0.010826	0.01361
21	0.005272	0.01056	0.0167	0.0221
22	0.002829	0.007195	0.01202	0.01768
23	0.003105	0.006485	0.00966	0.01297
24	0.003029	0.006203	0.00935	0.01328
25	0.001506	0.003258	0.00483	0.00692
26	0.002163	0.00413	0.00597	0.00816
27	0.003233	0.00671	0.010124	0.01367
28	0.001404	0.003006	0.00482	0.00628
29	0.00238	0.004715	0.006966	0.00944
30	0.000564	0.0012865	0.001765	0.002874
31	0.00307	0.00642	0.01024	0.0137
32	0.002619	0.005264	0.00782	0.01024
33	0.002132	0.00445	0.006454	0.00856
34	0.002296	0.00413	0.006092	0.0082
35	0.0016165	0.003105	0.00427	0.005573
36	0.00348	0.00698	0.01094	0.014984
37	0.003975	0.00841	0.01318	0.01811
38	0.002003	0.004173	0.00623	0.00856
39	0.001267	0.002047	0.00277	0.003124
40	0.001158	0.002531	0.00435	0.006207
41	0.00374	0.00704	0.010376	0.01322
42	0.002481	0.005077	0.00851	0.012184
43	0.002373	0.004128	0.005882	0.007767
44	0.0005703	0.002506	0.004597	0.00694
45	0.003426	0.007126	0.010544	0.01381
46	0.002813	0.00533	0.007008	0.00909
47	0.001498	0.002388	0.003933	0.00558
48	0.001807	0.0036	0.005882	0.00836
49	0.002005	0.00405	0.006336	0.00846
50	0.04703	0.04865	0.0506	0.05258
51	0.001768	0.003967	0.0064	0.009445
52	0.003508	0.00749	0.01093	0.01419
53	0.001908	0.004234	0.006004	0.00796
54	-0.0005417	0.001007	0.002817	0.0046
55	0.00332	0.006638	0.01009	0.01345
56	0.004036	0.0079	0.01194	0.016
57	0.003897	0.00799	0.01204	0.01662
58	0.003313	0.006664	0.010124	0.01315
59	0.002573	0.005157	0.0077	0.01062
