Seqid	RNA1	RNA2	RNA3	RNA4
0	0.002333	0.004986	0.007812	0.0499
1	0.001107	0.036	0.03693	0.03745
2	0.000683	0.001287	0.002598	0.003647
3	0.001471	0.002943	0.004288	0.005177
4	0.0009494	0.002235	0.003178	0.004128
5	0.003149	0.006718	0.00974	0.012375
6	0.005566	0.01191	0.01775	0.02325
7	0.003277	0.005947	0.008995	0.011856
8	0.000991	0.00183	0.002886	0.003702
9	0.00284	0.005505	0.00864	0.01165
10	0.001296	0.002708	0.00382	0.005413
11	0.004215	0.0083	0.01238	0.01599
12	0.001863	0.00421	0.006157	0.00811
13	0.003086	0.00705	0.01076	0.01386
14	0.002195	0.00442	0.006138	0.00751
15	0.0015955	0.003168	0.005703	0.007996
16	0.001867	0.004368	0.00654	0.00821
17	0.002663	0.005196	0.00724	0.00977
18	0.004887	0.009544	0.01454	0.0196
19	0.001505	0.002542	0.004128	0.00599
20	0.004845	0.009895	0.01366	0.01772
21	0.006523	0.01291	0.0191	0.02477
22	0.002134	0.00513	0.00858	0.01259
23	0.002827	0.005928	0.009	0.012146
24	0.0002992	-6.07e-05	-0.0001866	-0.0006647
25	0.001028	0.002193	0.003872	0.005123
26	0.0005636	0.000935	0.001447	0.002262
27	0.002207	0.00429	0.006275	0.00798
28	0.00226	0.004955	0.00684	0.00909
29	0.001381	0.003061	0.004482	0.006535
30	5.394e-05	0.0007844	0.002096	0.00234
31	0.00295	0.007343	0.01185	0.01611
32	0.002619	0.005524	0.007904	0.00989
33	0.003576	0.00695	0.01072	0.01453
34	0.001503	0.002853	0.003986	0.00502
35	0.0001487	-0.0003052	-0.0005217	-0.00129
36	0.001456	0.003025	0.004513	0.00637
37	0.00459	0.00954	0.01458	0.01962
38	0.001538	0.002787	0.004364	0.00564
39	-0.0002095	-0.0004632	-0.000186	1.55e-05
40	0.00053	0.001391	0.002026	0.00307
41	0.001607	0.003462	0.005653	0.007526
42	0.003012	0.006	0.00908	0.01189
43	0.001736	0.00309	0.00467	0.00654
44	-0.0003455	-0.000371	-4.76e-05	2.116e-05
45	0.001838	0.004105	0.006165	0.008194
46	0.00154	0.003153	0.00446	0.005016
47	0.001235	0.001987	0.00342	0.004944
48	0.002132	0.004047	0.006332	0.00831
49	0.001208	0.002176	0.003267	0.00404
50	0.00198	0.003815	0.05115	0.05304
51	0.002123	0.00449	0.006668	0.00892
52	0.00279	0.006668	0.010544	0.01525
53	0.001641	0.003796	0.00603	0.008446
54	0.001244	0.002584	0.003788	0.005417
55	0.0025	0.00495	0.00738	0.009476
56	0.005375	0.011116	0.01636	0.02144
57	0.003162	0.00687	0.01108	0.015335
58	0.00505	0.010216	0.0156	0.02077
59	0.00199	0.004356	0.00678	0.00856
