Seqid	RNA1	RNA2	RNA3	RNA4
0	0.001594	0.002937	0.00466	0.006424
1	0.0002646	0.0008492	0.0011	0.001331
2	0.0006223	0.001123	0.00202	0.002935
3	0.001826	0.003757	0.00543	0.007435
4	0.001982	0.003658	0.00552	0.00722
5	0.001545	0.00352	0.00574	0.00824
6	0.00416	0.00853	0.0126	0.01646
7	0.0008483	0.001625	0.002335	0.002975
8	0.001483	0.002842	0.00447	0.006104
9	0.001469	0.00305	0.004513	0.00667
10	0.001422	0.003084	0.004707	0.006523
11	0.002354	0.00448	0.00681	0.009026
12	9e-05	5.555e-05	0.0002337	0.0001348
13	0.0013075	0.002985	0.005363	0.00794
14	0.0007486	0.002098	0.003477	0.004345
15	0.0002271	0.001264	0.00229	0.003595
16	0.00271	0.00546	0.00859	0.011375
17	0.000726	0.001401	0.003012	0.003975
18	0.003504	0.007347	0.010994	0.01445
19	0.00164	0.003002	0.00494	0.006405
20	0.002369	0.00491	0.007263	0.009926
21	0.00263	0.005135	0.00793	0.010666
22	0.00355	0.00673	0.01036	0.01426
23	0.00121	0.002857	0.004684	0.006496
24	0.0003808	0.0005565	0.0005403	0.000547
25	0.001653	0.003134	0.004997	0.006916
26	0.001089	0.00253	0.004185	0.006195
27	0.002678	0.005962	0.0095	0.01322
28	0.00194	0.00401	0.006073	0.00823
29	0.001135	0.0022	0.003132	0.004204
30	0.00108	0.002815	0.005066	0.00685
31	0.001706	0.003424	0.005264	0.006668
32	0.001651	0.004036	0.00616	0.00838
33	0.0027	0.005116	0.00766	0.01068
34	0.000945	0.00211	0.003036	0.004078
35	-0.001229	-0.002924	-0.00442	-0.005898
36	7.266e-05	0.0004363	0.0009727	0.001775
37	0.0008354	0.002115	0.003786	0.005924
38	0.0004103	0.00053	0.001036	0.00169
39	-0.000748	-0.001356	-0.001748	-0.002409
40	0.0003326	0.0009284	0.001812	0.002655
41	0.001834	0.0036	0.00526	0.00673
42	0.003471	0.00671	0.00981	0.01279
43	0.0005283	0.001107	0.001842	0.002285
44	0.001255	0.00215	0.003084	0.004585
45	0.001894	0.003649	0.0055	0.007603
46	-0.0002596	6.807e-05	-0.0001659	-0.000606
47	0.0002371	0.0002608	3.95e-05	-0.0001642
48	0.001179	0.002953	0.004852	0.007
49	-0.0004065	-0.0007505	-0.001005	-0.0008054
50	0.001312	0.002705	0.003885	0.0507
51	0.001165	0.00297	0.004887	0.006805
52	0.001855	0.003647	0.00473	0.00606
53	0.0006804	0.00131	0.001885	0.002544
54	-0.0004096	-0.00051	-0.0005126	-0.000628
55	0.002104	0.004177	0.006493	0.008446
56	0.002851	0.007614	0.01214	0.01695
57	0.002636	0.00511	0.00843	0.01188
58	0.005707	0.011185	0.01633	0.02113
59	0.002062	0.004135	0.006134	0.00793
