Geneinfo	sum_inter_counts	mean_inter_counts	bin_counts	bin_ratio
ENSG00000248527.1|MTATP6P1|unprocessed_pseudogene|chr1:[633695,634376)/+	11	5e-05	6	2.7948184066740264e-05
ENSG00000237491.10|LINC01409|lncRNA|chr1:[778746,810065)/+	21	0.0001	14	6.521242948906062e-05
ENSG00000230021.10|ENSG00000230021|transcribed_processed_pseudogene|chr1:[586070,827796)/-	63	0.00029	46	0.00021426941117834203
ENSG00000290784.1|ENSG00000290784|lncRNA|chr1:[800878,817712)/-	6	3e-05	4	1.8632122711160176e-05
ENSG00000230092.8|ENSG00000230092|transcribed_unprocessed_pseudogene|chr1:[805798,810161)/-	1	0.0	1	4.658030677790044e-06
ENSG00000225880.6|LINC00115|lncRNA|chr1:[824227,827539)/-	9	4e-05	7	3.260621474453031e-05
ENSG00000228794.12|LINC01128|lncRNA|chr1:[825137,859446)/+	40	0.00019	24	0.00011179273626696106
ENSG00000272438.1|ENSG00000272438|lncRNA|chr1:[904833,915976)/+	19	9e-05	13	6.055439881127057e-05
ENSG00000187634.13|SAMD11|protein_coding|chr1:[923922,944575)/+	22	0.0001	16	7.45284908446407e-05
ENSG00000188976.11|NOC2L|protein_coding|chr1:[944202,959309)/-	66	0.00031	46	0.00021426941117834203
ENSG00000187961.15|KLHL17|protein_coding|chr1:[960583,965719)/+	11	5e-05	9	4.1922276100110395e-05
ENSG00000187583.11|PLEKHN1|protein_coding|chr1:[966481,975865)/+	5	2e-05	2	9.316061355580088e-06
.	134962	0.62866	15743	0.07333137696044865
ENSG00000272512.1|ENSG00000272512|lncRNA|chr1:[995965,998051)/-	17	8e-05	14	6.521242948906062e-05
ENSG00000188290.11|HES4|protein_coding|chr1:[998961,1000172)/-	20	9e-05	10	4.658030677790044e-05
ENSG00000187608.10|ISG15|protein_coding|chr1:[1001137,1014540)/+	43	0.0002	35	0.00016303107372265155
ENSG00000224969.1|ENSG00000224969|lncRNA|chr1:[1011996,1013193)/-	1	0.0	1	4.658030677790044e-06
ENSG00000188157.15|AGRN|protein_coding|chr1:[1020119,1056118)/+	549	0.00256	370	0.0017234713507823162
ENSG00000242590.1|ENSG00000242590|lncRNA|chr1:[1055032,1056116)/+	119	0.00055	78	0.00036332639286762344
ENSG00000131591.18|C1orf159|protein_coding|chr1:[1081817,1116361)/-	181	0.00084	119	0.0005543056506570152
ENSG00000205231.1|TTLL10-AS1|lncRNA|chr1:[1173055,1179555)/-	5	2e-05	2	9.316061355580088e-06
ENSG00000078808.20|SDF4|protein_coding|chr1:[1216930,1232031)/-	393	0.00183	273	0.001271642375036682
ENSG00000176022.7|B3GALT6|protein_coding|chr1:[1232236,1235041)/+	72	0.00034	49	0.00022824350321171214
ENSG00000184163.3|C1QTNF12|protein_coding|chr1:[1242445,1246722)/-	9	4e-05	5	2.329015338895022e-05
ENSG00000260179.1|ENSG00000260179|lncRNA|chr1:[1249776,1251334)/-	12	6e-05	8	3.726424542232035e-05
ENSG00000160087.21|UBE2J2|protein_coding|chr1:[1253908,1273864)/-	246	0.00115	166	0.0007732330925131473
ENSG00000230415.1|LINC01786|lncRNA|chr1:[1275222,1280420)/+	19	9e-05	14	6.521242948906062e-05
ENSG00000162572.21|SCNN1D|protein_coding|chr1:[1280435,1292029)/+	22	0.0001	16	7.45284908446407e-05
ENSG00000131584.19|ACAP3|protein_coding|chr1:[1292389,1309609)/-	138	0.00064	101	0.00047046109845679446
SNORD167|SNORD167|snoRNA|chr1:[1304728,1304812)/-	8	4e-05	5	2.329015338895022e-05
ENSG00000169972.13|PUSL1|protein_coding|chr1:[1308596,1311677)/+	26	0.00012	16	7.45284908446407e-05
ENSG00000127054.22|INTS11|protein_coding|chr1:[1311584,1324687)/-	158	0.00074	105	0.0004890932211679546
ENSG00000240731.1|ENSG00000240731|lncRNA|chr1:[1317580,1318689)/-	39	0.00018	28	0.00013042485897812124
ENSG00000224051.7|CPTP|protein_coding|chr1:[1324755,1328896)/+	34	0.00016	24	0.00011179273626696106
ENSG00000107404.21|DVL1|protein_coding|chr1:[1335275,1349418)/-	113	0.00053	71	0.0003307201781230931
ENSG00000162576.17|MXRA8|protein_coding|chr1:[1352688,1361777)/-	574	0.00267	385	0.001793341810949167
ENSG00000175756.14|AURKAIP1|protein_coding|chr1:[1373729,1375207)/-	49	0.00023	31	0.00014439895101149135
ENSG00000221978.13|CCNL2|protein_coding|chr1:[1385710,1399335)/-	749	0.00349	504	0.002347647461606182
ENSG00000224870.9|MRPL20-AS1|lncRNA|chr1:[1399514,1402046)/+	15	7e-05	10	4.658030677790044e-05
ENSG00000242485.6|MRPL20|protein_coding|chr1:[1401908,1407293)/-	144	0.00067	98	0.0004564870064234243
ENSG00000264293.2|RN7SL657P|misc_RNA|chr1:[1405459,1405752)/-	7	3e-05	5	2.329015338895022e-05
ENSG00000225285.1|LINC01770|lncRNA|chr1:[1430538,1434573)/-	1	0.0	1	4.658030677790044e-06
ENSG00000160072.20|ATAD3B|protein_coding|chr1:[1471764,1497848)/+	114	0.00053	71	0.0003307201781230931
ENSG00000284740.3|ENSG00000284740|transcribed_unprocessed_pseudogene|chr1:[1503581,1509351)/+	4	2e-05	2	9.316061355580088e-06
ENSG00000197785.14|ATAD3A|protein_coding|chr1:[1512161,1534685)/+	31	0.00014	21	9.781864423359092e-05
ENSG00000205090.9|TMEM240|protein_coding|chr1:[1534777,1540624)/-	7	3e-05	6	2.7948184066740264e-05
ENSG00000160075.12|SSU72|protein_coding|chr1:[1541672,1574863)/-	435	0.00203	292	0.0013601449579146929
ENSG00000272106.1|ENSG00000272106|lncRNA|chr1:[1613757,1615795)/-	9	4e-05	5	2.329015338895022e-05
ENSG00000197530.13|MIB2|protein_coding|chr1:[1615453,1630605)/+	105	0.00049	74	0.00034469427015646327
ENSG00000248333.9|CDK11B|protein_coding|chr1:[1635224,1659012)/-	33	0.00015	23	0.00010713470558917102
ENSG00000189339.12|SLC35E2B|protein_coding|chr1:[1659528,1692795)/-	199	0.00093	140	0.0006521242948906062
ENSG00000008128.23|CDK11A|protein_coding|chr1:[1702378,1724357)/-	27	0.00013	18	8.384455220022079e-05
ENSG00000268575.1|ENSG00000268575|lncRNA|chr1:[1702735,1737688)/-	133	0.00062	93	0.00043319685303447406
ENSG00000290854.1|ENSG00000290854|lncRNA|chr1:[1724837,1745992)/-	112	0.00052	79	0.0003679844235454135
ENSG00000215790.9|SLC35E2A|transcribed_unprocessed_pseudogene|chr1:[1734689,1739557)/-	25	0.00012	16	7.45284908446407e-05
ENSG00000008130.15|NADK|protein_coding|chr1:[1751231,1780457)/-	158	0.00074	103	0.0004797771598123745
ENSG00000078369.19|GNB1|protein_coding|chr1:[1785284,1892292)/-	3340	0.01556	2174	0.010126558693515555
ENSG00000169885.10|CALML6|protein_coding|chr1:[1915107,1917296)/+	2	1e-05	1	4.658030677790044e-06
ENSG00000182873.5|PRKCZ-AS1|lncRNA|chr1:[2181793,2184389)/-	10	5e-05	5	2.329015338895022e-05
ENSG00000162585.17|FAAP20|protein_coding|chr1:[2184460,2212720)/-	122	0.00057	75	0.00034935230083425327
ENSG00000234396.3|ENSG00000234396|lncRNA|chr1:[2212522,2220738)/+	19	9e-05	13	6.055439881127057e-05
ENSG00000157933.11|SKI|protein_coding|chr1:[2227387,2310213)/+	1704	0.00794	1088	0.005067937377435568
ENSG00000287356.1|ENSG00000287356|lncRNA|chr1:[2315039,2323085)/+	2	1e-05	2	9.316061355580088e-06
ENSG00000116151.14|MORN1|protein_coding|chr1:[2321252,2391707)/-	147	0.00068	96	0.00044717094506784423
ENSG00000157916.20|RER1|protein_coding|chr1:[2391774,2405442)/+	609	0.00284	399	0.0018585542404382276
ENSG00000157911.11|PEX10|protein_coding|chr1:[2403963,2413797)/-	80	0.00037	49	0.00022824350321171214
ENSG00000157881.16|PANK4|protein_coding|chr1:[2508536,2526597)/-	56	0.00026	41	0.0001909792577893918
ENSG00000272449.3|ENSG00000272449|lncRNA|chr1:[2530063,2547471)/+	14	7e-05	9	4.1922276100110395e-05
ENSG00000157873.18|TNFRSF14|protein_coding|chr1:[2555638,2565382)/+	33	0.00015	25	0.0001164507669447511
ENSG00000225931.3|ENSG00000225931|TEC|chr1:[2566409,2569888)/+	2	1e-05	1	4.658030677790044e-06
ENSG00000157870.17|PRXL2B|protein_coding|chr1:[2586490,2591469)/+	28	0.00013	21	9.781864423359092e-05
ENSG00000215912.13|TTC34|protein_coding|chr1:[2636985,2801693)/-	23	0.00011	14	6.521242948906062e-05
ENSG00000142611.17|PRDM16|protein_coding|chr1:[3069167,3438621)/+	6	3e-05	5	2.329015338895022e-05
