Geneinfo	sum_inter_counts	mean_inter_counts	bin_counts	bin_ratio
ENSG00000225972.1|MTND1P23|unprocessed_pseudogene|chr1:[629061,629433)/+	27	0.00016	20	0.00011718658447980875
ENSG00000225630.1|MTND2P28|unprocessed_pseudogene|chr1:[629639,630683)/+	5	3e-05	4	2.3437316895961752e-05
ENSG00000230021.10|ENSG00000230021|transcribed_processed_pseudogene|chr1:[586070,827796)/-	107	0.00063	69	0.0004042937164553402
ENSG00000291215.1|ENSG00000291215|lncRNA|chr1:[725884,778688)/-	7	4e-05	6	3.5155975343942626e-05
ENSG00000237491.10|LINC01409|lncRNA|chr1:[778746,810065)/+	26	0.00015	17	9.960859680783744e-05
ENSG00000290784.1|ENSG00000290784|lncRNA|chr1:[800878,817712)/-	14	8e-05	9	5.273396301591394e-05
ENSG00000225880.6|LINC00115|lncRNA|chr1:[824227,827539)/-	4	2e-05	4	2.3437316895961752e-05
ENSG00000228794.12|LINC01128|lncRNA|chr1:[825137,859446)/+	42	0.00025	29	0.0001699205474957227
ENSG00000272438.1|ENSG00000272438|lncRNA|chr1:[904833,915976)/+	24	0.00014	15	8.788993835985656e-05
ENSG00000223764.2|LINC02593|lncRNA|chr1:[916864,921016)/-	23	0.00013	16	9.374926758384701e-05
ENSG00000187634.13|SAMD11|protein_coding|chr1:[923922,944575)/+	29	0.00017	22	0.00012890524292778963
ENSG00000188976.11|NOC2L|protein_coding|chr1:[944202,959309)/-	114	0.00067	67	0.0003925750580073593
ENSG00000187961.15|KLHL17|protein_coding|chr1:[960583,965719)/+	30	0.00018	19	0.00011132725525581831
ENSG00000187583.11|PLEKHN1|protein_coding|chr1:[966481,975865)/+	10	6e-05	8	4.6874633791923503e-05
ENSG00000187642.10|PERM1|protein_coding|chr1:[975197,982117)/-	2	1e-05	1	5.859329223990438e-06
.	144823	0.84857	12070	0.07072210373356458
ENSG00000272512.1|ENSG00000272512|lncRNA|chr1:[995965,998051)/-	32	0.00019	22	0.00012890524292778963
ENSG00000188290.11|HES4|protein_coding|chr1:[998961,1000172)/-	21	0.00012	13	7.617127991187569e-05
ENSG00000187608.10|ISG15|protein_coding|chr1:[1001137,1014540)/+	87	0.00051	61	0.0003574190826634167
ENSG00000224969.1|ENSG00000224969|lncRNA|chr1:[1011996,1013193)/-	4	2e-05	3	1.7577987671971313e-05
ENSG00000188157.15|AGRN|protein_coding|chr1:[1020119,1056118)/+	808	0.00473	528	0.003093725830266951
ENSG00000242590.1|ENSG00000242590|lncRNA|chr1:[1055032,1056116)/+	173	0.00101	113	0.0006621042023109195
ENSG00000131591.18|C1orf159|protein_coding|chr1:[1081817,1116361)/-	257	0.00151	171	0.0010019452973023648
ENSG00000078808.20|SDF4|protein_coding|chr1:[1216930,1232031)/-	516	0.00302	345	0.002021468582276701
ENSG00000176022.7|B3GALT6|protein_coding|chr1:[1232236,1235041)/+	75	0.00044	54	0.00031640377809548365
ENSG00000184163.3|C1QTNF12|protein_coding|chr1:[1242445,1246722)/-	9	5e-05	5	2.9296646119952187e-05
ENSG00000260179.1|ENSG00000260179|lncRNA|chr1:[1249776,1251334)/-	21	0.00012	15	8.788993835985656e-05
ENSG00000160087.21|UBE2J2|protein_coding|chr1:[1253908,1273864)/-	366	0.00214	251	0.0014706916352215998
ENSG00000230415.1|LINC01786|lncRNA|chr1:[1275222,1280420)/+	18	0.00011	10	5.8593292239904374e-05
ENSG00000162572.21|SCNN1D|protein_coding|chr1:[1280435,1292029)/+	29	0.00017	19	0.00011132725525581831
ENSG00000131584.19|ACAP3|protein_coding|chr1:[1292389,1309609)/-	223	0.00131	145	0.0008496027374786134
ENSG00000169972.13|PUSL1|protein_coding|chr1:[1308596,1311677)/+	24	0.00014	14	8.203060913586612e-05
ENSG00000127054.22|INTS11|protein_coding|chr1:[1311584,1324687)/-	193	0.00113	135	0.000791009445238709
ENSG00000240731.1|ENSG00000240731|lncRNA|chr1:[1317580,1318689)/-	69	0.0004	52	0.00030468511964750275
ENSG00000224051.7|CPTP|protein_coding|chr1:[1324755,1328896)/+	38	0.00022	25	0.00014648323059976095
ENSG00000107404.21|DVL1|protein_coding|chr1:[1335275,1349418)/-	151	0.00088	102	0.0005976515808470246
ENSG00000162576.17|MXRA8|protein_coding|chr1:[1352688,1361777)/-	771	0.00452	485	0.0028417746736353624
ENSG00000175756.14|AURKAIP1|protein_coding|chr1:[1373729,1375207)/-	63	0.00037	41	0.00024023249818360795
ENSG00000221978.13|CCNL2|protein_coding|chr1:[1385710,1399335)/-	1111	0.00651	744	0.004359340942648886
ENSG00000224870.9|MRPL20-AS1|lncRNA|chr1:[1399514,1402046)/+	34	0.0002	21	0.00012304591370379918
ENSG00000242485.6|MRPL20|protein_coding|chr1:[1401908,1407293)/-	196	0.00115	133	0.0007792907867907282
ENSG00000160072.20|ATAD3B|protein_coding|chr1:[1471764,1497848)/+	132	0.00077	81	0.00047460566714322544
ENSG00000197785.14|ATAD3A|protein_coding|chr1:[1512161,1534685)/+	61	0.00036	38	0.00022265451051163663
ENSG00000205090.9|TMEM240|protein_coding|chr1:[1534777,1540624)/-	12	7e-05	7	4.101530456793306e-05
ENSG00000160075.12|SSU72|protein_coding|chr1:[1541672,1574863)/-	590	0.00346	399	0.0023378723603721847
ENSG00000272106.1|ENSG00000272106|lncRNA|chr1:[1613757,1615795)/-	19	0.00011	12	7.031195068788525e-05
ENSG00000197530.13|MIB2|protein_coding|chr1:[1615453,1630605)/+	173	0.00101	108	0.0006328075561909673
ENSG00000248333.9|CDK11B|protein_coding|chr1:[1635224,1659012)/-	50	0.00029	34	0.00019921719361567488
ENSG00000189339.12|SLC35E2B|protein_coding|chr1:[1659528,1692795)/-	282	0.00165	189	0.0011074132233341927
ENSG00000008128.23|CDK11A|protein_coding|chr1:[1702378,1724357)/-	50	0.00029	32	0.00018749853516769401
ENSG00000268575.1|ENSG00000268575|lncRNA|chr1:[1702735,1737688)/-	204	0.0012	148	0.0008671807251505847
ENSG00000290854.1|ENSG00000290854|lncRNA|chr1:[1724837,1745992)/-	166	0.00097	123	0.0007206974945508239
ENSG00000227775.3|ENSG00000227775|transcribed_processed_pseudogene|chr1:[1724511,1737251)/+	2	1e-05	2	1.1718658447980876e-05
ENSG00000008130.15|NADK|protein_coding|chr1:[1751231,1780457)/-	263	0.00154	164	0.0009609299927344318
ENSG00000078369.19|GNB1|protein_coding|chr1:[1785284,1892292)/-	4561	0.02672	2777	0.016271357255021445
ENSG00000142609.20|CFAP74|protein_coding|chr1:[1921950,2003837)/-	9	5e-05	7	4.101530456793306e-05
ENSG00000067606.17|PRKCZ|protein_coding|chr1:[2050410,2185395)/+	14	8e-05	10	5.8593292239904374e-05
ENSG00000182873.5|PRKCZ-AS1|lncRNA|chr1:[2181793,2184389)/-	8	5e-05	6	3.5155975343942626e-05
ENSG00000162585.17|FAAP20|protein_coding|chr1:[2184460,2212720)/-	125	0.00073	82	0.0004804649963672159
ENSG00000234396.3|ENSG00000234396|lncRNA|chr1:[2212522,2220738)/+	29	0.00017	19	0.00011132725525581831
ENSG00000157933.11|SKI|protein_coding|chr1:[2227387,2310213)/+	2256	0.01322	1494	0.008753837860641715
