chrom	start	end	other_smallRNA_Shap
chr1	41340928	41342976	-8.912861824035645
chr1	41422848	41424896	-11.994235038757324
chr1	41523200	41525248	-10.857417106628418
chr1	41637888	41639936	-9.634305953979492
chr1	41676800	41678848	-9.778162002563477
chr1	41680896	41682944	-17.583206176757812
chr1	41684992	41687040	-9.25324821472168
chr1	41691136	41693184	-12.60258960723877
chr1	41703424	41705472	-16.23434066772461
chr1	41707520	41709568	-13.310943603515625
chr1	41709568	41711616	-14.373690605163574
chr1	41725952	41728000	-11.809270858764648
chr1	41836544	41838592	-10.932820320129395
chr20	57585664	57587712	-12.959263801574707
chr5	139464704	139466752	-10.593038558959961
chr5	139493376	139495424	-10.667325973510742
chr5	139497472	139499520	-11.399895668029785
chr5	139640832	139642880	-11.787108421325684
chr5	139673600	139675648	-10.237457275390625
chr5	139692032	139694080	-12.210078239440918
chr5	139710464	139712512	-12.954752922058105
chr5	140253184	140255232	-15.25843334197998
chr4	26097664	26099712	-9.321625709533691
chr4	38877184	38879232	-8.842863082885742
chr4	38950912	38952960	-11.976821899414062
chr4	38975488	38977536	-22.09761619567871
chr4	38987776	38989824	-19.08365249633789
chr4	39057408	39059456	-29.682872772216797
chr11	19601408	19603456	-12.626123428344727
chr11	19615744	19617792	-9.815415382385254
chr11	19632128	19634176	-17.659297943115234
chr11	19636224	19638272	-13.745407104492188
chr11	19646464	19648512	-10.857284545898438
chr11	19650560	19652608	-10.953530311584473
chr11	19656704	19658752	-11.878191947937012
chr11	19662848	19664896	-18.31285858154297
chr11	19664896	19666944	-10.395105361938477
chr11	19671040	19673088	-9.526896476745605
chr11	19683328	19685376	-11.088353157043457
chr11	19697664	19699712	-15.64488697052002
chr11	19730432	19732480	-8.893227577209473
chr11	19732480	19734528	-10.13537311553955
chr11	19777536	19779584	-9.08531379699707
chr11	19800064	19802112	-11.571710586547852
chr11	19804160	19806208	-8.803388595581055
chr11	19828736	19830784	-9.374734878540039
chr11	19832832	19834880	-9.857061386108398
chr11	19838976	19841024	-12.93254566192627
chr11	19847168	19849216	-20.578609466552734
chr11	19867648	19869696	-9.98469352722168
chr12	26214400	26216448	-11.706964492797852
chr12	26832896	26834944	-10.393975257873535
chr12	26875904	26877952	-9.073662757873535
chr18	74598400	74600448	-10.141051292419434
chr18	74700800	74702848	-10.537699699401855
chr18	74743808	74745856	-13.11467170715332
chr18	74786816	74788864	-10.221092224121094
chr18	74790912	74792960	-10.322717666625977
chr15	48904192	48906240	-10.38585090637207
chr15	49119232	49121280	-10.1738920211792
chr15	49672192	49674240	-8.978464126586914
chr15	49674240	49676288	-10.148041725158691
chr15	49725440	49727488	-9.669012069702148
chr1	94832640	94834688	-10.08899211883545
chr1	94859264	94861312	-16.05877685546875
chr1	94861312	94863360	-14.00877857208252
chr1	94863360	94865408	-9.322504043579102
chr1	94871552	94873600	-11.931116104125977
chr1	94889984	94892032	-15.224571228027344
chr1	94892032	94894080	-16.627458572387695
chr1	94902272	94904320	-14.381998062133789
chr1	94906368	94908416	-25.176982879638672
chr1	94908416	94910464	-23.4349308013916
chr1	94914560	94916608	-16.481609344482422
chr1	94943232	94945280	-11.890238761901855
chr1	94963712	94965760	-12.5453462600708
chr1	94978048	94980096	-12.619341850280762
chr1	94980096	94982144	-8.854009628295898
chr1	95008768	95010816	-11.334861755371094
chr1	95014912	95016960	-13.536966323852539
chr1	95025152	95027200	-11.074239730834961
chr1	95074304	95076352	-8.787126541137695
chr1	95178752	95180800	-9.227071762084961
chr21	20002816	20004864	-10.421880722045898
chr15	85315584	85317632	-12.460683822631836
chr15	85317632	85319680	-13.516031265258789
chr15	85319680	85321728	-9.540410041809082
chr15	85325824	85327872	-10.827228546142578
chr15	85336064	85338112	-18.141098022460938
chr15	85340160	85342208	-10.137128829956055
chr15	85360640	85362688	-19.675945281982422
chr15	85362688	85364736	-20.233867645263672
chr15	85364736	85366784	-9.439142227172852
chr15	85383168	85385216	-9.456010818481445
chr15	85393408	85395456	-10.634679794311523
chr15	85397504	85399552	-11.186813354492188
chr15	85399552	85401600	-17.239566802978516
chr15	85403648	85405696	-13.083547592163086
chr15	85411840	85413888	-14.646657943725586
chr15	85415936	85417984	-9.104976654052734
chr15	85442560	85444608	-12.6738920211792
chr15	85444608	85446656	-15.567601203918457
chr15	85489664	85491712	-9.011213302612305
chr15	85495808	85497856	-12.151759147644043
chr15	85499904	85501952	-16.528398513793945
chr15	85536768	85538816	-11.242889404296875
chr15	85538816	85540864	-9.89793586730957
chr15	85547008	85549056	-12.077466011047363
chr15	85549056	85551104	-16.682659149169922
chr15	85553152	85555200	-15.203315734863281
chr15	85575680	85577728	-15.051347732543945
chr15	85620736	85622784	-10.222565650939941
chr15	85637120	85639168	-8.86915111541748
chr15	85641216	85643264	-13.62547779083252
chr15	85657600	85659648	-13.331274032592773
chr15	85659648	85661696	-27.550098419189453
chr15	85684224	85686272	-11.921384811401367
chr15	85747712	85749760	-13.025588989257812
chr10	101857280	101859328	-12.32166576385498
chr10	101859328	101861376	-11.995107650756836
chr10	101906432	101908480	-15.41929817199707
chr10	101908480	101910528	-9.848114013671875
chr10	101914624	101916672	-9.01707649230957
chr10	101933056	101935104	-16.1051025390625
chr10	101935104	101937152	-11.314377784729004
chr10	101947392	101949440	-13.008923530578613
chr10	102305792	102307840	-12.885782241821289
