Geneinfo	sum_inter_counts	mean_inter_counts	bin_counts	bin_ratio
ENSG00000225630.1|MTND2P28|unprocessed_pseudogene|chr1:[629639,630683)/+	4	2e-05	3	1.6075619715140018e-05
ENSG00000237491.10|LINC01409|lncRNA|chr1:[778746,810065)/+	18	0.0001	14	7.501955867065342e-05
ENSG00000230021.10|ENSG00000230021|transcribed_processed_pseudogene|chr1:[586070,827796)/-	84	0.00045	56	0.0003000782346826137
ENSG00000290784.1|ENSG00000290784|lncRNA|chr1:[800878,817712)/-	10	5e-05	7	3.750977933532671e-05
ENSG00000177757.2|FAM87B|lncRNA|chr1:[817370,819837)/+	2	1e-05	1	5.358539905046673e-06
ENSG00000228794.12|LINC01128|lncRNA|chr1:[825137,859446)/+	46	0.00025	29	0.00015539765724635352
ENSG00000272438.1|ENSG00000272438|lncRNA|chr1:[904833,915976)/+	28	0.00015	17	9.109517838579344e-05
.	141614	0.75884	13024	0.06978962372332786
ENSG00000223764.2|LINC02593|lncRNA|chr1:[916864,921016)/-	16	9e-05	10	5.358539905046673e-05
ENSG00000187634.13|SAMD11|protein_coding|chr1:[923922,944575)/+	40	0.00021	24	0.00012860495772112015
ENSG00000188976.11|NOC2L|protein_coding|chr1:[944202,959309)/-	137	0.00073	85	0.0004554758919289672
ENSG00000187961.15|KLHL17|protein_coding|chr1:[960583,965719)/+	22	0.00012	12	6.430247886056007e-05
ENSG00000187583.11|PLEKHN1|protein_coding|chr1:[966481,975865)/+	8	4e-05	5	2.6792699525233366e-05
ENSG00000272512.1|ENSG00000272512|lncRNA|chr1:[995965,998051)/-	31	0.00017	24	0.00012860495772112015
ENSG00000188290.11|HES4|protein_coding|chr1:[998961,1000172)/-	15	8e-05	11	5.89439389555134e-05
ENSG00000187608.10|ISG15|protein_coding|chr1:[1001137,1014540)/+	74	0.0004	50	0.00026792699525233365
ENSG00000224969.1|ENSG00000224969|lncRNA|chr1:[1011996,1013193)/-	3	2e-05	2	1.0717079810093346e-05
ENSG00000188157.15|AGRN|protein_coding|chr1:[1020119,1056118)/+	729	0.00391	490	0.0026256845534728696
ENSG00000242590.1|ENSG00000242590|lncRNA|chr1:[1055032,1056116)/+	169	0.00091	114	0.0006108735491753207
ENSG00000131591.18|C1orf159|protein_coding|chr1:[1081817,1116361)/-	265	0.00142	167	0.0008948761641427944
ENSG00000078808.20|SDF4|protein_coding|chr1:[1216930,1232031)/-	509	0.00273	350	0.0018754889667663354
ENSG00000176022.7|B3GALT6|protein_coding|chr1:[1232236,1235041)/+	74	0.0004	52	0.000278644075062427
ENSG00000184163.3|C1QTNF12|protein_coding|chr1:[1242445,1246722)/-	10	5e-05	6	3.2151239430280037e-05
