Geneinfo	sum_inter_counts	mean_inter_counts	bin_counts	bin_ratio
ENSG00000230021.10|ENSG00000230021|transcribed_processed_pseudogene|chr1:[586070,827796)/-	1	0.00046	1	0.00045934772622875517
ENSG00000223764.2|LINC02593|lncRNA|chr1:[916864,921016)/-	1	0.00046	1	0.00045934772622875517
ENSG00000188290.11|HES4|protein_coding|chr1:[998961,1000172)/-	1	0.00046	1	0.00045934772622875517
ENSG00000278073.1|MIR6726|miRNA|chr1:[1296109,1296170)/-	3	0.00138	2	0.0009186954524575103
ENSG00000107404.21|DVL1|protein_coding|chr1:[1335275,1349418)/-	3	0.00138	2	0.0009186954524575103
ENSG00000162576.17|MXRA8|protein_coding|chr1:[1352688,1361777)/-	12	0.00551	8	0.0036747818098300414
ENSG00000221978.13|CCNL2|protein_coding|chr1:[1385710,1399335)/-	18	0.00827	10	0.004593477262287551
ENSG00000160075.12|SSU72|protein_coding|chr1:[1541672,1574863)/-	6	0.00276	5	0.0022967386311437757
ENSG00000248333.9|CDK11B|protein_coding|chr1:[1635224,1659012)/-	4	0.00184	2	0.0009186954524575103
ENSG00000189339.12|SLC35E2B|protein_coding|chr1:[1659528,1692795)/-	6	0.00276	5	0.0022967386311437757
ENSG00000078369.19|GNB1|protein_coding|chr1:[1785284,1892292)/-	46	0.02113	27	0.01240238860817639
ENSG00000157933.11|SKI|protein_coding|chr1:[2227387,2310213)/+	30	0.01378	17	0.0078089113458888375
ENSG00000157916.20|RER1|protein_coding|chr1:[2391774,2405442)/+	15	0.00689	8	0.0036747818098300414
ENSG00000162591.17|MEGF6|protein_coding|chr1:[3487950,3611508)/-	9	0.00413	7	0.003215434083601286
ENSG00000130764.10|LRRC47|protein_coding|chr1:[3778558,3796498)/-	4	0.00184	3	0.0013780431786862655
ENSG00000198912.12|C1orf174|protein_coding|chr1:[3889124,3900293)/-	5	0.0023	2	0.0009186954524575103
ENSG00000131697.18|NPHP4|protein_coding|chr1:[5862810,5992473)/-	5	0.0023	5	0.0022967386311437757
ENSG00000285629.1|ENSG00000285629|protein_coding|chr1:[6159429,6197757)/-	5	0.0023	4	0.0018373909049150207
ENSG00000116251.11|RPL22|protein_coding|chr1:[6185019,6209389)/-	5	0.0023	4	0.0018373909049150207
ENSG00000116237.16|ICMT|protein_coding|chr1:[6221192,6235972)/-	10	0.00459	9	0.004134129536058797
ENSG00000097021.21|ACOT7|protein_coding|chr1:[6264268,6393767)/-	2	0.00092	2	0.0009186954524575103
ENSG00000215788.11|TNFRSF25|protein_coding|chr1:[6460785,6466175)/-	1	0.00046	1	0.00045934772622875517
ENSG00000041988.16|THAP3|protein_coding|chr1:[6624867,6635586)/+	2	0.00092	2	0.0009186954524575103
ENSG00000171735.20|CAMTA1|protein_coding|chr1:[6785453,7769706)/+	15	0.00689	8	0.0036747818098300414
ENSG00000049245.13|VAMP3|protein_coding|chr1:[7771295,7781432)/+	15	0.00689	11	0.005052824988516307
ENSG00000142599.20|RERE|protein_coding|chr1:[8352396,8848921)/-	94	0.04318	50	0.022967386311437757
ENSG00000228526.8|MIR34AHG|lncRNA|chr1:[9148010,9198906)/-	26	0.01194	15	0.006890215893431328
ENSG00000289914.1|ENSG00000289914|lncRNA|chr1:[9162321,9162945)/-	1	0.00046	1	0.00045934772622875517
ENSG00000049239.13|H6PD|protein_coding|chr1:[9234773,9271337)/+	21	0.00965	13	0.0059715204409738175
ENSG00000171612.7|SLC25A33|protein_coding|chr1:[9539464,9585173)/+	6	0.00276	5	0.0022967386311437757
ENSG00000162441.12|LZIC|protein_coding|chr1:[9922112,9943407)/-	4	0.00184	3	0.0013780431786862655
ENSG00000130939.20|UBE4B|protein_coding|chr1:[10032831,10181239)/+	29	0.01332	24	0.011024345429490124
ENSG00000054523.20|KIF1B|protein_coding|chr1:[10210569,10381603)/+	28	0.01286	19	0.008727606798346348
ENSG00000160049.12|DFFA|protein_coding|chr1:[10456521,10472529)/-	5	0.0023	5	0.0022967386311437757
ENSG00000142655.13|PEX14|protein_coding|chr1:[10472287,10630758)/+	14	0.00643	10	0.004593477262287551
ENSG00000120948.19|TARDBP|protein_coding|chr1:[11012343,11030528)/+	12	0.00551	7	0.003215434083601286
ENSG00000171824.14|EXOSC10|protein_coding|chr1:[11066617,11099869)/-	14	0.00643	7	0.003215434083601286
ENSG00000198793.14|MTOR|protein_coding|chr1:[11106534,11262556)/-	22	0.01011	16	0.007349563619660083
ENSG00000177674.16|AGTRAP|protein_coding|chr1:[11736083,11754802)/+	1	0.00046	1	0.00045934772622875517
ENSG00000011021.23|CLCN6|protein_coding|chr1:[11806095,11848079)/+	6	0.00276	5	0.0022967386311437757
ENSG00000199347.1|RNU5E-1|snRNA|chr1:[11908151,11908271)/+	53	0.02435	31	0.01423977951309141
ENSG00000083444.17|PLOD1|protein_coding|chr1:[11934204,11975538)/+	9	0.00413	7	0.003215434083601286
ENSG00000028137.19|TNFRSF1B|protein_coding|chr1:[12166990,12209228)/+	4	0.00184	2	0.0009186954524575103
ENSG00000048707.15|VPS13D|protein_coding|chr1:[12230029,12512047)/+	54	0.0248	35	0.01607717041800643
ENSG00000162496.9|DHRS3|protein_coding|chr1:[12567909,12618210)/-	75	0.03445	45	0.02067064768029398
ENSG00000116731.23|PRDM2|protein_coding|chr1:[13700187,13825079)/+	18	0.00827	15	0.006890215893431328
ENSG00000189337.17|KAZN|protein_coding|chr1:[13892791,15118043)/+	21	0.00965	10	0.004593477262287551
ENSG00000116138.13|DNAJC16|protein_coding|chr1:[15526812,15592379)/+	11	0.00505	7	0.003215434083601286
ENSG00000197312.12|DDI2|protein_coding|chr1:[15617457,15669044)/+	17	0.00781	9	0.004134129536058797
ENSG00000116786.13|PLEKHM2|protein_coding|chr1:[15684319,15734769)/+	10	0.00459	7	0.003215434083601286
ENSG00000065526.13|SPEN|protein_coding|chr1:[15836094,15940456)/+	11	0.00505	8	0.0036747818098300414
ENSG00000037637.11|FBXO42|protein_coding|chr1:[16246839,16352480)/-	34	0.01562	20	0.009186954524575103
