chrom	start	end	protein_coding_Shap
chrX	9717760	9719808	91.12007141113281
chr11	41361408	41363456	94.18253326416016
chr11	41431040	41433088	108.70127868652344
chr11	41697280	41699328	102.18930053710938
chr1	41490432	41492480	112.38314056396484
chr1	41535488	41537536	131.38568115234375
chr1	41924608	41926656	103.5814208984375
chr1	42172416	42174464	127.30165100097656
chr1	42174464	42176512	103.2615966796875
chr2	21831680	21833728	149.5181427001953
chr5	140120064	140122112	94.95100402832031
chr4	38666240	38668288	180.60643005371094
chr12	26193920	26195968	103.54945373535156
chr12	26630144	26632192	94.33407592773438
chr12	26634240	26636288	109.5054702758789
chr12	26640384	26642432	85.79969787597656
chr12	26787840	26789888	87.60494232177734
chr12	26865664	26867712	105.96736145019531
chr12	27009024	27011072	92.79338836669922
chr12	27023360	27025408	97.15778350830078
chr4	63811584	63813632	100.89769744873047
chr4	63924224	63926272	93.798095703125
chr4	63965184	63967232	117.17928314208984
chr4	64165888	64167936	122.5046157836914
chr4	64249856	64251904	90.72228240966797
chr15	49242112	49244160	109.27103424072266
chr15	49416192	49418240	199.4868927001953
chr15	49520640	49522688	117.81356048583984
chr1	95301632	95303680	195.66256713867188
chr1	95459328	95461376	157.44540405273438
chr1	95528960	95531008	110.21026611328125
chr21	19605504	19607552	99.42589569091797
chr21	19879936	19881984	124.06500244140625
chr9	30418944	30420992	139.13034057617188
chr9	30447616	30449664	139.27230834960938
chr9	30474240	30476288	104.17630767822266
chr9	30480384	30482432	91.41749572753906
chr9	30816256	30818304	147.95208740234375
chr9	30943232	30945280	170.36688232421875
chr9	31031296	31033344	134.74520874023438
chr9	31088640	31090688	209.23886108398438
chr9	31143936	31145984	161.5657501220703
chr15	85856256	85858304	105.67842864990234
chr12	29145088	29147136	136.14340209960938
chr12	29175808	29177856	140.5601348876953
chr10	102582272	102584320	164.40078735351562
chr4	95047680	95049728	90.2392807006836
chr4	95121408	95123456	121.7476806640625
chr4	95313920	95315968	132.7658233642578
chr4	95492096	95494144	121.07466888427734
chr4	95643648	95645696	98.54542541503906
chr4	95674368	95676416	106.59375
chr4	95692800	95694848	91.3110580444336
chr4	95891456	95893504	259.06060791015625
chr1	207321088	207323136	98.3082504272461
chr7	100100096	100102144	94.6051025390625
chr7	100292608	100294656	91.86558532714844
chr7	100800512	100802560	89.36299133300781
chr7	100804608	100806656	107.83100891113281
chr7	100806656	100808704	99.09538269042969
chr7	100958208	100960256	123.58009338378906
chr10	120848384	120850432	169.7020721435547
chr10	120911872	120913920	121.9426498413086
chr10	120913920	120915968	118.31693267822266
chr10	120920064	120922112	113.05284118652344
chr10	121047040	121049088	95.11517333984375
chr10	121176064	121178112	177.478759765625
chr10	53106688	53108736	207.1266632080078
chr13	38770688	38772736	152.14588928222656
