Geneinfo	sum_inter_counts	mean_inter_counts	bin_counts	bin_ratio
ENSG00000230021.10|ENSG00000230021|transcribed_processed_pseudogene|chr1:[586070,827796)/-	4	0.00027	4	0.000273728871552727
ENSG00000228794.12|LINC01128|lncRNA|chr1:[825137,859446)/+	4	0.00027	2	0.0001368644357763635
.	8386	0.57387	933	0.06384725928967358
ENSG00000188976.11|NOC2L|protein_coding|chr1:[944202,959309)/-	17	0.00116	8	0.000547457743105454
ENSG00000187583.11|PLEKHN1|protein_coding|chr1:[966481,975865)/+	1	7e-05	1	6.843221788818175e-05
ENSG00000187608.10|ISG15|protein_coding|chr1:[1001137,1014540)/+	3	0.00021	2	0.0001368644357763635
ENSG00000188157.15|AGRN|protein_coding|chr1:[1020119,1056118)/+	41	0.00281	27	0.0018476698829809075
ENSG00000131591.18|C1orf159|protein_coding|chr1:[1081817,1116361)/-	17	0.00116	11	0.0007527543967699994
ENSG00000078808.20|SDF4|protein_coding|chr1:[1216930,1232031)/-	28	0.00192	22	0.0015055087935399987
ENSG00000160087.21|UBE2J2|protein_coding|chr1:[1253908,1273864)/-	15	0.00103	10	0.0006843221788818176
ENSG00000131584.19|ACAP3|protein_coding|chr1:[1292389,1309609)/-	10	0.00068	5	0.0003421610894409088
ENSG00000127054.22|INTS11|protein_coding|chr1:[1311584,1324687)/-	11	0.00075	7	0.0004790255252172723
ENSG00000162576.17|MXRA8|protein_coding|chr1:[1352688,1361777)/-	50	0.00342	32	0.002189830972421816
ENSG00000221978.13|CCNL2|protein_coding|chr1:[1385710,1399335)/-	42	0.00287	25	0.001710805447204544
ENSG00000284740.3|ENSG00000284740|transcribed_unprocessed_pseudogene|chr1:[1503581,1509351)/+	1	7e-05	1	6.843221788818175e-05
ENSG00000197785.14|ATAD3A|protein_coding|chr1:[1512161,1534685)/+	6	0.00041	2	0.0001368644357763635
ENSG00000160075.12|SSU72|protein_coding|chr1:[1541672,1574863)/-	36	0.00246	21	0.0014370765756518168
ENSG00000197530.13|MIB2|protein_coding|chr1:[1615453,1630605)/+	9	0.00062	4	0.000273728871552727
ENSG00000248333.9|CDK11B|protein_coding|chr1:[1635224,1659012)/-	1	7e-05	1	6.843221788818175e-05
ENSG00000008128.23|CDK11A|protein_coding|chr1:[1702378,1724357)/-	3	0.00021	1	6.843221788818175e-05
ENSG00000268575.1|ENSG00000268575|lncRNA|chr1:[1702735,1737688)/-	13	0.00089	7	0.0004790255252172723
ENSG00000008130.15|NADK|protein_coding|chr1:[1751231,1780457)/-	15	0.00103	8	0.000547457743105454
ENSG00000078369.19|GNB1|protein_coding|chr1:[1785284,1892292)/-	218	0.01492	140	0.009580510504345446
ENSG00000142609.20|CFAP74|protein_coding|chr1:[1921950,2003837)/-	1	7e-05	1	6.843221788818175e-05
ENSG00000162585.17|FAAP20|protein_coding|chr1:[2184460,2212720)/-	6	0.00041	6	0.0004105933073290905
ENSG00000234396.3|ENSG00000234396|lncRNA|chr1:[2212522,2220738)/+	1	7e-05	1	6.843221788818175e-05
ENSG00000157933.11|SKI|protein_coding|chr1:[2227387,2310213)/+	108	0.00739	71	0.004858687470060905
ENSG00000116151.14|MORN1|protein_coding|chr1:[2321252,2391707)/-	11	0.00075	8	0.000547457743105454
