Geneinfo	sum_inter_counts	mean_inter_counts	bin_counts	bin_ratio
ENSG00000230021.10|ENSG00000230021|transcribed_processed_pseudogene|chr1:[586070,827796)/-	11	0.00055	10	0.0004997251511668582
ENSG00000177757.2|FAM87B|lncRNA|chr1:[817370,819837)/+	2	0.0001	1	4.997251511668582e-05
ENSG00000223764.2|LINC02593|lncRNA|chr1:[916864,921016)/-	1	5e-05	1	4.997251511668582e-05
.	15060	0.75259	1379	0.06891209834590975
ENSG00000188976.11|NOC2L|protein_coding|chr1:[944202,959309)/-	14	0.0007	6	0.00029983509070011493
ENSG00000188290.11|HES4|protein_coding|chr1:[998961,1000172)/-	1	5e-05	1	4.997251511668582e-05
ENSG00000188157.15|AGRN|protein_coding|chr1:[1020119,1056118)/+	68	0.0034	43	0.0021488181500174904
ENSG00000242590.1|ENSG00000242590|lncRNA|chr1:[1055032,1056116)/+	14	0.0007	9	0.0004497526360501724
ENSG00000131591.18|C1orf159|protein_coding|chr1:[1081817,1116361)/-	22	0.0011	16	0.0007995602418669731
ENSG00000078808.20|SDF4|protein_coding|chr1:[1216930,1232031)/-	62	0.0031	40	0.001998900604667433
ENSG00000176022.7|B3GALT6|protein_coding|chr1:[1232236,1235041)/+	8	0.0004	6	0.00029983509070011493
ENSG00000160087.21|UBE2J2|protein_coding|chr1:[1253908,1273864)/-	40	0.002	27	0.0013492579081505172
ENSG00000278073.1|MIR6726|miRNA|chr1:[1296109,1296170)/-	3	0.00015	2	9.994503023337164e-05
ENSG00000131584.19|ACAP3|protein_coding|chr1:[1292389,1309609)/-	27	0.00135	16	0.0007995602418669731
ENSG00000127054.22|INTS11|protein_coding|chr1:[1311584,1324687)/-	20	0.001	11	0.0005496976662835441
ENSG00000240731.1|ENSG00000240731|lncRNA|chr1:[1317580,1318689)/-	2	0.0001	2	9.994503023337164e-05
ENSG00000107404.21|DVL1|protein_coding|chr1:[1335275,1349418)/-	17	0.00085	11	0.0005496976662835441
ENSG00000162576.17|MXRA8|protein_coding|chr1:[1352688,1361777)/-	74	0.0037	50	0.002498625755834291
ENSG00000221978.13|CCNL2|protein_coding|chr1:[1385710,1399335)/-	104	0.0052	73	0.003647993603518065
ENSG00000242485.6|MRPL20|protein_coding|chr1:[1401908,1407293)/-	12	0.0006	9	0.0004497526360501724
ENSG00000215915.10|ATAD3C|protein_coding|chr1:[1449688,1470163)/+	1	5e-05	1	4.997251511668582e-05
