Geneinfo	sum_inter_counts	mean_inter_counts	bin_counts	bin_ratio
ENSG00000225972.1|MTND1P23|unprocessed_pseudogene|chr1:[629061,629433)/+	24	9e-05	19	7.350068278265848e-05
ENSG00000248527.1|MTATP6P1|unprocessed_pseudogene|chr1:[633695,634376)/+	3	1e-05	3	1.1605370965682917e-05
ENSG00000230021.10|ENSG00000230021|transcribed_processed_pseudogene|chr1:[586070,827796)/-	118	0.00046	79	0.0003056081020963168
ENSG00000291215.1|ENSG00000291215|lncRNA|chr1:[725884,778688)/-	9	3e-05	4	1.547382795424389e-05
ENSG00000237491.10|LINC01409|lncRNA|chr1:[778746,810065)/+	24	9e-05	14	5.4158397839853616e-05
ENSG00000290784.1|ENSG00000290784|lncRNA|chr1:[800878,817712)/-	17	7e-05	13	5.0289940851292646e-05
ENSG00000177757.2|FAM87B|lncRNA|chr1:[817370,819837)/+	2	1e-05	1	3.868456988560973e-06
ENSG00000225880.6|LINC00115|lncRNA|chr1:[824227,827539)/-	9	3e-05	7	2.7079198919926808e-05
ENSG00000228794.12|LINC01128|lncRNA|chr1:[825137,859446)/+	56	0.00022	36	0.000139264451588195
ENSG00000288531.1|ENSG00000288531|lncRNA|chr1:[860225,868202)/+	1	0.0	1	3.868456988560973e-06
ENSG00000272438.1|ENSG00000272438|lncRNA|chr1:[904833,915976)/+	22	9e-05	13	5.0289940851292646e-05
ENSG00000230699.2|ENSG00000230699|lncRNA|chr1:[911434,914948)/+	11	4e-05	6	2.3210741931365835e-05
ENSG00000223764.2|LINC02593|lncRNA|chr1:[916864,921016)/-	24	9e-05	17	6.576376880553654e-05
.	167473	0.64786	18736	0.07247941013767839
ENSG00000187634.13|SAMD11|protein_coding|chr1:[923922,944575)/+	33	0.00013	26	0.00010057988170258529
ENSG00000188976.11|NOC2L|protein_coding|chr1:[944202,959309)/-	106	0.00041	65	0.0002514497042564632
ENSG00000187961.15|KLHL17|protein_coding|chr1:[960583,965719)/+	15	6e-05	11	4.25530268741707e-05
ENSG00000272512.1|ENSG00000272512|lncRNA|chr1:[995965,998051)/-	28	0.00011	21	8.123759675978042e-05
ENSG00000188290.11|HES4|protein_coding|chr1:[998961,1000172)/-	29	0.00011	17	6.576376880553654e-05
ENSG00000187608.10|ISG15|protein_coding|chr1:[1001137,1014540)/+	77	0.0003	53	0.00020502822039373156
ENSG00000188157.15|AGRN|protein_coding|chr1:[1020119,1056118)/+	901	0.00349	578	0.0022359681393882423
ENSG00000242590.1|ENSG00000242590|lncRNA|chr1:[1055032,1056116)/+	203	0.00079	130	0.0005028994085129264
ENSG00000131591.18|C1orf159|protein_coding|chr1:[1081817,1116361)/-	245	0.00095	174	0.0006731115160096093
ENSG00000205231.1|TTLL10-AS1|lncRNA|chr1:[1173055,1179555)/-	5	2e-05	2	7.736913977121945e-06
ENSG00000078808.20|SDF4|protein_coding|chr1:[1216930,1232031)/-	510	0.00197	349	0.0013500914890077795
ENSG00000176022.7|B3GALT6|protein_coding|chr1:[1232236,1235041)/+	96	0.00037	65	0.0002514497042564632
ENSG00000184163.3|C1QTNF12|protein_coding|chr1:[1242445,1246722)/-	12	5e-05	7	2.7079198919926808e-05
ENSG00000260179.1|ENSG00000260179|lncRNA|chr1:[1249776,1251334)/-	18	7e-05	11	4.25530268741707e-05
ENSG00000160087.21|UBE2J2|protein_coding|chr1:[1253908,1273864)/-	343	0.00133	220	0.000851060537483414
ENSG00000230415.1|LINC01786|lncRNA|chr1:[1275222,1280420)/+	15	6e-05	10	3.868456988560973e-05
ENSG00000162572.21|SCNN1D|protein_coding|chr1:[1280435,1292029)/+	26	0.0001	18	6.96322257940975e-05
ENSG00000131584.19|ACAP3|protein_coding|chr1:[1292389,1309609)/-	186	0.00072	119	0.00046034638163875574
ENSG00000278073.1|MIR6726|miRNA|chr1:[1296109,1296170)/-	4	2e-05	3	1.1605370965682917e-05
ENSG00000169972.13|PUSL1|protein_coding|chr1:[1308596,1311677)/+	21	8e-05	16	6.189531181697556e-05
ENSG00000127054.22|INTS11|protein_coding|chr1:[1311584,1324687)/-	197	0.00076	126	0.00048742558055868255
ENSG00000283712.1|MIR6727|miRNA|chr1:[1312501,1312566)/-	5	2e-05	2	7.736913977121945e-06
ENSG00000240731.1|ENSG00000240731|lncRNA|chr1:[1317580,1318689)/-	37	0.00014	27	0.00010444833869114627
ENSG00000224051.7|CPTP|protein_coding|chr1:[1324755,1328896)/+	32	0.00012	21	8.123759675978042e-05
ENSG00000107404.21|DVL1|protein_coding|chr1:[1335275,1349418)/-	161	0.00062	110	0.000425530268741707
ENSG00000162576.17|MXRA8|protein_coding|chr1:[1352688,1361777)/-	863	0.00334	565	0.0021856781985369494
ENSG00000175756.14|AURKAIP1|protein_coding|chr1:[1373729,1375207)/-	83	0.00032	52	0.00020115976340517058
ENSG00000221978.13|CCNL2|protein_coding|chr1:[1385710,1399335)/-	1026	0.00397	696	0.002692446064038437
ENSG00000224870.9|MRPL20-AS1|lncRNA|chr1:[1399514,1402046)/+	20	8e-05	13	5.0289940851292646e-05
ENSG00000242485.6|MRPL20|protein_coding|chr1:[1401908,1407293)/-	170	0.00066	115	0.00044487255368451183
ENSG00000215915.10|ATAD3C|protein_coding|chr1:[1449688,1470163)/+	4	2e-05	4	1.547382795424389e-05
ENSG00000160072.20|ATAD3B|protein_coding|chr1:[1471764,1497848)/+	153	0.00059	92	0.0003558980429476095
ENSG00000284740.3|ENSG00000284740|transcribed_unprocessed_pseudogene|chr1:[1503581,1509351)/+	8	3e-05	5	1.9342284942804864e-05
ENSG00000197785.14|ATAD3A|protein_coding|chr1:[1512161,1534685)/+	60	0.00023	34	0.00013152753761107308
ENSG00000205090.9|TMEM240|protein_coding|chr1:[1534777,1540624)/-	22	9e-05	13	5.0289940851292646e-05
ENSG00000160075.12|SSU72|protein_coding|chr1:[1541672,1574863)/-	635	0.00246	418	0.0016170150212184867
ENSG00000272106.1|ENSG00000272106|lncRNA|chr1:[1613757,1615795)/-	21	8e-05	14	5.4158397839853616e-05
ENSG00000197530.13|MIB2|protein_coding|chr1:[1615453,1630605)/+	192	0.00074	121	0.0004680832956158777
ENSG00000248333.9|CDK11B|protein_coding|chr1:[1635224,1659012)/-	49	0.00019	34	0.00013152753761107308
ENSG00000189339.12|SLC35E2B|protein_coding|chr1:[1659528,1692795)/-	264	0.00102	184	0.000711796085895219
ENSG00000008128.23|CDK11A|protein_coding|chr1:[1702378,1724357)/-	45	0.00017	32	0.00012379062363395113
ENSG00000268575.1|ENSG00000268575|lncRNA|chr1:[1702735,1737688)/-	167	0.00065	118	0.0004564779246501948
ENSG00000290854.1|ENSG00000290854|lncRNA|chr1:[1724837,1745992)/-	129	0.0005	92	0.0003558980429476095
ENSG00000227775.3|ENSG00000227775|transcribed_processed_pseudogene|chr1:[1724511,1737251)/+	2	1e-05	2	7.736913977121945e-06
ENSG00000008130.15|NADK|protein_coding|chr1:[1751231,1780457)/-	250	0.00097	165	0.0006382954031125605
ENSG00000078369.19|GNB1|protein_coding|chr1:[1785284,1892292)/-	4462	0.01726	2771	0.010719494315302456
ENSG00000169885.10|CALML6|protein_coding|chr1:[1915107,1917296)/+	2	1e-05	1	3.868456988560973e-06
ENSG00000142609.20|CFAP74|protein_coding|chr1:[1921950,2003837)/-	5	2e-05	5	1.9342284942804864e-05
