chrom	start	end	nogene_Shap
chrX	124542976	124545024	11.274173736572266
chrX	124608512	124610560	11.12520694732666
chrX	124628992	124631040	31.51775550842285
chrX	124647424	124649472	13.894152641296387
chrX	124821504	124823552	29.041366577148438
chrX	124831744	124833792	16.069028854370117
chrX	125108224	125110272	10.544482231140137
chrX	125214720	125216768	11.866779327392578
chrX	125296640	125298688	16.054828643798828
chrX	9707520	9709568	24.26849365234375
chrX	9715712	9717760	11.25001335144043
chr11	41199616	41201664	18.27998161315918
chr11	41213952	41216000	13.691424369812012
chr11	41428992	41431040	16.587507247924805
chr11	41469952	41472000	40.48052978515625
chr11	41572352	41574400	24.36789321899414
chr11	41574400	41576448	25.730728149414062
chr11	41822208	41824256	12.757296562194824
chr1	41422848	41424896	16.260896682739258
chr1	42137600	42139648	10.19512939453125
chr1	42174464	42176512	11.946523666381836
chr20	57495552	57497600	10.128385543823242
chr2	21745664	21747712	10.37083911895752
chr2	21770240	21772288	12.096794128417969
chr2	21800960	21803008	18.717243194580078
chr2	21835776	21837824	13.4297513961792
chr2	21938176	21940224	15.71679401397705
chr2	22411264	22413312	14.933080673217773
chr2	22530048	22532096	25.948177337646484
chr2	22540288	22542336	16.52572250366211
chr5	140025856	140027904	18.905988693237305
chr4	25456640	25458688	12.899645805358887
chr4	38756352	38758400	11.101855278015137
chr11	19937280	19939328	12.327122688293457
chr12	26193920	26195968	14.759350776672363
chr12	26699776	26701824	16.12075424194336
chr12	26832896	26834944	11.791865348815918
chr4	64043008	64045056	12.300600051879883
chr4	64305152	64307200	12.705840110778809
chr4	64313344	64315392	12.870756149291992
chr4	64319488	64321536	10.2467041015625
chr18	74651648	74653696	13.342527389526367
chr18	74653696	74655744	16.622272491455078
chr18	74655744	74657792	11.911782264709473
chr15	49225728	49227776	11.5375337600708
chr1	95232000	95234048	20.565338134765625
chr1	95248384	95250432	18.41147232055664
chr1	95287296	95289344	30.7686710357666
chr1	95289344	95291392	10.382569313049316
chr1	95393792	95395840	24.649234771728516
chr1	95459328	95461376	21.930614471435547
chr1	95502336	95504384	11.035120964050293
chr1	95508480	95510528	13.007169723510742
chr1	95539200	95541248	18.895954132080078
chr1	95655936	95657984	31.304828643798828
chr1	95676416	95678464	15.203654289245605
chr21	19431424	19433472	13.263236999511719
chr21	19441664	19443712	12.250336647033691
chr21	19470336	19472384	12.5350341796875
chr21	19472384	19474432	11.623916625976562
chr21	19570688	19572736	12.449212074279785
chr21	19660800	19662848	19.420177459716797
chr21	19691520	19693568	27.308818817138672
chr21	19781632	19783680	19.109838485717773
