chrom	start	end	ATACseq_Shap
chrX	124506112	124508160	-348.325439453125
chrX	124518400	124520448	-295.4014587402344
chrX	9707520	9709568	-1518.060791015625
chr1	41431040	41433088	-301.2793884277344
chr1	41515008	41517056	-1779.9312744140625
chr1	41572352	41574400	-823.1271362304688
chr20	57346048	57348096	-546.4287719726562
chr20	57350144	57352192	-503.12908935546875
chr20	57380864	57382912	-666.141357421875
chr20	57513984	57516032	-394.41595458984375
chr20	57595904	57597952	-504.8111877441406
chr20	57653248	57655296	-780.2877197265625
chr20	57698304	57700352	-448.2250061035156
chr20	57708544	57710592	-310.6377868652344
chr20	57716736	57718784	-410.3182678222656
chr20	57720832	57722880	-365.8406982421875
chr20	57747456	57749504	-854.1022338867188
chr20	57772032	57774080	-693.0411376953125
chr20	57794560	57796608	-418.4126892089844
chr5	139438080	139440128	-312.69696044921875
chr5	139440128	139442176	-298.17608642578125
chr5	139444224	139446272	-293.3265686035156
chr5	139448320	139450368	-303.5950622558594
chr5	139460608	139462656	-325.44403076171875
chr5	139464704	139466752	-322.5411071777344
chr5	139493376	139495424	-374.21514892578125
chr5	139495424	139497472	-301.450927734375
chr5	139497472	139499520	-448.3563537597656
chr5	139765760	139767808	-483.55322265625
chr5	139786240	139788288	-398.0404357910156
chr5	140294144	140296192	-484.08941650390625
chr5	140318720	140320768	-529.3063354492188
chr4	25233408	25235456	-318.8830261230469
chr4	25376768	25378816	-823.6798706054688
chr4	25399296	25401344	-699.6815185546875
chr4	25438208	25440256	-722.1785278320312
chr4	25440256	25442304	-730.4348754882812
chr4	25987072	25989120	-1530.3353271484375
chr4	26124288	26126336	-370.1367492675781
chr4	38103040	38105088	-355.9906921386719
chr4	38119424	38121472	-318.9153747558594
chr4	38131712	38133760	-372.35919189453125
chr4	38674432	38676480	-520.6019897460938
chr4	38729728	38731776	-1683.4739990234375
chr4	38758400	38760448	-1159.53515625
chr4	38934528	38936576	-335.9923400878906
chr4	38946816	38948864	-451.17877197265625
chr4	38967296	38969344	-446.6438903808594
chr4	38979584	38981632	-420.495849609375
chr4	39038976	39041024	-526.991943359375
chr4	39043072	39045120	-353.8822326660156
chr11	19552256	19554304	-946.8834838867188
chr11	19556352	19558400	-911.74853515625
chr11	19562496	19564544	-1342.4044189453125
chr12	26845184	26847232	-447.03131103515625
chr12	26853376	26855424	-550.7142333984375
chr12	26884096	26886144	-836.2322387695312
chr18	74551296	74553344	-1072.7608642578125
chr18	74622976	74625024	-525.9089965820312
chr18	74651648	74653696	-360.95050048828125
chr18	74655744	74657792	-357.05413818359375
chr15	49233920	49235968	-718.5778198242188
chr1	94859264	94861312	-307.404296875
chr1	94863360	94865408	-469.6170959472656
chr1	94867456	94869504	-334.76708984375
chr1	94875648	94877696	-328.8495178222656
chr1	94883840	94885888	-461.75396728515625
chr1	94898176	94900224	-386.4284973144531
chr1	94918656	94920704	-302.9817199707031
chr1	94926848	94928896	-350.3448181152344
chr1	94935040	94937088	-299.00830078125
chr1	94937088	94939136	-426.36065673828125
chr1	94947328	94949376	-342.43365478515625
chr1	94949376	94951424	-408.65667724609375
chr1	94955520	94957568	-298.65740966796875
chr1	94961664	94963712	-433.9111328125
chr1	94973952	94976000	-418.3355407714844
chr1	94976000	94978048	-360.6387634277344
chr1	94982144	94984192	-296.6702575683594
chr1	95010816	95012864	-318.99090576171875
chr1	95041536	95043584	-839.0861206054688
chr1	95043584	95045632	-679.7301025390625
chr1	95072256	95074304	-1213.328857421875
chr1	95084544	95086592	-318.82000732421875
chr1	95117312	95119360	-328.2948913574219
chr1	95234048	95236096	-897.10693359375
chr1	95307776	95309824	-840.982421875
chr15	85295104	85297152	-410.833740234375
chr15	85356544	85358592	-305.88726806640625
chr15	85409792	85411840	-442.48675537109375
chr15	85473280	85475328	-392.4192810058594
chr15	85481472	85483520	-318.28472900390625
chr15	85493760	85495808	-336.8564147949219
chr15	85526528	85528576	-308.4527587890625
chr15	85606400	85608448	-669.4347534179688
chr15	85839872	85841920	-1465.3182373046875
chr15	85854208	85856256	-666.1738891601562
chr15	85858304	85860352	-1184.9166259765625
chr15	85864448	85866496	-712.9866333007812
chr12	29308928	29310976	-327.42877197265625
chr12	29380608	29382656	-491.618896484375
chr10	102072320	102074368	-769.9412841796875
chr10	102131712	102133760	-542.4887084960938
chr10	102152192	102154240	-345.2311706542969
chr10	102168576	102170624	-1159.6575927734375
chr4	95029248	95031296	-318.8566589355469
chr4	95123456	95125504	-519.9391479492188
chr4	95203328	95205376	-309.3216552734375
chr1	206725120	206727168	-551.6707763671875
chr1	206911488	206913536	-450.60546875
chr1	206931968	206934016	-363.4282531738281
chr1	206981120	206983168	-435.2552185058594
chr1	207077376	207079424	-400.08489990234375
chr1	238237696	238239744	-425.9195251464844
chr1	238252032	238254080	-1157.428466796875
chr1	238557184	238559232	-403.85174560546875
chr1	238589952	238592000	-412.2315368652344
chr7	100343808	100345856	-437.315673828125
chr7	100407296	100409344	-295.6707763671875
chr7	100468736	100470784	-555.1365966796875
chr7	100704256	100706304	-494.92388916015625
chr10	120365056	120367104	-339.36871337890625
chr10	120369152	120371200	-373.5176696777344
chr10	120383488	120385536	-357.2090148925781
chr10	120385536	120387584	-344.3976135253906
chr10	120412160	120414208	-319.34735107421875
chr10	120414208	120416256	-319.98223876953125
chr10	120418304	120420352	-832.1926879882812
