Geneinfo	sum_inter_counts	mean_inter_counts	bin_counts	bin_ratio
ENSG00000225972.1|MTND1P23|unprocessed_pseudogene|chr1:[629061,629433)/+	7	0.00029	6	0.00024893166825706343
ENSG00000230021.10|ENSG00000230021|transcribed_processed_pseudogene|chr1:[586070,827796)/-	15	0.00062	13	0.0005393519478903041
ENSG00000290784.1|ENSG00000290784|lncRNA|chr1:[800878,817712)/-	3	0.00012	3	0.00012446583412853172
ENSG00000228794.12|LINC01128|lncRNA|chr1:[825137,859446)/+	10	0.00041	4	0.00016595444550470895
ENSG00000272438.1|ENSG00000272438|lncRNA|chr1:[904833,915976)/+	4	0.00017	2	8.297722275235447e-05
ENSG00000223764.2|LINC02593|lncRNA|chr1:[916864,921016)/-	5	0.00021	4	0.00016595444550470895
ENSG00000188976.11|NOC2L|protein_coding|chr1:[944202,959309)/-	20	0.00083	13	0.0005393519478903041
ENSG00000187961.15|KLHL17|protein_coding|chr1:[960583,965719)/+	4	0.00017	3	0.00012446583412853172
ENSG00000272512.1|ENSG00000272512|lncRNA|chr1:[995965,998051)/-	9	0.00037	6	0.00024893166825706343
ENSG00000188290.11|HES4|protein_coding|chr1:[998961,1000172)/-	2	8e-05	2	8.297722275235447e-05
ENSG00000188157.15|AGRN|protein_coding|chr1:[1020119,1056118)/+	124	0.00514	78	0.003236111687341825
ENSG00000242590.1|ENSG00000242590|lncRNA|chr1:[1055032,1056116)/+	36	0.00149	22	0.0009127494502758993
ENSG00000131591.18|C1orf159|protein_coding|chr1:[1081817,1116361)/-	59	0.00245	37	0.001535078620918558
ENSG00000078808.20|SDF4|protein_coding|chr1:[1216930,1232031)/-	101	0.00419	73	0.0030286686304609386
ENSG00000176022.7|B3GALT6|protein_coding|chr1:[1232236,1235041)/+	15	0.00062	9	0.0003733975023855952
ENSG00000260179.1|ENSG00000260179|lncRNA|chr1:[1249776,1251334)/-	2	8e-05	2	8.297722275235447e-05
ENSG00000160087.21|UBE2J2|protein_coding|chr1:[1253908,1273864)/-	65	0.0027	43	0.0017840102891756213
ENSG00000162572.21|SCNN1D|protein_coding|chr1:[1280435,1292029)/+	10	0.00041	7	0.00029042027963324066
ENSG00000131584.19|ACAP3|protein_coding|chr1:[1292389,1309609)/-	39	0.00162	26	0.0010787038957806082
ENSG00000127054.22|INTS11|protein_coding|chr1:[1311584,1324687)/-	21	0.00087	16	0.0006638177820188358
ENSG00000240731.1|ENSG00000240731|lncRNA|chr1:[1317580,1318689)/-	10	0.00041	7	0.00029042027963324066
ENSG00000107404.21|DVL1|protein_coding|chr1:[1335275,1349418)/-	18	0.00075	11	0.00045637472513794964
ENSG00000162576.17|MXRA8|protein_coding|chr1:[1352688,1361777)/-	131	0.00544	86	0.0035680205783512426
ENSG00000175756.14|AURKAIP1|protein_coding|chr1:[1373729,1375207)/-	7	0.00029	6	0.00024893166825706343
ENSG00000221978.13|CCNL2|protein_coding|chr1:[1385710,1399335)/-	167	0.00693	116	0.0048126789196365595
ENSG00000242485.6|MRPL20|protein_coding|chr1:[1401908,1407293)/-	35	0.00145	23	0.0009542380616520765
ENSG00000160072.20|ATAD3B|protein_coding|chr1:[1471764,1497848)/+	29	0.0012	17	0.000705306393395013
ENSG00000197785.14|ATAD3A|protein_coding|chr1:[1512161,1534685)/+	15	0.00062	11	0.00045637472513794964
ENSG00000160075.12|SSU72|protein_coding|chr1:[1541672,1574863)/-	114	0.00473	76	0.0031531344645894703
ENSG00000272106.1|ENSG00000272106|lncRNA|chr1:[1613757,1615795)/-	4	0.00017	4	0.00016595444550470895
ENSG00000197530.13|MIB2|protein_coding|chr1:[1615453,1630605)/+	27	0.00112	20	0.0008297722275235448
ENSG00000248333.9|CDK11B|protein_coding|chr1:[1635224,1659012)/-	8	0.00033	5	0.0002074430568808862
ENSG00000189339.12|SLC35E2B|protein_coding|chr1:[1659528,1692795)/-	59	0.00245	37	0.001535078620918558
ENSG00000008128.23|CDK11A|protein_coding|chr1:[1702378,1724357)/-	6	0.00025	4	0.00016595444550470895
ENSG00000268575.1|ENSG00000268575|lncRNA|chr1:[1702735,1737688)/-	28	0.00116	22	0.0009127494502758993
ENSG00000290854.1|ENSG00000290854|lncRNA|chr1:[1724837,1745992)/-	25	0.00104	19	0.0007882836161473676
ENSG00000008130.15|NADK|protein_coding|chr1:[1751231,1780457)/-	50	0.00207	29	0.0012031697299091399
ENSG00000078369.19|GNB1|protein_coding|chr1:[1785284,1892292)/-	714	0.02962	422	0.017508194000746796
.	22777	0.94499	1609	0.06675517570426918
ENSG00000182873.5|PRKCZ-AS1|lncRNA|chr1:[2181793,2184389)/-	3	0.00012	2	8.297722275235447e-05
ENSG00000162585.17|FAAP20|protein_coding|chr1:[2184460,2212720)/-	29	0.0012	19	0.0007882836161473676
ENSG00000157933.11|SKI|protein_coding|chr1:[2227387,2310213)/+	375	0.01556	242	0.010040243953034891
ENSG00000116151.14|MORN1|protein_coding|chr1:[2321252,2391707)/-	35	0.00145	23	0.0009542380616520765
ENSG00000157916.20|RER1|protein_coding|chr1:[2391774,2405442)/+	178	0.00738	108	0.004480770028627142
ENSG00000157911.11|PEX10|protein_coding|chr1:[2403963,2413797)/-	22	0.00091	14	0.0005808405592664813
ENSG00000157881.16|PANK4|protein_coding|chr1:[2508536,2526597)/-	16	0.00066	12	0.0004978633365141269
ENSG00000272449.3|ENSG00000272449|lncRNA|chr1:[2530063,2547471)/+	1	4e-05	1	4.148861137617724e-05
ENSG00000157870.17|PRXL2B|protein_coding|chr1:[2586490,2591469)/+	12	0.0005	9	0.0003733975023855952
ENSG00000215912.13|TTC34|protein_coding|chr1:[2636985,2801693)/-	2	8e-05	2	8.297722275235447e-05
ENSG00000162591.17|MEGF6|protein_coding|chr1:[3487950,3611508)/-	143	0.00593	89	0.0036924864124797743
ENSG00000158109.15|TPRG1L|protein_coding|chr1:[3625014,3630127)/+	52	0.00216	34	0.001410612786790026
ENSG00000130764.10|LRRC47|protein_coding|chr1:[3778558,3796498)/-	38	0.00158	27	0.0011201925071567854
ENSG00000116198.14|CEP104|protein_coding|chr1:[3812085,3857396)/-	92	0.00382	59	0.002447828071194457
ENSG00000169598.17|DFFB|protein_coding|chr1:[3857266,3885429)/+	25	0.00104	16	0.0006638177820188358
ENSG00000198912.12|C1orf174|protein_coding|chr1:[3889124,3900293)/-	34	0.00141	17	0.000705306393395013
ENSG00000131697.18|NPHP4|protein_coding|chr1:[5862810,5992473)/-	67	0.00278	45	0.0018669875119279758
ENSG00000069424.16|KCNAB2|protein_coding|chr1:[5990926,6101193)/+	37	0.00154	27	0.0011201925071567854
ENSG00000285629.1|ENSG00000285629|protein_coding|chr1:[6159429,6197757)/-	114	0.00473	73	0.0030286686304609386
ENSG00000116251.11|RPL22|protein_coding|chr1:[6185019,6209389)/-	130	0.00539	81	0.0033605775214703565
ENSG00000158286.13|RNF207|protein_coding|chr1:[6205474,6221299)/+	30	0.00124	22	0.0009127494502758993
ENSG00000116237.16|ICMT|protein_coding|chr1:[6221192,6235972)/-	113	0.00469	82	0.0034020661328465337
