chrom	start	end	lncRNA_Shap
chrX	124692480	124694528	-32.55254364013672
chrX	124762112	124764160	-41.0379638671875
chrX	124764160	124766208	-31.730981826782227
chrX	124766208	124768256	-39.14112854003906
chrX	124786688	124788736	-28.135723114013672
chrX	124792832	124794880	-62.12890625
chrX	124821504	124823552	-56.726524353027344
chrX	124829696	124831744	-47.25233459472656
chrX	124831744	124833792	-69.74471282958984
chrX	124841984	124844032	-28.194873809814453
chrX	124844032	124846080	-30.663005828857422
chrX	124854272	124856320	-37.664512634277344
chrX	124862464	124864512	-45.294151306152344
chrX	124872704	124874752	-29.705402374267578
chrX	124887040	124889088	-76.03234100341797
chrX	124889088	124891136	-40.150970458984375
chrX	124899328	124901376	-50.19041061401367
chrX	124901376	124903424	-53.52680587768555
chrX	124913664	124915712	-31.009618759155273
chrX	124917760	124919808	-50.70198059082031
chrX	124930048	124932096	-42.38867950439453
chrX	124934144	124936192	-28.969295501708984
chrX	124936192	124938240	-31.367351531982422
chrX	124940288	124942336	-28.626262664794922
chrX	124946432	124948480	-31.3183650970459
chrX	124958720	124960768	-40.08391571044922
chrX	124987392	124989440	-32.987937927246094
chrX	124989440	124991488	-30.501293182373047
chrX	124995584	124997632	-38.881591796875
chrX	124999680	125001728	-38.30881118774414
chrX	125003776	125005824	-27.120473861694336
chrX	125009920	125011968	-29.30868148803711
chrX	125018112	125020160	-41.85834503173828
chrX	125020160	125022208	-44.96219253540039
chrX	125022208	125024256	-58.86095428466797
chrX	125024256	125026304	-54.518470764160156
chrX	125030400	125032448	-26.902767181396484
chrX	125042688	125044736	-29.863933563232422
chrX	125061120	125063168	-44.113121032714844
chrX	125067264	125069312	-33.90873336791992
chrX	125069312	125071360	-28.507497787475586
chrX	125073408	125075456	-30.62411880493164
chrX	125075456	125077504	-35.65648651123047
chrX	125077504	125079552	-50.10863494873047
chrX	125097984	125100032	-41.49913787841797
chrX	125126656	125128704	-52.861839294433594
chrX	125128704	125130752	-34.44585418701172
chrX	125132800	125134848	-36.498390197753906
chrX	125134848	125136896	-32.46048355102539
chrX	125136896	125138944	-25.844741821289062
chrX	125145088	125147136	-34.225162506103516
chrX	125163520	125165568	-34.44947814941406
chrX	125179904	125181952	-35.71227264404297
chrX	125190144	125192192	-34.08037567138672
chrX	125192192	125194240	-38.24114990234375
chrX	125202432	125204480	-67.45113372802734
chrX	125208576	125210624	-43.862449645996094
chrX	125210624	125212672	-35.432315826416016
chrX	125214720	125216768	-57.438987731933594
chrX	125227008	125229056	-62.78650665283203
chrX	125243392	125245440	-25.68259620666504
chrX	125263872	125265920	-28.538915634155273
chrX	125280256	125282304	-34.85839080810547
chrX	125290496	125292544	-27.994827270507812
chrX	125292544	125294592	-48.19647979736328
chrX	125294592	125296640	-52.16553497314453
chrX	125308928	125310976	-47.88829040527344
chrX	125331456	125333504	-41.23661804199219
chrX	125349888	125351936	-43.33659362792969
chrX	125358080	125360128	-35.43830108642578
chrX	9689088	9691136	-30.673812866210938
chr20	57696256	57698304	-26.53131103515625
chr20	57733120	57735168	-40.12904739379883
chr20	57739264	57741312	-27.959896087646484
chr5	139632640	139634688	-31.941720962524414
chr5	140310528	140312576	-28.792827606201172
chr4	25364480	25366528	-67.23783111572266
chr4	25366528	25368576	-91.6449203491211
chr4	25376768	25378816	-70.33975982666016
chr4	25987072	25989120	-66.15814971923828
chr4	26163200	26165248	-25.71725845336914
chr4	38160384	38162432	-42.721702575683594
chr4	38373376	38375424	-27.048797607421875
chr4	38729728	38731776	-26.259912490844727
chr4	38758400	38760448	-27.125595092773438
chr4	38916096	38918144	-31.293376922607422
chr4	38979584	38981632	-30.053203582763672
chr4	38983680	38985728	-31.833332061767578
chr12	26884096	26886144	-34.676116943359375
chr4	64331776	64333824	-27.346445083618164
chr4	64583680	64585728	-26.727954864501953
chr1	94834688	94836736	-34.76838684082031
chr1	94842880	94844928	-29.645095825195312
chr1	94844928	94846976	-45.57204818725586
chr1	94855168	94857216	-27.211223602294922
chr1	94861312	94863360	-35.52482986450195
chr1	94863360	94865408	-34.69434356689453
chr1	94898176	94900224	-30.731740951538086
chr1	94908416	94910464	-38.921302795410156
chr1	94910464	94912512	-34.43938446044922
chr1	94918656	94920704	-27.549861907958984
chr1	94920704	94922752	-40.20749282836914
chr1	94922752	94924800	-40.03291320800781
chr1	94939136	94941184	-28.431209564208984
chr1	94945280	94947328	-33.486793518066406
chr1	94963712	94965760	-30.17449951171875
chr1	94994432	94996480	-37.93461227416992
chr1	95041536	95043584	-78.04825592041016
chr1	95072256	95074304	-71.87617492675781
chr1	95232000	95234048	-37.36750411987305
chr1	95234048	95236096	-42.90007781982422
chr1	95365120	95367168	-45.41558074951172
chr1	95371264	95373312	-37.758689880371094
chr1	95670272	95672320	-30.777124404907227
chr21	19427328	19429376	-25.948083877563477
chr21	20004864	20006912	-25.74371910095215
chr21	20187136	20189184	-28.47647476196289
chr9	30343168	30345216	-31.274723052978516
chr9	30851072	30853120	-45.6747932434082
chr15	85317632	85319680	-33.60341262817383
chr15	85327872	85329920	-35.52317428588867
chr15	85368832	85370880	-29.467798233032227
chr15	85399552	85401600	-42.712181091308594
chr15	85403648	85405696	-48.690521240234375
chr15	85411840	85413888	-33.37234115600586
chr15	85442560	85444608	-27.66852378845215
chr15	85446656	85448704	-27.228229522705078
chr15	85475328	85477376	-27.136730194091797
chr15	85618688	85620736	-25.699859619140625
chr15	85620736	85622784	-41.72199630737305
chr15	85723136	85725184	-52.711181640625
chr15	85725184	85727232	-40.292083740234375
chr15	85727232	85729280	-48.14765167236328
chr15	85733376	85735424	-28.20326805114746
chr15	85794816	85796864	-42.92359161376953
chr15	85899264	85901312	-27.73443031311035
chr15	85983232	85985280	-31.536518096923828
chr15	85989376	85991424	-26.749736785888672
chr15	85995520	85997568	-26.409915924072266
chr15	86054912	86056960	-31.989582061767578
chr15	86065152	86067200	-35.682899475097656
chr10	102131712	102133760	-39.5446891784668
chr10	102133760	102135808	-34.913700103759766
chr10	102168576	102170624	-48.900917053222656
chr10	102170624	102172672	-27.41092872619629
chr10	102422528	102424576	-30.578201293945312
chr10	102625280	102627328	-26.098308563232422
chr10	102674432	102676480	-28.11492347717285
chr4	95123456	95125504	-45.03583526611328
chr4	95893504	95895552	-36.37535858154297
chr1	206911488	206913536	-30.536083221435547
chr7	100585472	100587520	-29.854854583740234
chr10	120369152	120371200	-30.803241729736328
chr10	120399872	120401920	-31.786880493164062
chr10	120414208	120416256	-27.775924682617188
chr10	120440832	120442880	-27.81076431274414
chr10	120852480	120854528	-51.00294876098633
chr10	120944640	120946688	-25.808334350585938
chr10	121116672	121118720	-27.738880157470703
chr10	52463616	52465664	-47.210227966308594
chr10	52480000	52482048	-31.4215087890625
chr10	52486144	52488192	-38.783233642578125
chr10	52502528	52504576	-43.0589599609375
chr10	52525056	52527104	-45.39464569091797
chr10	52596736	52598784	-27.448715209960938
chr10	52740096	52742144	-38.01457214355469
chr10	52963328	52965376	-28.587499618530273
chr13	39036928	39038976	-32.04737091064453
chr11	14342144	14344192	-40.084327697753906
chr11	14344192	14346240	-38.89536666870117
chr11	14350336	14352384	-55.76874923706055
chr11	14356480	14358528	-30.2890625
chr11	14362624	14364672	-35.13008117675781
chr11	14372864	14374912	-58.38893508911133
chr11	14376960	14379008	-67.58064270019531
chr11	14383104	14385152	-54.56184005737305
chr11	14385152	14387200	-48.84947204589844
chr11	14401536	14403584	-43.17698669433594
chr11	14411776	14413824	-79.6448974609375
chr11	14415872	14417920	-43.06859588623047
chr11	14422016	14424064	-46.390594482421875
chr11	14450688	14452736	-43.91238021850586
chr11	14452736	14454784	-49.869449615478516
chr11	14454784	14456832	-70.5015640258789
chr11	14458880	14460928	-37.998905181884766
chr11	14465024	14467072	-49.30950927734375
chr11	14471168	14473216	-57.63380813598633
chr11	14479360	14481408	-35.09474182128906
chr11	14499840	14501888	-65.42842864990234
chr11	14518272	14520320	-57.3016242980957
chr11	14520320	14522368	-26.970073699951172
chr8	135514112	135516160	-28.437984466552734
chr8	135636992	135639040	-28.8908634185791
chr8	135641088	135643136	-27.25899887084961
chr8	135675904	135677952	-27.536300659179688
chr8	135686144	135688192	-36.235435485839844
chr8	135700480	135702528	-27.862701416015625
chr8	136134656	136136704	-26.87032127380371
chr1	23633920	23635968	-30.53558349609375
chr1	23691264	23693312	-43.386817932128906
chr1	23771136	23773184	-34.71300506591797
chr1	23975936	23977984	-57.20418167114258
chr22	44625920	44627968	-79.31044006347656
chr22	44697600	44699648	-31.357900619506836
chr4	25368576	25370624	-41.77473449707031
chr1	158822400	158824448	-31.7644100189209
chr1	158836736	158838784	-34.39871597290039
chr1	158846976	158849024	-51.53660202026367
chr1	158851072	158853120	-56.2321891784668
chr1	158857216	158859264	-26.154796600341797
chr1	158859264	158861312	-30.370357513427734
chr1	158998528	159000576	-26.60721206665039
chr1	159000576	159002624	-28.751815795898438
chr1	159088640	159090688	-38.32381820678711
chr1	159213568	159215616	-60.44102096557617
chr4	17141760	17143808	-25.88899803161621
chr4	17231872	17233920	-25.677255630493164
chr4	17262592	17264640	-26.756916046142578
chr4	17471488	17473536	-36.61859130859375
chr4	17545216	17547264	-32.898258209228516
chr1	15525888	15527936	-54.89027786254883
chr1	15527936	15529984	-51.694618225097656
chrX	117995520	117997568	-36.14194869995117
chrX	118001664	118003712	-62.356903076171875
chrX	118007808	118009856	-43.24565505981445
chrX	118016000	118018048	-37.93770980834961
chrX	118018048	118020096	-25.749225616455078
chrX	118026240	118028288	-46.463687896728516
chrX	118040576	118042624	-81.89451599121094
chrX	118042624	118044672	-29.438735961914062
chrX	118044672	118046720	-80.51177215576172
chrX	118046720	118048768	-34.12776184082031
chrX	118048768	118050816	-26.587915420532227
chrX	118052864	118054912	-29.24135398864746
chrX	118069248	118071296	-42.299949645996094
chrX	118075392	118077440	-61.72515869140625
chrX	118081536	118083584	-59.81581497192383
chrX	118083584	118085632	-41.627891540527344
chrX	118085632	118087680	-36.79027557373047
chrX	118089728	118091776	-36.682674407958984
chrX	118097920	118099968	-68.53166961669922
chrX	118102016	118104064	-34.824859619140625
chrX	118106112	118108160	-33.8204460144043
chrX	118108160	118110208	-38.70797348022461
