Geneinfo	sum_inter_counts	mean_inter_counts	bin_counts	bin_ratio
ENSG00000225972.1|MTND1P23|unprocessed_pseudogene|chr1:[629061,629433)/+	18	5e-05	16	4.7842025631365235e-05
ENSG00000230021.10|ENSG00000230021|transcribed_processed_pseudogene|chr1:[586070,827796)/-	95	0.00028	69	0.00020631873553526257
ENSG00000291215.1|ENSG00000291215|lncRNA|chr1:[725884,778688)/-	3	1e-05	2	5.980253203920654e-06
ENSG00000237491.10|LINC01409|lncRNA|chr1:[778746,810065)/+	13	4e-05	12	3.588151922352392e-05
ENSG00000290784.1|ENSG00000290784|lncRNA|chr1:[800878,817712)/-	9	3e-05	7	2.0930886213722288e-05
ENSG00000230092.8|ENSG00000230092|transcribed_unprocessed_pseudogene|chr1:[805798,810161)/-	1	0.0	1	2.990126601960327e-06
ENSG00000225880.6|LINC00115|lncRNA|chr1:[824227,827539)/-	6	2e-05	6	1.794075961176196e-05
ENSG00000228794.12|LINC01128|lncRNA|chr1:[825137,859446)/+	44	0.00013	32	9.568405126273047e-05
ENSG00000272438.1|ENSG00000272438|lncRNA|chr1:[904833,915976)/+	23	7e-05	13	3.887164582548425e-05
.	186368	0.55726	24682	0.07380230478958479
ENSG00000223764.2|LINC02593|lncRNA|chr1:[916864,921016)/-	26	8e-05	17	5.083215223332556e-05
ENSG00000188976.11|NOC2L|protein_coding|chr1:[944202,959309)/-	108	0.00032	70	0.0002093088621372229
ENSG00000187961.15|KLHL17|protein_coding|chr1:[960583,965719)/+	7	2e-05	6	1.794075961176196e-05
ENSG00000187583.11|PLEKHN1|protein_coding|chr1:[966481,975865)/+	3	1e-05	3	8.97037980588098e-06
ENSG00000272512.1|ENSG00000272512|lncRNA|chr1:[995965,998051)/-	29	9e-05	25	7.475316504900817e-05
ENSG00000188290.11|HES4|protein_coding|chr1:[998961,1000172)/-	12	4e-05	10	2.990126601960327e-05
ENSG00000187608.10|ISG15|protein_coding|chr1:[1001137,1014540)/+	59	0.00018	45	0.00013455569708821472
ENSG00000188157.15|AGRN|protein_coding|chr1:[1020119,1056118)/+	731	0.00219	503	0.0015040336807860444
ENSG00000242590.1|ENSG00000242590|lncRNA|chr1:[1055032,1056116)/+	146	0.00044	91	0.0002721015207783898
ENSG00000131591.18|C1orf159|protein_coding|chr1:[1081817,1116361)/-	221	0.00066	155	0.0004634696233038507
ENSG00000078808.20|SDF4|protein_coding|chr1:[1216930,1232031)/-	479	0.00143	321	0.000959830639229265
ENSG00000176022.7|B3GALT6|protein_coding|chr1:[1232236,1235041)/+	105	0.00031	76	0.00022724962174898485
ENSG00000184163.3|C1QTNF12|protein_coding|chr1:[1242445,1246722)/-	4	1e-05	3	8.97037980588098e-06
ENSG00000260179.1|ENSG00000260179|lncRNA|chr1:[1249776,1251334)/-	4	1e-05	2	5.980253203920654e-06
ENSG00000160087.21|UBE2J2|protein_coding|chr1:[1253908,1273864)/-	286	0.00086	201	0.0006010154469940258
ENSG00000230415.1|LINC01786|lncRNA|chr1:[1275222,1280420)/+	19	6e-05	11	3.28913926215636e-05
ENSG00000162572.21|SCNN1D|protein_coding|chr1:[1280435,1292029)/+	26	8e-05	16	4.7842025631365235e-05
ENSG00000131584.19|ACAP3|protein_coding|chr1:[1292389,1309609)/-	180	0.00054	117	0.00034984481242935825
ENSG00000169972.13|PUSL1|protein_coding|chr1:[1308596,1311677)/+	19	6e-05	14	4.1861772427444575e-05
ENSG00000127054.22|INTS11|protein_coding|chr1:[1311584,1324687)/-	128	0.00038	86	0.0002571508877685881
ENSG00000240731.1|ENSG00000240731|lncRNA|chr1:[1317580,1318689)/-	51	0.00015	37	0.0001106346842725321
ENSG00000224051.7|CPTP|protein_coding|chr1:[1324755,1328896)/+	38	0.00011	27	8.073341825292883e-05
ENSG00000107404.21|DVL1|protein_coding|chr1:[1335275,1349418)/-	134	0.0004	89	0.0002661212675744691
ENSG00000162576.17|MXRA8|protein_coding|chr1:[1352688,1361777)/-	748	0.00224	492	0.001471142288164481
