chrom	start	end	others_Shap
chrX	124547072	124549120	8.446081161499023
chrX	124987392	124989440	25.6314640045166
chrX	124995584	124997632	10.464370727539062
chrX	125120512	125122560	8.61497688293457
chrX	125257728	125259776	9.753702163696289
chrX	125323264	125325312	10.175544738769531
chr11	41416704	41418752	4.969025135040283
chr11	41678848	41680896	8.389139175415039
chr11	41680896	41682944	10.733518600463867
chr11	41738240	41740288	4.9682841300964355
chr11	41781248	41783296	10.885302543640137
chr11	41824256	41826304	2.947242259979248
chr11	41840640	41842688	3.65348744392395
chr1	42172416	42174464	5.017033576965332
chr1	42190848	42192896	3.758960247039795
chr1	42192896	42194944	3.9855618476867676
chr2	21778432	21780480	16.09311294555664
chr2	22183936	22185984	8.73198127746582
chr2	22284288	22286336	17.381147384643555
chr2	22294528	22296576	4.2424211502075195
chr2	22548480	22550528	5.841902732849121
chr2	22556672	22558720	4.91525936126709
chr5	139415552	139417600	2.9164445400238037
chr5	139626496	139628544	3.227320909500122
chr5	140007424	140009472	5.576062202453613
chr4	25399296	25401344	2.899237632751465
chr4	25440256	25442304	7.641331672668457
chr4	25464832	25466880	5.169733047485352
chr4	25503744	25505792	3.385852098464966
chr4	25591808	25593856	3.025153875350952
chr11	19933184	19935232	2.785616397857666
chr12	26200064	26202112	3.029585361480713
chr12	26658816	26660864	3.236360549926758
chr12	27027456	27029504	3.122533082962036
chr4	63784960	63787008	5.317154884338379
chr4	63793152	63795200	7.401912689208984
chr4	63813632	63815680	5.152525424957275
chr4	63836160	63838208	4.142820358276367
chr4	63852544	63854592	4.22442626953125
chr4	63965184	63967232	6.552412986755371
chr4	64022528	64024576	5.787638187408447
chr4	64194560	64196608	4.688358306884766
chr4	64276480	64278528	3.2070651054382324
chr4	64536576	64538624	4.889986038208008
chr1	94926848	94928896	3.6317412853240967
chr1	95016960	95019008	2.8291335105895996
chr1	95049728	95051776	3.6793532371520996
chr1	95330304	95332352	5.113724708557129
chr1	95406080	95408128	8.219056129455566
chr1	95418368	95420416	6.094203948974609
chr1	95545344	95547392	3.997164249420166
chr1	95666176	95668224	8.027539253234863
chr21	19490816	19492864	5.969734191894531
chr21	19576832	19578880	7.100106716156006
chr21	19597312	19599360	3.6668949127197266
chr21	19638272	19640320	4.05031681060791
chr21	19658752	19660800	13.549409866333008
chr21	19668992	19671040	8.570453643798828
chr21	19806208	19808256	9.669540405273438
chr21	19857408	19859456	10.640469551086426
chr21	19945472	19947520	14.884519577026367
chr21	19974144	19976192	11.300516128540039
chr21	20008960	20011008	15.26739501953125
chr21	20178944	20180992	9.693323135375977
chr21	20242432	20244480	6.6602983474731445
chr21	20244480	20246528	7.471724033355713
chr21	20289536	20291584	11.486915588378906
chr9	30347264	30349312	16.31305503845215
chr9	30361600	30363648	8.845568656921387
chr9	30390272	30392320	5.1509881019592285
chr9	30425088	30427136	4.940373420715332
chr9	30492672	30494720	14.78901195526123
chr9	30556160	30558208	12.854329109191895
chr9	30668800	30670848	11.77381706237793
chr9	30720000	30722048	15.351526260375977
chr9	30734336	30736384	12.22891616821289
chr9	30795776	30797824	5.438416004180908
chr9	31047680	31049728	5.8604254722595215
chr9	31188992	31191040	9.434735298156738
chr15	85532672	85534720	3.0179693698883057
chr15	85561344	85563392	3.4047462940216064
chr15	85610496	85612544	3.045280933380127
chr15	85624832	85626880	3.016174793243408
chr15	85643264	85645312	3.215345859527588
chr15	85678080	85680128	3.0346343517303467
chr15	85706752	85708800	3.369112491607666
chr15	85733376	85735424	2.9499778747558594
chr15	85760000	85762048	2.6943411827087402
chr15	85835776	85837824	2.9987282752990723
chr15	85919744	85921792	6.004611015319824
chr15	85923840	85925888	3.546461582183838
chr15	85979136	85981184	5.204758167266846
chr15	86128640	86130688	14.20002269744873
chr15	86134784	86136832	10.35302448272705
chr15	86233088	86235136	8.073169708251953
chr12	28968960	28971008	7.977896213531494
chr12	29159424	29161472	6.471290588378906
chr12	29190144	29192192	14.697296142578125
chr12	29323264	29325312	2.68768572807312
chr12	29384704	29386752	2.8263726234436035
chr12	29462528	29464576	6.082024574279785
chr12	29532160	29534208	7.421722412109375
chr12	29536256	29538304	5.376276969909668
chr4	95129600	95131648	3.7603085041046143
chr4	95457280	95459328	6.8964362144470215
chr4	95551488	95553536	6.697207450866699
chr4	95662080	95664128	5.403027534484863
chr4	95854592	95856640	6.382222652435303
chr4	95938560	95940608	8.407943725585938
chr4	95954944	95956992	10.512994766235352
chr1	206483456	206485504	3.813105344772339
chr1	207046656	207048704	2.697580337524414
chr1	207183872	207185920	3.600151538848877
chr1	207224832	207226880	6.529099941253662
chr1	237858816	237860864	2.856174945831299
chr7	100091904	100093952	2.846484661102295
chr7	100972544	100974592	17.1970157623291
chr10	120868864	120870912	2.7898051738739014
chr10	120870912	120872960	5.4798970222473145
chr10	120872960	120875008	3.5996882915496826
chr10	120887296	120889344	2.7098121643066406
chr10	120973312	120975360	15.645172119140625
chr10	121012224	121014272	9.212146759033203
chr10	121104384	121106432	15.43104362487793
chr10	121192448	121194496	10.019810676574707
chr10	52615168	52617216	2.7777256965637207
chr10	52619264	52621312	2.783613920211792
chr10	52647936	52649984	2.690444231033325
chr10	52856832	52858880	7.51037073135376
chr10	52862976	52865024	9.363080024719238
chr10	52871168	52873216	12.49482536315918
chr10	53049344	53051392	7.841937065124512
chr10	53100544	53102592	9.05378246307373
chr10	53123072	53125120	7.571541786193848
chr10	53145600	53147648	11.711462020874023
chr10	53196800	53198848	5.925709247589111
chr10	53272576	53274624	7.315272331237793
chr10	53278720	53280768	5.382559776306152
chr10	53307392	53309440	5.4397053718566895
chr10	53323776	53325824	6.365900993347168
chr10	53342208	53344256	11.319684982299805
chr4	130705408	130707456	3.2454559803009033
chr4	130998272	131000320	17.565107345581055
chr13	38770688	38772736	7.107687473297119
chr13	39032832	39034880	4.787762641906738
chr13	39034880	39036928	3.840355634689331
chr11	14258176	14260224	2.882880210876465
chr11	14360576	14362624	3.1757638454437256
chr11	14362624	14364672	3.076220750808716
chr11	14483456	14485504	3.117297410964966
chr11	14485504	14487552	3.1051387786865234
chr8	135841792	135843840	7.340839385986328
chr8	135958528	135960576	8.576367378234863
chr8	136165376	136167424	5.933984756469727
chr8	136200192	136202240	5.760074138641357
