chrom	start	end	nogene_Shap
chrX	124788736	124790784	-10.300878524780273
chrX	124862464	124864512	-10.250371932983398
chrX	125048832	125050880	-13.032261848449707
chrX	125059072	125061120	-11.829629898071289
chrX	125106176	125108224	-10.715977668762207
chrX	125227008	125229056	-11.143310546875
chrX	125349888	125351936	-10.100383758544922
chrX	9703424	9705472	-13.176399230957031
chrX	9709568	9711616	-10.834724426269531
chr11	41195520	41197568	-16.375761032104492
chr1	41433088	41435136	-10.236101150512695
chr1	41515008	41517056	-32.03204345703125
chr1	41574400	41576448	-14.453104972839355
chr1	41576448	41578496	-11.830179214477539
chr1	41578496	41580544	-18.5841007232666
chr20	57348096	57350144	-14.399940490722656
chr20	57387008	57389056	-19.562870025634766
chr20	57389056	57391104	-13.450610160827637
chr20	57401344	57403392	-25.730728149414062
chr20	57417728	57419776	-15.704890251159668
chr20	57509888	57511936	-11.707805633544922
chr20	57595904	57597952	-12.249421119689941
chr20	57696256	57698304	-12.175908088684082
chr20	57733120	57735168	-19.930919647216797
chr2	21757952	21760000	-10.235750198364258
chr5	139409408	139411456	-15.405993461608887
chr5	139493376	139495424	-10.60401725769043
chr5	139630592	139632640	-14.772282600402832
chr5	139632640	139634688	-15.22608757019043
chr5	139708416	139710464	-14.50422477722168
chr5	139763712	139765760	-11.666476249694824
chr5	140294144	140296192	-15.858250617980957
chr5	140296192	140298240	-13.154794692993164
chr4	25364480	25366528	-31.773540496826172
chr4	25366528	25368576	-45.75979232788086
chr4	25368576	25370624	-29.69147300720215
chr4	25913344	25915392	-15.687894821166992
chr4	25921536	25923584	-10.113664627075195
chr4	25985024	25987072	-29.27496910095215
chr4	25987072	25989120	-27.343978881835938
chr4	38731776	38733824	-13.769198417663574
chr4	38758400	38760448	-14.560609817504883
chr4	38760448	38762496	-12.676969528198242
chr4	38762496	38764544	-20.088939666748047
chr4	38764544	38766592	-11.53030014038086
chr4	38858752	38860800	-12.89123249053955
chr4	38907904	38909952	-12.866735458374023
chr4	38916096	38918144	-15.162394523620605
chr4	38922240	38924288	-11.410860061645508
chr4	38926336	38928384	-10.378985404968262
chr4	38932480	38934528	-11.409661293029785
chr4	38936576	38938624	-10.88241195678711
chr4	38948864	38950912	-14.663363456726074
chr4	38952960	38955008	-10.372688293457031
chr4	39051264	39053312	-13.425844192504883
