chrom	start	end	ATACseq_Shap
chrX	124997632	124999680	304.2058410644531
chrX	125022208	125024256	223.34231567382812
chrX	125069312	125071360	269.7740783691406
chrX	9277440	9279488	236.43301391601562
chrX	9664512	9666560	385.3819274902344
chrX	9728000	9730048	244.7244415283203
chrX	9742336	9744384	340.5081481933594
chrX	9746432	9748480	358.01153564453125
chr1	41267200	41269248	251.7574005126953
chr1	41281536	41283584	447.5594177246094
chr1	41447424	41449472	272.8946228027344
chr1	41455616	41457664	227.6455841064453
chr1	41484288	41486336	278.97857666015625
chr1	41502720	41504768	220.5594482421875
chr1	41951232	41953280	247.2544403076172
chr1	41979904	41981952	210.7455596923828
chr1	42035200	42037248	391.5194396972656
chr1	42172416	42174464	577.9069213867188
chr1	42176512	42178560	254.31204223632812
chr20	57088000	57090048	411.6687927246094
chr20	57792512	57794560	227.9657440185547
chr5	139421696	139423744	320.3978576660156
chr5	139884544	139886592	201.7333526611328
chr5	139984896	139986944	494.43212890625
chr5	140042240	140044288	407.7799987792969
chr5	140046336	140048384	352.2017517089844
chr4	25448448	25450496	290.4106750488281
chr4	25456640	25458688	406.6836853027344
chr4	25667584	25669632	234.75527954101562
chr4	38178816	38180864	643.88232421875
chr4	38316032	38318080	222.04638671875
chr4	38367232	38369280	219.7078094482422
chr4	38373376	38375424	211.97677612304688
chr4	38662144	38664192	342.42156982421875
chr4	38666240	38668288	276.699951171875
chr4	38690816	38692864	254.0266571044922
chr4	38748160	38750208	288.86871337890625
chr4	38752256	38754304	329.8736877441406
chr11	19070976	19073024	715.6489868164062
chr11	19232768	19234816	369.5819091796875
chr11	19240960	19243008	206.57998657226562
chr11	19275776	19277824	296.7818603515625
chr11	19290112	19292160	201.24212646484375
chr11	19357696	19359744	228.1590118408203
chr11	19365888	19367936	204.912841796875
chr11	19374080	19376128	279.1000671386719
chr11	19376128	19378176	201.6612548828125
chr11	19380224	19382272	273.31683349609375
chr11	19388416	19390464	311.5975036621094
chr11	19419136	19421184	283.66705322265625
chr11	19431424	19433472	274.1151428222656
chr11	19441664	19443712	310.77032470703125
chr11	19499008	19501056	261.36285400390625
chr11	19902464	19904512	316.1561584472656
chr11	19953664	19955712	246.65731811523438
chr12	26427392	26429440	258.0213317871094
chr12	26630144	26632192	302.5154113769531
chr12	26634240	26636288	384.94366455078125
chr12	26658816	26660864	230.8561248779297
chr12	26662912	26664960	386.2182922363281
chr12	26677248	26679296	246.9468536376953
chr12	26691584	26693632	428.37738037109375
chr12	26722304	26724352	267.5166320800781
chr12	26744832	26746880	311.4251403808594
chr12	26785792	26787840	242.90621948242188
chr12	26787840	26789888	211.4099578857422
chr12	26789888	26791936	234.90603637695312
chr12	26802176	26804224	228.6670684814453
chr12	26810368	26812416	291.6886291503906
chr12	26957824	26959872	197.44631958007812
chr12	27013120	27015168	388.502685546875
chr4	64538624	64540672	272.9610595703125
chr18	74604544	74606592	267.81756591796875
chr18	74606592	74608640	305.83502197265625
chr18	74608640	74610688	292.4658508300781
chr18	74631168	74633216	250.20413208007812
chr18	74635264	74637312	243.3922119140625
chr15	49135616	49137664	372.03802490234375
chr15	49164288	49166336	256.25750732421875
chr15	49168384	49170432	219.23080444335938
chr15	49170432	49172480	208.43893432617188
chr15	49172480	49174528	360.50909423828125
chr15	49186816	49188864	383.7680969238281
chr15	49270784	49272832	287.615234375
chr15	49281024	49283072	311.02362060546875
chr15	49313792	49315840	333.1969299316406
chr15	49491968	49494016	228.490234375
chr15	49496064	49498112	339.36114501953125
chr15	49610752	49612800	215.7407684326172
chr15	49627136	49629184	255.5330047607422
chr1	95221760	95223808	487.94342041015625
chr21	19927040	19929088	200.0436248779297
chr9	30965760	30967808	196.2496337890625
chr15	85706752	85708800	202.95074462890625
chr15	85897216	85899264	236.44247436523438
chr10	101961728	101963776	206.13241577148438
chr10	102113280	102115328	280.6999816894531
chr10	102123520	102125568	299.8611145019531
chr10	102582272	102584320	964.1931762695312
chr4	95047680	95049728	212.2268829345703
chr1	206479360	206481408	369.8362731933594
chr1	206489600	206491648	467.0653381347656
chr1	206544896	206546944	356.3179931640625
chr1	206692352	206694400	248.08901977539062
chr1	207038464	207040512	222.76123046875
chr1	207056896	207058944	198.57046508789062
chr1	207087616	207089664	247.37991333007812
chr1	207185920	207187968	225.2098388671875
chr1	207321088	207323136	232.7626495361328
chr1	237805568	237807616	354.9727478027344
chr1	237813760	237815808	423.05291748046875
chr1	237850624	237852672	284.8684387207031
chr1	237862912	237864960	302.62957763671875
chr1	238061568	238063616	326.83258056640625
chr1	238106624	238108672	252.46719360351562
chr1	238176256	238178304	406.0097961425781
chr7	100964352	100966400	341.55914306640625
chr7	100966400	100968448	378.57373046875
chr10	120336384	120338432	387.447265625
chr10	120422400	120424448	597.5264892578125
chr10	52860928	52862976	227.18411254882812
chr10	52862976	52865024	459.62530517578125
chr13	39262208	39264256	754.5645751953125
chr11	13955072	13957120	796.5072631835938
chr11	14178304	14180352	319.64056396484375
chr11	14643200	14645248	387.58050537109375
chr8	136019968	136022016	237.3850860595703
chr1	23496704	23498752	224.0022735595703
chr1	23539712	23541760	454.53204345703125
chr1	23543808	23545856	486.6171875
chr1	23930880	23932928	244.3720703125
chr1	24389632	24391680	461.753662109375
chr1	24391680	24393728	228.1614227294922
chr4	24735744	24737792	785.8564453125
chr4	25401344	25403392	226.99960327148438
chr4	164767744	164769792	410.83538818359375
chr4	164777984	164780032	379.0924377441406
chr4	164958208	164960256	224.31387329101562
chr4	165355520	165357568	412.9193420410156
chr1	158898176	158900224	602.5616455078125
chr1	159002624	159004672	242.888916015625
chr1	159008768	159010816	351.39349365234375
chr1	159014912	159016960	411.945556640625
chr1	159016960	159019008	263.9943542480469
chr1	159039488	159041536	484.75653076171875
chr1	159043584	159045632	399.2354431152344
chr1	159053824	159055872	203.58602905273438
chr1	159090688	159092736	201.20706176757812
chr1	159092736	159094784	289.308837890625
chr4	17385472	17387520	327.46307373046875
chr4	17494016	17496064	476.25
chr4	17565696	17567744	373.42474365234375
chr4	17721344	17723392	332.5056457519531
chr1	15036416	15038464	236.93124389648438
chr1	15177728	15179776	230.9632568359375
chr1	15200256	15202304	288.58209228515625
chr1	15290368	15292416	213.5034637451172
chr1	15294464	15296512	198.7437744140625
chr1	15542272	15544320	585.560302734375
chrX	118116352	118118400	355.384765625
chrX	118292480	118294528	220.1470489501953
chrX	118362112	118364160	277.28021240234375
chrX	118370304	118372352	284.1682434082031
chrX	118806528	118808576	786.7329711914062
chr4	135047168	135049216	204.17491149902344
chrX	110422016	110424064	339.10736083984375
chr2	197861376	197863424	199.77587890625
chrX	138061824	138063872	215.93203735351562
chrX	138110976	138113024	211.0192413330078
chr7	113371136	113373184	209.71798706054688
chr7	113496064	113498112	333.0751953125
chr7	113696768	113698816	295.91217041015625
chr7	113709056	113711104	274.76593017578125
chr7	77758464	77760512	198.32485961914062
chr7	78082048	78084096	211.51382446289062
chr7	78096384	78098432	248.86825561523438
