chrom	start	end	protein_coding_Shap
chrX	124676096	124678144	-235.4974822998047
chrX	124690432	124692480	-219.22036743164062
chrX	124700672	124702720	-217.65158081054688
chrX	124708864	124710912	-234.5916290283203
chrX	124712960	124715008	-249.43408203125
chrX	124717056	124719104	-339.1014404296875
chrX	124719104	124721152	-160.16603088378906
chrX	124723200	124725248	-207.08377075195312
chrX	124727296	124729344	-254.9720458984375
chrX	124731392	124733440	-247.6504669189453
chrX	124733440	124735488	-277.54888916015625
chrX	124739584	124741632	-299.36798095703125
chrX	124749824	124751872	-272.89117431640625
chrX	124760064	124762112	-214.7476348876953
chrX	124764160	124766208	-159.62278747558594
chrX	124766208	124768256	-235.14828491210938
chrX	124776448	124778496	-143.0330810546875
chrX	124780544	124782592	-224.61328125
chrX	124782592	124784640	-197.41091918945312
chrX	124784640	124786688	-161.6588134765625
chrX	124788736	124790784	-126.7384262084961
chrX	124790784	124792832	-312.27960205078125
chrX	124796928	124798976	-131.89207458496094
chrX	124801024	124803072	-170.38601684570312
chrX	124817408	124819456	-243.56057739257812
chrX	124819456	124821504	-346.59027099609375
chrX	124825600	124827648	-305.79742431640625
chrX	124827648	124829696	-196.0864715576172
chrX	124829696	124831744	-190.36953735351562
chrX	124831744	124833792	-126.2176742553711
chrX	124835840	124837888	-284.75347900390625
chrX	124837888	124839936	-156.95803833007812
chrX	124844032	124846080	-267.8343505859375
chrX	124846080	124848128	-149.4690399169922
chrX	124848128	124850176	-289.0556640625
chrX	124852224	124854272	-240.468017578125
chrX	124854272	124856320	-356.9082946777344
chrX	124856320	124858368	-280.947509765625
chrX	124858368	124860416	-212.326416015625
chrX	124862464	124864512	-214.62850952148438
chrX	124864512	124866560	-159.06491088867188
chrX	124870656	124872704	-224.1686553955078
chrX	124872704	124874752	-255.6241912841797
chrX	124876800	124878848	-173.84066772460938
chrX	124878848	124880896	-196.83343505859375
chrX	124880896	124882944	-224.2251434326172
chrX	124884992	124887040	-241.82266235351562
chrX	124887040	124889088	-208.551025390625
chrX	124889088	124891136	-162.44273376464844
chrX	124891136	124893184	-226.2451171875
chrX	124893184	124895232	-297.4098815917969
chrX	124897280	124899328	-211.62362670898438
chrX	124899328	124901376	-227.2852020263672
chrX	124903424	124905472	-195.37673950195312
chrX	124905472	124907520	-248.3459014892578
chrX	124907520	124909568	-150.4558868408203
chrX	124909568	124911616	-193.25494384765625
chrX	124913664	124915712	-253.2854766845703
chrX	124919808	124921856	-230.5984344482422
chrX	124923904	124925952	-229.5771942138672
chrX	124925952	124928000	-246.4344940185547
chrX	124934144	124936192	-180.87672424316406
chrX	124938240	124940288	-164.53213500976562
chrX	124940288	124942336	-239.848388671875
chrX	124948480	124950528	-173.05398559570312
chrX	124950528	124952576	-160.02891540527344
chrX	124952576	124954624	-168.68490600585938
chrX	124954624	124956672	-173.46231079101562
chrX	124956672	124958720	-154.8622589111328
chrX	124958720	124960768	-159.76065063476562
chrX	124960768	124962816	-190.16285705566406
chrX	124964864	124966912	-149.49168395996094
chrX	124968960	124971008	-239.0618896484375
chrX	124971008	124973056	-261.31695556640625
chrX	124973056	124975104	-243.33456420898438
chrX	124977152	124979200	-134.33880615234375
chrX	124979200	124981248	-205.37734985351562
chrX	124981248	124983296	-234.4537353515625
chrX	124985344	124987392	-148.42430114746094
chrX	124987392	124989440	-225.3021697998047
chrX	124989440	124991488	-172.83859252929688
chrX	124993536	124995584	-216.81954956054688
chrX	124995584	124997632	-132.764892578125
chrX	124997632	124999680	-158.0835723876953
chrX	124999680	125001728	-160.44296264648438
chrX	125009920	125011968	-181.4292755126953
chrX	125011968	125014016	-156.14480590820312
chrX	125016064	125018112	-185.96202087402344
chrX	125018112	125020160	-141.01438903808594
chrX	125026304	125028352	-229.5457000732422
chrX	125030400	125032448	-234.864013671875
chrX	125034496	125036544	-204.14584350585938
chrX	125036544	125038592	-159.17698669433594
chrX	125038592	125040640	-136.07630920410156
chrX	125042688	125044736	-247.4795379638672
chrX	125044736	125046784	-237.2040252685547
chrX	125046784	125048832	-167.40208435058594
chrX	125050880	125052928	-229.1610565185547
chrX	125054976	125057024	-135.39393615722656
chrX	125057024	125059072	-260.8624267578125
chrX	125059072	125061120	-245.41079711914062
chrX	125061120	125063168	-157.99716186523438
chrX	125063168	125065216	-199.88174438476562
chrX	125069312	125071360	-258.46551513671875
chrX	125071360	125073408	-184.3834228515625
chrX	125077504	125079552	-166.41885375976562
chrX	125079552	125081600	-155.26254272460938
chrX	125081600	125083648	-177.28955078125
chrX	125083648	125085696	-129.72531127929688
chrX	125087744	125089792	-139.31825256347656
chrX	125089792	125091840	-125.99288177490234
chrX	125095936	125097984	-211.2419891357422
chrX	125100032	125102080	-177.63436889648438
chrX	125102080	125104128	-170.07785034179688
chrX	125108224	125110272	-296.7565002441406
chrX	125110272	125112320	-139.0423126220703
chrX	125112320	125114368	-205.54965209960938
chrX	125114368	125116416	-158.8588104248047
chrX	125120512	125122560	-294.58563232421875
chrX	125122560	125124608	-227.92141723632812
chrX	125124608	125126656	-212.0474090576172
chrX	125128704	125130752	-158.62347412109375
chrX	125132800	125134848	-229.521484375
chrX	125134848	125136896	-186.22158813476562
chrX	125136896	125138944	-327.6801452636719
chrX	125140992	125143040	-162.5485076904297
chrX	125163520	125165568	-167.62059020996094
chrX	125165568	125167616	-165.80935668945312
chrX	125173760	125175808	-185.72341918945312
chrX	125177856	125179904	-146.7139434814453
chrX	125179904	125181952	-183.33718872070312
chrX	125181952	125184000	-267.7032775878906
chrX	125186048	125188096	-142.5115966796875
chrX	125188096	125190144	-178.52581787109375
chrX	125190144	125192192	-294.30120849609375
chrX	125194240	125196288	-207.45654296875
chrX	125196288	125198336	-183.2212371826172
chrX	125204480	125206528	-165.5393829345703
chrX	125206528	125208576	-210.2012481689453
chrX	125212672	125214720	-262.1551208496094
chrX	125218816	125220864	-188.45333862304688
chrX	125220864	125222912	-138.38284301757812
chrX	125222912	125224960	-227.41732788085938
chrX	125227008	125229056	-130.3000030517578
chrX	125229056	125231104	-163.2769317626953
chrX	125239296	125241344	-135.90403747558594
chrX	125245440	125247488	-154.43075561523438
chrX	125247488	125249536	-139.43942260742188
chrX	125249536	125251584	-220.347412109375
chrX	125251584	125253632	-192.41329956054688
chrX	125263872	125265920	-221.5699462890625
chrX	125265920	125267968	-170.18417358398438
chrX	125267968	125270016	-172.1110382080078
chrX	125272064	125274112	-198.1162109375
chrX	125274112	125276160	-202.9940185546875
chrX	125278208	125280256	-160.01539611816406
chrX	125282304	125284352	-219.9085235595703
chrX	125290496	125292544	-134.22189331054688
chrX	125292544	125294592	-173.30526733398438
chrX	125298688	125300736	-136.48196411132812
chrX	125300736	125302784	-151.39297485351562
chrX	125304832	125306880	-186.0463409423828
chrX	125306880	125308928	-198.06765747070312
chrX	125308928	125310976	-166.0517578125
chrX	125310976	125313024	-151.95626831054688
chrX	125319168	125321216	-178.10264587402344
chrX	125331456	125333504	-236.39340209960938
chrX	125333504	125335552	-305.60089111328125
chrX	125347840	125349888	-144.39064025878906
chrX	125349888	125351936	-138.07154846191406
chrX	125356032	125358080	-179.4667510986328
chrX	125360128	125362176	-166.98973083496094
chrX	125392896	125394944	-264.4477233886719
chr4	25364480	25366528	-364.60284423828125
chr4	25366528	25368576	-331.55224609375
chr4	25376768	25378816	-317.3189392089844
chr4	38160384	38162432	-143.8949737548828
chr4	38758400	38760448	-198.59597778320312
chr4	63848448	63850496	-130.78402709960938
chr1	94844928	94846976	-125.1586685180664
chr1	94861312	94863360	-171.32843017578125
chr1	94863360	94865408	-171.24745178222656
chr1	94873600	94875648	-147.1846160888672
chr1	94898176	94900224	-147.14535522460938
chr1	94920704	94922752	-141.17156982421875
chr1	94922752	94924800	-134.63711547851562
chr1	94939136	94941184	-132.96315002441406
chr1	94945280	94947328	-125.73796081542969
chr1	95072256	95074304	-225.94094848632812
chr1	95232000	95234048	-158.50099182128906
chr1	95373312	95375360	-156.64328002929688
chr1	95449088	95451136	-169.6206817626953
chr1	95453184	95455232	-175.02206420898438
chr9	30607360	30609408	-210.0760498046875
chr9	30615552	30617600	-197.67019653320312
chr15	85325824	85327872	-144.51751708984375
chr15	85327872	85329920	-135.70297241210938
chr15	85399552	85401600	-149.3783416748047
chr15	85403648	85405696	-155.74075317382812
chr15	85442560	85444608	-131.22889709472656
chr15	85727232	85729280	-147.5137176513672
chr15	85997568	85999616	-156.99903869628906
chr15	86120448	86122496	-130.2411651611328
chr15	86177792	86179840	-140.50831604003906
chr7	100585472	100587520	-134.24093627929688
chr10	52443136	52445184	-155.16122436523438
chr10	52463616	52465664	-133.78955078125
chr10	52502528	52504576	-139.94601440429688
chr10	52516864	52518912	-125.3521957397461
chr10	52525056	52527104	-158.01510620117188
chr10	52533248	52535296	-158.43902587890625
chr10	52566016	52568064	-164.3504638671875
chr10	52643840	52645888	-141.9091796875
chr11	14338048	14340096	-161.98251342773438
chr11	14342144	14344192	-140.58599853515625
chr11	14350336	14352384	-179.3417510986328
chr11	14372864	14374912	-204.10125732421875
chr11	14376960	14379008	-246.80020141601562
chr11	14383104	14385152	-173.46910095214844
chr11	14411776	14413824	-310.13568115234375
chr11	14415872	14417920	-209.94430541992188
chr11	14417920	14419968	-173.0452423095703
chr11	14450688	14452736	-140.48350524902344
chr11	14452736	14454784	-149.4259796142578
chr11	14454784	14456832	-215.5465087890625
chr11	14458880	14460928	-147.22097778320312
chr11	14465024	14467072	-204.1782989501953
chr11	14471168	14473216	-202.97715759277344
chr11	14479360	14481408	-169.07083129882812
chr11	14499840	14501888	-211.2600860595703
chr11	14518272	14520320	-179.32850646972656
chr11	14520320	14522368	-187.40145874023438
chr1	23691264	23693312	-152.31813049316406
chr1	23771136	23773184	-129.55694580078125
chr1	158898176	158900224	-138.7222900390625
chr1	158912512	158914560	-128.06031799316406
chr1	159213568	159215616	-142.244140625
chr4	17471488	17473536	-129.3345947265625
chr1	15525888	15527936	-256.1029968261719
chr1	15527936	15529984	-252.9070587158203
chrX	117991424	117993472	-265.4181823730469
chrX	117997568	117999616	-156.85276794433594
chrX	118001664	118003712	-175.09425354003906
chrX	118003712	118005760	-176.51779174804688
chrX	118009856	118011904	-267.101806640625
chrX	118011904	118013952	-282.8692932128906
chrX	118013952	118016000	-172.37442016601562
chrX	118018048	118020096	-275.02899169921875
chrX	118020096	118022144	-332.24627685546875
chrX	118022144	118024192	-259.26336669921875
chrX	118024192	118026240	-227.0923309326172
chrX	118028288	118030336	-295.150390625
chrX	118030336	118032384	-161.88449096679688
chrX	118036480	118038528	-193.0640411376953
chrX	118042624	118044672	-305.9241027832031
chrX	118044672	118046720	-148.55909729003906
chrX	118046720	118048768	-222.4562225341797
chrX	118048768	118050816	-295.3346862792969
chrX	118050816	118052864	-266.12091064453125
chrX	118052864	118054912	-180.5642852783203
chrX	118059008	118061056	-186.87588500976562
chrX	118061056	118063104	-229.3369140625
chrX	118069248	118071296	-225.4676055908203
chrX	118071296	118073344	-215.98391723632812
chrX	118073344	118075392	-264.3862609863281
chrX	118075392	118077440	-347.7509765625
chrX	118077440	118079488	-179.5592803955078
chrX	118079488	118081536	-160.49183654785156
chrX	118081536	118083584	-284.30499267578125
chrX	118083584	118085632	-244.18362426757812
chrX	118085632	118087680	-213.8419189453125
chrX	118087680	118089728	-213.3646697998047
chrX	118089728	118091776	-172.88223266601562
chrX	118091776	118093824	-138.00595092773438
chrX	118093824	118095872	-147.717041015625
chrX	118095872	118097920	-169.97897338867188
chrX	118097920	118099968	-157.60186767578125
chrX	118099968	118102016	-263.7713928222656
chrX	118106112	118108160	-127.4787826538086
chrX	118110208	118112256	-163.9156951904297
chrX	118112256	118114304	-138.37734985351562
chrX	118116352	118118400	-146.3486328125
chrX	118120448	118122496	-126.26383209228516
chrX	118124544	118126592	-196.5304718017578
chrX	118126592	118128640	-205.10903930664062
chrX	118132736	118134784	-179.16519165039062
chrX	118136832	118138880	-166.80198669433594
