chrom	database	gene	start	end	length	geneinfo
chr1	HAVANA	gene	13892792	15118043	1225251	gene_id "ENSG00000189337.17"; gene_type "protein_coding"; gene_name "KAZN"; level 2; hgnc_id "HGNC:29173"; havana_gene "OTTHUMG00000002042.8";
chr1	HAVANA	gene	48532854	50023954	1491100	gene_id "ENSG00000186094.18"; gene_type "protein_coding"; gene_name "AGBL4"; level 2; hgnc_id "HGNC:25892"; tag "overlapping_locus"; havana_gene "OTTHUMG00000007793.6";
chr1	HAVANA	gene	56994778	58546734	1551956	gene_id "ENSG00000173406.16"; gene_type "protein_coding"; gene_name "DAB1"; level 2; hgnc_id "HGNC:2661"; tag "overlapping_locus"; havana_gene "OTTHUMG00000008391.7";
chr1	HAVANA	gene	87620803	88685204	1064401	gene_id "ENSG00000237505.8"; gene_type "lncRNA"; gene_name "PKN2-AS1"; level 2; hgnc_id "HGNC:50597"; tag "ncRNA_host"; havana_gene "OTTHUMG00000010024.8";
chr2	HAVANA	gene	49918503	51225575	1307072	gene_id "ENSG00000179915.25"; gene_type "protein_coding"; gene_name "NRXN1"; level 1; hgnc_id "HGNC:8008"; tag "ncRNA_host"; havana_gene "OTTHUMG00000129263.23";
chr2	HAVANA	gene	51032601	52407917	1375316	gene_id "ENSG00000231918.1"; gene_type "lncRNA"; gene_name "ENSG00000231918"; level 2; tag "ncRNA_host"; tag "overlapping_locus"; havana_gene "OTTHUMG00000144189.3";
chr2	HAVANA	gene	79185231	80648861	1463630	gene_id "ENSG00000066032.19"; gene_type "protein_coding"; gene_name "CTNNA2"; level 1; hgnc_id "HGNC:2510"; tag "overlapping_locus"; havana_gene "OTTHUMG00000152903.13";
chr2	HAVANA	gene	114442299	115845780	1403481	gene_id "ENSG00000175497.17"; gene_type "protein_coding"; gene_name "DPP10"; level 2; hgnc_id "HGNC:20823"; tag "overlapping_locus"; havana_gene "OTTHUMG00000153294.10";
chr2	HAVANA	gene	140231423	142131016	1899593	gene_id "ENSG00000168702.18"; gene_type "protein_coding"; gene_name "LRP1B"; level 1; hgnc_id "HGNC:6693"; tag "ncRNA_host"; tag "overlapping_locus"; havana_gene "OTTHUMG00000131799.6";
chr2	HAVANA	gene	204545475	205620162	1074687	gene_id "ENSG00000116117.19"; gene_type "protein_coding"; gene_name "PARD3B"; level 1; hgnc_id "HGNC:14446"; havana_gene "OTTHUMG00000154562.5";
chr2	HAVANA	gene	211375717	212538841	1163124	gene_id "ENSG00000178568.15"; gene_type "protein_coding"; gene_name "ERBB4"; level 2; hgnc_id "HGNC:3432"; tag "ncRNA_host"; havana_gene "OTTHUMG00000133012.6";
chr2	HAVANA	gene	213284389	214410501	1126112	gene_id "ENSG00000144451.20"; gene_type "protein_coding"; gene_name "SPAG16"; level 2; hgnc_id "HGNC:23225"; tag "ncRNA_host"; havana_gene "OTTHUMG00000133015.9";
chr3	HAVANA	gene	17157162	18444817	1287655	gene_id "ENSG00000131374.15"; gene_type "protein_coding"; gene_name "TBC1D5"; level 2; hgnc_id "HGNC:19166"; tag "overlapping_locus"; havana_gene "OTTHUMG00000155488.20";
chr3	HAVANA	gene	28349178	29767537	1418359	gene_id "ENSG00000283563.1"; gene_type "protein_coding"; gene_name "ENSG00000283563"; level 2; tag "overlapping_locus"; tag "readthrough_gene"; havana_gene "OTTHUMG00000191752.1";
chr3	HAVANA	gene	28574791	30010391	1435600	gene_id "ENSG00000144642.22"; gene_type "protein_coding"; gene_name "RBMS3"; level 2; hgnc_id "HGNC:13427"; tag "overlapping_locus"; havana_gene "OTTHUMG00000155699.10";
