Geneinfo	sum_inter_counts	mean_inter_counts	bin_counts	bin_ratio
ENSG00000230021.10|ENSG00000230021|transcribed_processed_pseudogene|chr1:[586070,827796)/-	4	0.00077	1	0.00019256691700365877
ENSG00000188290.11|HES4|protein_coding|chr1:[998961,1000172)/-	2	0.00039	2	0.00038513383400731754
ENSG00000242590.1|ENSG00000242590|lncRNA|chr1:[1055032,1056116)/+	7	0.00135	4	0.0007702676680146351
ENSG00000160087.21|UBE2J2|protein_coding|chr1:[1253908,1273864)/-	8	0.00154	5	0.0009628345850182939
ENSG00000162576.17|MXRA8|protein_coding|chr1:[1352688,1361777)/-	25	0.00481	16	0.0030810706720585403
ENSG00000221978.13|CCNL2|protein_coding|chr1:[1385710,1399335)/-	19	0.00366	12	0.002310803004043905
ENSG00000215915.10|ATAD3C|protein_coding|chr1:[1449688,1470163)/+	1	0.00019	1	0.00019256691700365877
ENSG00000160072.20|ATAD3B|protein_coding|chr1:[1471764,1497848)/+	1	0.00019	1	0.00019256691700365877
ENSG00000008130.15|NADK|protein_coding|chr1:[1751231,1780457)/-	9	0.00173	6	0.0011554015020219526
ENSG00000078369.19|GNB1|protein_coding|chr1:[1785284,1892292)/-	69	0.01329	42	0.008087810514153668
ENSG00000182873.5|PRKCZ-AS1|lncRNA|chr1:[2181793,2184389)/-	1	0.00019	1	0.00019256691700365877
ENSG00000162585.17|FAAP20|protein_coding|chr1:[2184460,2212720)/-	7	0.00135	3	0.0005777007510109763
ENSG00000157933.11|SKI|protein_coding|chr1:[2227387,2310213)/+	37	0.00712	27	0.005199306759098787
ENSG00000116151.14|MORN1|protein_coding|chr1:[2321252,2391707)/-	4	0.00077	3	0.0005777007510109763
ENSG00000162591.17|MEGF6|protein_coding|chr1:[3487950,3611508)/-	16	0.00308	10	0.0019256691700365878
ENSG00000116213.16|WRAP73|protein_coding|chr1:[3630766,3652761)/-	4	0.00077	3	0.0005777007510109763
ENSG00000227372.12|TP73-AS1|transcribed_unitary_pseudogene|chr1:[3735510,3747373)/-	1	0.00019	1	0.00019256691700365877
ENSG00000130764.10|LRRC47|protein_coding|chr1:[3778558,3796498)/-	3	0.00058	3	0.0005777007510109763
ENSG00000116198.14|CEP104|protein_coding|chr1:[3812085,3857396)/-	4	0.00077	3	0.0005777007510109763
ENSG00000198912.12|C1orf174|protein_coding|chr1:[3889124,3900293)/-	4	0.00077	3	0.0005777007510109763
ENSG00000069424.16|KCNAB2|protein_coding|chr1:[5990926,6101193)/+	5	0.00096	4	0.0007702676680146351
ENSG00000285629.1|ENSG00000285629|protein_coding|chr1:[6159429,6197757)/-	13	0.0025	7	0.0013479684190256115
ENSG00000116251.11|RPL22|protein_coding|chr1:[6185019,6209389)/-	13	0.0025	7	0.0013479684190256115
ENSG00000097021.21|ACOT7|protein_coding|chr1:[6264268,6393767)/-	2	0.00039	2	0.00038513383400731754
ENSG00000215788.11|TNFRSF25|protein_coding|chr1:[6460785,6466175)/-	1	0.00019	1	0.00019256691700365877
ENSG00000162408.11|NOL9|protein_coding|chr1:[6521346,6554513)/-	22	0.00424	14	0.002695936838051223
ENSG00000162413.17|KLHL21|protein_coding|chr1:[6590723,6614607)/-	7	0.00135	6	0.0011554015020219526
ENSG00000007923.17|DNAJC11|protein_coding|chr1:[6634167,6701924)/-	23	0.00443	14	0.002695936838051223
ENSG00000171735.20|CAMTA1|protein_coding|chr1:[6785453,7769706)/+	30	0.00578	16	0.0030810706720585403
ENSG00000049246.15|PER3|protein_coding|chr1:[7784290,7845177)/+	16	0.00308	8	0.0015405353360292702
ENSG00000116288.13|PARK7|protein_coding|chr1:[7954290,7985505)/+	11	0.00212	8	0.0015405353360292702
ENSG00000116285.13|ERRFI1|protein_coding|chr1:[8004403,8026309)/-	15	0.00289	10	0.0019256691700365878
ENSG00000142599.20|RERE|protein_coding|chr1:[8352396,8848921)/-	77	0.01483	45	0.008665511265164644
ENSG00000228526.8|MIR34AHG|lncRNA|chr1:[9148010,9198906)/-	64	0.01232	37	0.007124975929135375
ENSG00000171621.14|SPSB1|protein_coding|chr1:[9292893,9369532)/+	5	0.00096	4	0.0007702676680146351
ENSG00000171612.7|SLC25A33|protein_coding|chr1:[9539464,9585173)/+	6	0.00116	4	0.0007702676680146351
ENSG00000171603.18|CLSTN1|protein_coding|chr1:[9728925,9823984)/-	23	0.00443	16	0.0030810706720585403
ENSG00000130939.20|UBE4B|protein_coding|chr1:[10032831,10181239)/+	43	0.00828	26	0.005006739842095128
ENSG00000054523.20|KIF1B|protein_coding|chr1:[10210569,10381603)/+	48	0.00924	26	0.005006739842095128
ENSG00000142657.21|PGD|protein_coding|chr1:[10398591,10420511)/+	14	0.0027	8	0.0015405353360292702
ENSG00000142655.13|PEX14|protein_coding|chr1:[10472287,10630758)/+	22	0.00424	15	0.0028885037550548816
ENSG00000175262.15|C1orf127|protein_coding|chr1:[10946470,10982076)/-	3	0.00058	1	0.00019256691700365877
ENSG00000120948.19|TARDBP|protein_coding|chr1:[11012343,11030528)/+	13	0.0025	9	0.0017331022530329288
ENSG00000171824.14|EXOSC10|protein_coding|chr1:[11066617,11099869)/-	2	0.00039	2	0.00038513383400731754
ENSG00000198793.14|MTOR|protein_coding|chr1:[11106534,11262556)/-	21	0.00404	15	0.0028885037550548816
