chrom	start	end	misc_RNA_Shap
chr1	41279488	41281536	-9.581153869628906
chr1	41316352	41318400	-14.243520736694336
chr1	41322496	41324544	-16.48433494567871
chr1	41330688	41332736	-14.361871719360352
chr1	41719808	41721856	-20.135290145874023
chr1	41742336	41744384	-9.786569595336914
chr20	57706496	57708544	-9.564085006713867
chr20	57735168	57737216	-13.015710830688477
chr5	139388928	139390976	-9.926340103149414
chr5	139409408	139411456	-10.00493335723877
chr5	139419648	139421696	-24.63381576538086
chr5	139489280	139491328	-14.289505004882812
chr5	139501568	139503616	-9.415477752685547
chr5	140296192	140298240	-12.449646949768066
chr5	140310528	140312576	-11.728023529052734
chr5	140316672	140318720	-10.07066822052002
chr4	25161728	25163776	-9.933780670166016
chr4	25171968	25174016	-9.620415687561035
chr4	26175488	26177536	-26.423110961914062
chr4	38127616	38129664	-9.737467765808105
chr4	38131712	38133760	-9.946605682373047
chr4	38926336	38928384	-16.12171173095703
chr4	38940672	38942720	-14.429109573364258
chr11	19601408	19603456	-26.53435707092285
chr11	19625984	19628032	-17.085948944091797
chr11	19646464	19648512	-19.62826156616211
chr12	26155008	26157056	-9.478797912597656
chr12	26195968	26198016	-10.266744613647461
chr12	26218496	26220544	-12.892804145812988
chr12	26228736	26230784	-11.455730438232422
chr12	26241024	26243072	-12.141260147094727
chr12	26324992	26327040	-11.017278671264648
chr18	74598400	74600448	-9.603734016418457
chr18	74854400	74856448	-11.077354431152344
chr15	48939008	48941056	-18.481801986694336
chr15	48945152	48947200	-11.717169761657715
chr15	48963584	48965632	-14.066595077514648
chr15	49035264	49037312	-13.263320922851562
chr15	49037312	49039360	-13.019511222839355
chr15	49057792	49059840	-10.804581642150879
chr15	49096704	49098752	-9.476274490356445
chr15	49111040	49113088	-9.358835220336914
chr15	49664000	49666048	-9.35558795928955
chr1	94832640	94834688	-13.0042085647583
chr1	94844928	94846976	-11.562345504760742
chr1	94865408	94867456	-22.408584594726562
chr1	94871552	94873600	-22.175495147705078
chr1	94879744	94881792	-10.21440315246582
chr1	94908416	94910464	-15.79662036895752
chr1	94918656	94920704	-14.195490837097168
chr1	94935040	94937088	-13.494623184204102
chr1	94939136	94941184	-15.076318740844727
chr1	94957568	94959616	-13.437522888183594
chr1	94973952	94976000	-9.880661010742188
chr1	94994432	94996480	-11.521468162536621
chr1	95006720	95008768	-11.736284255981445
chr1	95010816	95012864	-15.131548881530762
chr1	95019008	95021056	-9.505767822265625
chr15	85325824	85327872	-11.61430549621582
chr15	85362688	85364736	-9.72535514831543
chr15	85377024	85379072	-13.366403579711914
chr15	85383168	85385216	-11.85831069946289
chr15	85395456	85397504	-17.850879669189453
chr15	85403648	85405696	-11.79754638671875
chr15	85440512	85442560	-13.212946891784668
chr15	85442560	85444608	-25.295551300048828
chr15	85458944	85460992	-12.41143798828125
chr15	85487616	85489664	-17.02996253967285
chr15	85526528	85528576	-9.582742691040039
chr15	85528576	85530624	-10.90795612335205
chr15	85542912	85544960	-12.668116569519043
chr15	85555200	85557248	-14.002487182617188
chr15	85565440	85567488	-13.51331615447998
chr15	85575680	85577728	-9.733869552612305
chr15	85626880	85628928	-17.380477905273438
chr10	101836800	101838848	-9.604225158691406
chr10	101867520	101869568	-11.761799812316895
chr10	101869568	101871616	-11.556010246276855
chr10	101881856	101883904	-19.881546020507812
chr10	101892096	101894144	-14.031303405761719
chr10	101894144	101896192	-11.158407211303711
chr10	101906432	101908480	-14.31712532043457
chr10	101931008	101933056	-12.388456344604492
chr10	101941248	101943296	-21.621997833251953
chr10	101955584	101957632	-29.814382553100586
chr10	101961728	101963776	-10.911028861999512
chr10	101967872	101969920	-19.036226272583008
chr10	101969920	101971968	-32.101966857910156
chr10	101992448	101994496	-12.061019897460938
chr10	102252544	102254592	-17.262298583984375
chr10	102264832	102266880	-19.393293380737305
chr10	102266880	102268928	-30.123205184936523
chr10	102307840	102309888	-23.335664749145508
chr10	102311936	102313984	-31.331180572509766
chr10	102332416	102334464	-15.910639762878418
chr10	102578176	102580224	-10.168580055236816
chr10	102588416	102590464	-11.055684089660645
chr1	206481408	206483456	-9.97944450378418
chr1	206489600	206491648	-14.239964485168457
chr1	206491648	206493696	-12.1508150100708
chr1	206497792	206499840	-17.411415100097656
chr1	206501888	206503936	-14.276476860046387
chr1	206520320	206522368	-10.793764114379883
chr1	206553088	206555136	-13.195347785949707
chr1	206673920	206675968	-9.993776321411133
chr1	206686208	206688256	-11.246835708618164
chr1	206702592	206704640	-12.644306182861328
chr1	206766080	206768128	-12.2191743850708
chr1	206772224	206774272	-10.897732734680176
chr1	206811136	206813184	-9.671812057495117
chr1	206825472	206827520	-12.5897216796875
chr1	206831616	206833664	-9.735993385314941
chr1	206843904	206845952	-11.557161331176758
chr1	238606336	238608384	-11.954185485839844
chr7	100114432	100116480	-11.308435440063477
chr7	100122624	100124672	-10.73108959197998
chr10	120315904	120317952	-13.710710525512695
chr10	52379648	52381696	-21.208667755126953
chr10	52422656	52424704	-16.681486129760742
chr10	52441088	52443136	-13.63591194152832
chr10	52455424	52457472	-10.229681015014648
chr10	52502528	52504576	-10.39906120300293
chr10	52535296	52537344	-12.525997161865234
chr10	52543488	52545536	-11.815324783325195
chr10	52547584	52549632	-15.382247924804688
chr10	52615168	52617216	-10.574277877807617
chr11	14329856	14331904	-21.578413009643555
chr11	14385152	14387200	-17.802690505981445
chr11	14411776	14413824	-18.676071166992188
chr11	14422016	14424064	-20.220117568969727
chr8	135540736	135542784	-15.197555541992188
chr8	135583744	135585792	-9.90019702911377
chr1	23457792	23459840	-14.708406448364258
chr1	23459840	23461888	-12.481287002563477
chr1	23482368	23484416	-12.782283782958984
chr1	23494656	23496704	-11.369417190551758
chr1	23506944	23508992	-11.796903610229492
chr1	23523328	23525376	-13.1895112991333
chr1	23535616	23537664	-17.24714469909668
chr1	23552000	23554048	-14.346549987792969
chr1	23556096	23558144	-9.655576705932617
chr1	23558144	23560192	-17.582843780517578
chr1	23570432	23572480	-13.292004585266113
chr1	23576576	23578624	-20.049413681030273
chr1	23584768	23586816	-13.594098091125488
chr1	23588864	23590912	-11.561995506286621
chr1	23597056	23599104	-14.91779899597168
chr1	23599104	23601152	-17.405227661132812
chr1	24381440	24383488	-10.593259811401367
chr1	24389632	24391680	-11.366632461547852
chr1	159436800	159438848	-10.680044174194336
chr4	17147904	17149952	-22.392269134521484
chr4	17166336	17168384	-16.337623596191406
chr4	17170432	17172480	-16.902990341186523
chr4	17186816	17188864	-13.750772476196289
chr4	17223680	17225728	-11.835004806518555
chr4	17244160	17246208	-17.50074005126953
chr1	15677440	15679488	-13.289583206176758
chr1	15816704	15818752	-10.853105545043945
chr1	15837184	15839232	-13.26897144317627
chr1	15843328	15845376	-12.331914901733398
chr1	15851520	15853568	-12.395054817199707
chr1	15853568	15855616	-10.939671516418457
chr1	15865856	15867904	-14.101301193237305
chr1	15869952	15872000	-11.976812362670898
chr1	15880192	15882240	-13.590472221374512
chr1	15884288	15886336	-12.879007339477539
chr1	15912960	15915008	-14.280377388000488
chr7	7927808	7929856	-20.32832908630371
chr7	7946240	7948288	-12.439167976379395
chr7	8009728	8011776	-10.261232376098633
chrX	110190592	110192640	-15.403712272644043
chr17	28471296	28473344	-10.086092948913574
chr17	28526592	28528640	-9.908220291137695
chr17	28563456	28565504	-10.908430099487305
chr17	28583936	28585984	-12.882336616516113
chr17	28807168	28809216	-20.486886978149414
chr1	179144704	179146752	-14.175695419311523
chr1	179173376	179175424	-16.700899124145508
chr1	179179520	179181568	-13.291333198547363
chr1	179251200	179253248	-9.538171768188477
chr1	179271680	179273728	-17.747482299804688
chr1	179304448	179306496	-9.62259578704834
chr1	179957760	179959808	-18.755733489990234
chrX	42432512	42434560	-9.775720596313477
chr12	31475712	31477760	-12.131114959716797
chr12	31483904	31485952	-9.454977989196777
chr12	31520768	31522816	-10.549909591674805
chr12	32215040	32217088	-10.288531303405762
chr12	32262144	32264192	-11.319933891296387
chr3	65878016	65880064	-13.625340461730957
chr3	65966080	65968128	-15.380392074584961
chr3	65968128	65970176	-18.77118492126465
chr3	65976320	65978368	-13.602289199829102
chr3	66013184	66015232	-12.328312873840332
chr3	66015232	66017280	-9.579691886901855
chr3	66039808	66041856	-12.588170051574707
chr3	66041856	66043904	-18.615943908691406
chr3	66054144	66056192	-15.54736328125
chr3	66076672	66078720	-9.385029792785645
chr3	66097152	66099200	-11.995696067810059
chr3	66103296	66105344	-11.556493759155273
chr16	23478272	23480320	-17.062923431396484
