chrom	start	end	others_Shap
chrX	9199616	9201664	-7.119515895843506
chrX	9582592	9584640	-6.500962734222412
chrX	9711616	9713664	-12.415921211242676
chr1	41297920	41299968	-6.860333442687988
chr1	41439232	41441280	-6.764518737792969
chr1	41459712	41461760	-10.837201118469238
chr1	41463808	41465856	-8.355358123779297
chr1	41609216	41611264	-9.045323371887207
chr1	41648128	41650176	-7.703558444976807
chr1	41771008	41773056	-6.595074653625488
chr20	57321472	57323520	-8.206474304199219
chr20	57327616	57329664	-8.142330169677734
chr20	57339904	57341952	-8.356599807739258
chr20	57372672	57374720	-13.568519592285156
chr20	57397248	57399296	-14.668991088867188
chr20	57399296	57401344	-15.910944938659668
chr20	57489408	57491456	-8.66905689239502
chr20	57737216	57739264	-11.317777633666992
chr20	57757696	57759744	-6.36647891998291
chr5	139409408	139411456	-6.399268627166748
chr5	139481088	139483136	-8.782886505126953
chr5	139563008	139565056	-7.903501987457275
chr5	139579392	139581440	-16.355030059814453
chr5	139581440	139583488	-9.32447624206543
chr5	139612160	139614208	-8.980792045593262
chr5	139638784	139640832	-16.404964447021484
chr5	139671552	139673600	-10.332253456115723
chr5	139722752	139724800	-8.894170761108398
chr5	139749376	139751424	-8.166603088378906
chr5	139790336	139792384	-7.814628601074219
chr4	25235456	25237504	-10.771595001220703
chr4	25354240	25356288	-9.312819480895996
chr4	25376768	25378816	-10.990150451660156
chr4	38313984	38316032	-7.026573181152344
chr4	38725632	38727680	-16.08335304260254
chr4	38871040	38873088	-6.47524881362915
chr4	38873088	38875136	-11.684881210327148
chr4	38912000	38914048	-11.010951042175293
chr4	38916096	38918144	-11.243133544921875
chr4	38928384	38930432	-8.148860931396484
chr11	19200000	19202048	-8.927987098693848
chr11	19576832	19578880	-12.586491584777832
chr11	19623936	19625984	-12.631633758544922
chr11	19630080	19632128	-10.36245059967041
chr11	19652608	19654656	-8.009328842163086
chr11	19697664	19699712	-15.982989311218262
chr11	19781632	19783680	-6.629547119140625
chr11	19824640	19826688	-6.742495059967041
chr11	19869696	19871744	-7.150810241699219
chr12	26621952	26624000	-7.386993408203125
chr12	26851328	26853376	-10.446364402770996
chr12	26888192	26890240	-11.78996753692627
chr12	26920960	26923008	-15.717849731445312
chr12	26931200	26933248	-14.462869644165039
chr12	27109376	27111424	-7.749395847320557
chr18	74545152	74547200	-7.156678676605225
chr18	74723328	74725376	-7.292214393615723
chr18	74772480	74774528	-8.733981132507324
chr18	74848256	74850304	-8.294983863830566
chr18	74866688	74868736	-8.076040267944336
chr18	74905600	74907648	-10.361889839172363
chr15	48986112	48988160	-7.426966667175293
chr15	49037312	49039360	-10.827890396118164
chr15	49049600	49051648	-7.679629325866699
chr15	49055744	49057792	-7.195035457611084
chr15	49084416	49086464	-7.1986985206604
chr15	49096704	49098752	-6.9625983238220215
chr15	49129472	49131520	-8.640624046325684
chr15	49158144	49160192	-7.663249969482422
chr15	49164288	49166336	-8.659794807434082
chr15	49166336	49168384	-7.516539096832275
chr15	49180672	49182720	-6.543126106262207
chr1	94855168	94857216	-7.554728031158447
chr1	94869504	94871552	-7.5108513832092285
chr1	94906368	94908416	-7.0213942527771
chr1	94945280	94947328	-12.846330642700195
chr1	94994432	94996480	-16.956741333007812
chr1	95002624	95004672	-16.177738189697266
chr1	95006720	95008768	-7.036754608154297
chr1	95053824	95055872	-6.95702600479126
chr1	95068160	95070208	-8.095515251159668
chr1	95223808	95225856	-12.022355079650879
chr1	95236096	95238144	-11.21650505065918
chr1	95238144	95240192	-9.347494125366211
chr1	95242240	95244288	-16.619291305541992
chr15	85366784	85368832	-11.777226448059082
chr15	85469184	85471232	-6.528139591217041
chr15	85473280	85475328	-19.98501968383789
chr15	85514240	85516288	-10.299489974975586
chr15	85557248	85559296	-8.706220626831055
chr15	85571584	85573632	-15.285740852355957
chr15	85577728	85579776	-13.9256010055542
chr15	85600256	85602304	-7.146092414855957
chr15	85618688	85620736	-7.287253379821777
chr15	85626880	85628928	-6.793177604675293
chr15	85655552	85657600	-18.279224395751953
chr15	85667840	85669888	-13.827631950378418
chr15	85676032	85678080	-14.629964828491211
chr15	85690368	85692416	-6.565554618835449
chr15	85694464	85696512	-8.083078384399414
chr15	85700608	85702656	-14.897249221801758
chr15	85737472	85739520	-10.172395706176758
chr15	85743616	85745664	-13.324508666992188
chr15	85751808	85753856	-9.305981636047363
chr15	85762048	85764096	-7.238960266113281
chr15	85786624	85788672	-13.938405990600586
chr15	85831680	85833728	-7.422982215881348
chr15	85848064	85850112	-11.015433311462402
chr12	29310976	29313024	-8.888199806213379
chr12	29327360	29329408	-8.271181106567383
chr12	29349888	29351936	-12.633352279663086
chr10	101871616	101873664	-10.213834762573242
chr10	101875712	101877760	-6.349207401275635
chr10	101881856	101883904	-7.036220550537109
chr10	101906432	101908480	-7.965002536773682
chr10	101914624	101916672	-12.39742660522461
chr10	101918720	101920768	-8.192334175109863
chr10	101933056	101935104	-6.967541694641113
chr10	101955584	101957632	-9.798208236694336
chr10	102047744	102049792	-7.301365852355957
chr10	102051840	102053888	-6.852860927581787
chr10	102066176	102068224	-6.784070014953613
chr10	102096896	102098944	-6.61236572265625
chr10	102127616	102129664	-15.162832260131836
chr10	102135808	102137856	-19.126802444458008
chr10	102242304	102244352	-6.841192722320557
chr10	102248448	102250496	-8.205366134643555
chr10	102252544	102254592	-10.093679428100586
chr10	102262784	102264832	-6.7700958251953125
chr10	102295552	102297600	-8.842381477355957
chr10	102299648	102301696	-8.085331916809082
chr10	102305792	102307840	-8.593564987182617
chr10	102354944	102356992	-13.514004707336426
chr10	102426624	102428672	-11.026071548461914
chr4	95074304	95076352	-7.249306678771973
chr4	95092736	95094784	-7.310887336730957
chr1	206446592	206448640	-6.29833984375
chr1	206637056	206639104	-8.700262069702148
chr1	206667776	206669824	-9.37747859954834
chr1	206673920	206675968	-9.851689338684082
chr1	206692352	206694400	-8.881643295288086
chr1	206718976	206721024	-13.545732498168945
chr1	206733312	206735360	-7.02968692779541
chr1	206745600	206747648	-10.010236740112305
chr1	206757888	206759936	-10.049408912658691
chr1	206761984	206764032	-6.8086042404174805
chr1	206764032	206766080	-8.00710678100586
chr1	206843904	206845952	-7.7214531898498535
chr1	206860288	206862336	-9.566926956176758
chr1	238553088	238555136	-10.591178894042969
chr7	100392960	100395008	-6.6399431228637695
chr7	100460544	100462592	-8.497598648071289
chr7	100485120	100487168	-8.386711120605469
chr7	100577280	100579328	-12.267266273498535
chr7	100601856	100603904	-7.203254699707031
chr7	100642816	100644864	-11.576321601867676
chr7	100831232	100833280	-12.319523811340332
chr10	120504320	120506368	-7.725123405456543
chr10	120875008	120877056	-9.99516487121582
chr10	120879104	120881152	-9.11645221710205
chr10	120897536	120899584	-26.399200439453125
chr10	120934400	120936448	-8.086350440979004
chr10	120938496	120940544	-13.121380805969238
chr10	52387840	52389888	-13.88129997253418
chr10	52502528	52504576	-6.837318420410156
chr10	52523008	52525056	-15.179374694824219
chr10	52541440	52543488	-10.956884384155273
chr10	52570112	52572160	-6.850578308105469
chr10	52592640	52594688	-6.962107181549072
chr10	52625408	52627456	-14.16119384765625
chr10	52666368	52668416	-11.188413619995117
chr10	52682752	52684800	-10.969237327575684
chr10	52688896	52690944	-10.280503273010254
chr4	130635776	130637824	-7.32378625869751
chr4	130813952	130816000	-9.631753921508789
chr11	14284800	14286848	-19.021244049072266
chr11	14303232	14305280	-11.382810592651367
chr11	14307328	14309376	-23.608903884887695
chr11	14311424	14313472	-9.574676513671875
chr11	14331904	14333952	-11.9819974899292
chr11	14336000	14338048	-7.9963178634643555
chr11	14348288	14350336	-7.605123996734619
chr11	14350336	14352384	-8.130311012268066
chr11	14376960	14379008	-11.740734100341797
chr11	14379008	14381056	-8.222803115844727
chr11	14397440	14399488	-6.396738529205322
chr11	14401536	14403584	-13.237457275390625
chr11	14403584	14405632	-7.572242736816406
chr11	14405632	14407680	-6.596800804138184
chr11	14448640	14450688	-17.28616714477539
chr11	14450688	14452736	-7.054950714111328
chr11	14462976	14465024	-20.797754287719727
chr11	14471168	14473216	-13.271519660949707
chr11	14475264	14477312	-34.669212341308594
chr11	14487552	14489600	-13.4298095703125
chr11	14491648	14493696	-23.66750717163086
chr11	14493696	14495744	-11.039870262145996
chr11	14497792	14499840	-10.954488754272461
chr11	14501888	14503936	-7.781896114349365
chr8	135675904	135677952	-14.991106986999512
chr8	135677952	135680000	-9.876937866210938
chr8	135686144	135688192	-10.519898414611816
chr1	23484416	23486464	-9.280592918395996
chr1	23592960	23595008	-8.06919002532959
chr1	23777280	23779328	-9.610811233520508
chr1	23779328	23781376	-7.381492614746094
chr1	23797760	23799808	-6.964123725891113
chr1	23805952	23808000	-10.8872709274292
chr1	23926784	23928832	-8.55203628540039
chr1	23986176	23988224	-16.176660537719727
chr22	44666880	44668928	-10.595364570617676
chr22	44697600	44699648	-6.860337734222412
chr22	44703744	44705792	-14.245183944702148
chr22	45164544	45166592	-9.479089736938477
chr22	45193216	45195264	-15.132780075073242
chr22	45236224	45238272	-13.300325393676758
chr4	25198592	25200640	-6.3383402824401855
chr4	25202688	25204736	-7.217980861663818
chr4	25286656	25288704	-9.270600318908691
chr4	165304320	165306368	-7.13104772567749
chr1	159076352	159078400	-9.117389678955078
chr1	159092736	159094784	-15.344345092773438
chr4	17471488	17473536	-7.912261962890625
chr4	17539072	17541120	-14.43586254119873
chr4	17584128	17586176	-13.220918655395508
chr4	17805312	17807360	-8.944299697875977
chr4	18083840	18085888	-6.476301670074463
chr1	15378432	15380480	-15.78526496887207
chr1	15431680	15433728	-9.747695922851562
chr1	15558656	15560704	-13.905057907104492
