chrom	start	end	snRNA_Shap
chrX	124557312	124559360	15.126751899719238
chrX	125175808	125177856	10.618141174316406
chrX	125227008	125229056	11.923659324645996
chrX	125257728	125259776	10.609651565551758
chrX	125294592	125296640	22.74627113342285
chrX	9850880	9852928	12.007635116577148
chr11	41213952	41216000	13.281675338745117
chr1	41474048	41476096	9.665351867675781
chr1	41684992	41687040	11.7125825881958
chr1	41687040	41689088	16.2349853515625
chr1	41703424	41705472	11.532992362976074
chr1	41717760	41719808	12.552064895629883
chr1	41725952	41728000	13.083616256713867
chr1	41760768	41762816	10.608811378479004
chr1	42168320	42170368	15.496134757995605
chr5	139558912	139560960	9.623675346374512
chr5	139571200	139573248	11.122003555297852
chr5	139616256	139618304	11.726752281188965
chr5	139628544	139630592	11.761516571044922
chr5	139636736	139638784	14.152227401733398
chr5	139649024	139651072	13.054908752441406
chr5	139651072	139653120	12.913052558898926
chr5	139714560	139716608	11.469987869262695
chr5	139882496	139884544	10.579244613647461
chr5	140027904	140029952	14.910954475402832
chr4	38739968	38742016	19.41903305053711
chr4	38744064	38746112	16.79460334777832
chr11	19621888	19623936	12.366759300231934
chr11	19695616	19697664	10.398929595947266
chr11	19707904	19709952	13.312518119812012
chr12	26195968	26198016	12.732183456420898
chr12	26626048	26628096	11.255250930786133
chr12	26697728	26699776	10.902690887451172
chr12	26830848	26832896	12.046645164489746
chr12	26949632	26951680	17.78253746032715
chr4	64448512	64450560	17.785785675048828
chr18	74416128	74418176	9.98746109008789
chr18	74450944	74452992	13.755520820617676
chr18	75280384	75282432	10.47427749633789
chr15	49180672	49182720	9.786565780639648
chr15	49446912	49448960	10.619832992553711
chr1	95049728	95051776	10.440861701965332
chr1	95078400	95080448	9.98182201385498
chr1	95528960	95531008	11.184090614318848
chr1	95653888	95655936	21.194421768188477
chr1	95696896	95698944	16.78939437866211
chr1	95733760	95735808	12.243558883666992
chr21	20244480	20246528	10.347537994384766
chr9	31119360	31121408	9.928516387939453
chr15	85538816	85540864	10.345799446105957
chr15	85563392	85565440	11.972894668579102
chr15	85565440	85567488	10.55463981628418
chr15	85577728	85579776	11.31604290008545
chr15	85581824	85583872	10.73752212524414
chr15	85583872	85585920	13.307083129882812
chr15	85596160	85598208	11.033276557922363
chr15	85608448	85610496	11.70528507232666
chr15	85651456	85653504	10.913042068481445
chr15	85678080	85680128	16.91840362548828
chr15	85680128	85682176	10.359944343566895
chr15	85684224	85686272	14.403427124023438
chr15	85792768	85794816	10.46135139465332
chr15	85876736	85878784	12.8325834274292
chr15	85882880	85884928	10.636144638061523
chr15	85886976	85889024	18.03028106689453
chr15	86063104	86065152	9.659122467041016
chr15	86108160	86110208	12.601712226867676
chr15	86228992	86231040	10.359448432922363
chr15	86233088	86235136	15.093681335449219
chr12	29321216	29323264	12.682720184326172
chr10	101920768	101922816	15.374905586242676
chr10	101951488	101953536	16.185726165771484
chr10	101959680	101961728	10.38992691040039
chr10	101963776	101965824	13.914509773254395
chr10	101984256	101986304	11.875142097473145
chr10	101990400	101992448	10.953025817871094
chr10	102119424	102121472	14.094579696655273
chr10	102277120	102279168	11.264242172241211
chr1	206641152	206643200	10.535600662231445
chr1	206675968	206678016	9.906721115112305
chr1	206702592	206704640	12.064847946166992
chr1	206721024	206723072	12.72909927368164
chr1	206854144	206856192	11.73862075805664
chr1	206977024	206979072	9.61744213104248
chr1	207048704	207050752	15.370925903320312
chr1	207058944	207060992	9.694149017333984
chr1	207177728	207179776	12.925387382507324
chr1	207214592	207216640	10.783212661743164
chr1	207220736	207222784	10.729574203491211
chr1	207319040	207321088	12.409497261047363
chr1	207339520	207341568	9.807512283325195
chr1	238686208	238688256	10.238321304321289
chr7	100089856	100091904	10.05510139465332
chr7	100499456	100501504	11.932306289672852
chr7	100524032	100526080	12.346299171447754
chr7	100552704	100554752	10.14436149597168
chr7	100556800	100558848	10.689638137817383
chr7	100579328	100581376	11.389345169067383
chr7	100626432	100628480	15.575080871582031
chr7	100665344	100667392	11.831037521362305
chr10	120848384	120850432	12.867746353149414
chr10	120891392	120893440	14.756192207336426
chr10	120901632	120903680	10.050714492797852
chr10	120956928	120958976	14.187458992004395
chr10	120969216	120971264	14.77856159210205
chr10	121110528	121112576	11.510855674743652
chr10	121122816	121124864	13.02955150604248
chr10	121176064	121178112	13.947015762329102
chr10	121190400	121192448	18.027320861816406
chr10	53131264	53133312	11.626986503601074
chr10	53145600	53147648	11.00202751159668
chr10	53149696	53151744	15.356908798217773
chr10	53164032	53166080	11.893072128295898
chr10	53321728	53323776	15.906184196472168
chr11	14278656	14280704	11.767915725708008
chr11	14292992	14295040	12.674752235412598
chr11	14352384	14354432	12.205255508422852
chr11	14399488	14401536	10.646780014038086
chr11	14645248	14647296	11.197851181030273
chr8	136017920	136019968	18.63851547241211
chr8	136448000	136450048	14.089189529418945
chr1	23607296	23609344	12.289837837219238
chr1	23615488	23617536	14.983617782592773
chr1	23707648	23709696	9.6065673828125
chr1	23713792	23715840	10.91225528717041
chr1	23719936	23721984	11.308366775512695
chr1	23721984	23724032	11.807296752929688
chr1	23728128	23730176	10.448893547058105
chr1	23740416	23742464	10.339678764343262
chr1	23754752	23756800	11.201864242553711
chr1	23764992	23767040	11.754022598266602
chr1	23894016	23896064	10.313253402709961
chr1	23973888	23975936	9.871495246887207
chr1	23984128	23986176	11.335177421569824
chr1	23990272	23992320	12.816261291503906
chr1	23998464	24000512	13.150982856750488
chr1	24000512	24002560	13.036031723022461
chr1	24322048	24324096	13.410794258117676
chr1	24399872	24401920	13.31579303741455
chr1	24408064	24410112	12.56661605834961
chr1	24412160	24414208	10.503314971923828
chr1	24416256	24418304	11.22960090637207
chr4	25448448	25450496	12.135787963867188
chr4	164773888	164775936	10.732275009155273
chr1	158828544	158830592	12.406281471252441
chr1	158910464	158912512	12.054316520690918
chr1	158920704	158922752	9.753133773803711
chr4	17453056	17455104	10.419792175292969
chr4	17459200	17461248	10.722257614135742
chr4	17483776	17485824	16.197406768798828
chr4	17508352	17510400	10.85966968536377
chr4	17541120	17543168	11.609474182128906
chr4	17575936	17577984	12.083154678344727
chr1	15020032	15022080	9.655510902404785
chr1	15024128	15026176	18.686981201171875
chr1	15036416	15038464	10.284489631652832
chr1	15069184	15071232	22.202678680419922
chr1	15085568	15087616	12.009756088256836
chr1	15347712	15349760	10.88979434967041
chr1	15364096	15366144	14.419233322143555
chr1	15386624	15388672	10.348395347595215
chr1	15542272	15544320	9.822540283203125
chr1	15554560	15556608	10.57824993133545
chr1	15560704	15562752	15.444887161254883
chr1	15583232	15585280	16.603317260742188
chr1	15677440	15679488	12.50997543334961
chrX	118048768	118050816	34.89912414550781
chr4	134615040	134617088	12.644567489624023
chr7	8316928	8318976	16.819398880004883
chr7	8685568	8687616	10.780024528503418
chr7	8757248	8759296	10.122133255004883
chr7	8761344	8763392	19.864057540893555
chr7	8816640	8818688	10.366153717041016
chrX	110288896	110290944	11.445289611816406
chrX	111020032	111022080	9.958394050598145
chr2	198483968	198486016	16.575618743896484
chrX	138424320	138426368	13.292875289916992
chrX	138489856	138491904	16.490055084228516
chr7	113549312	113551360	14.395896911621094
chr7	113588224	113590272	11.269418716430664
chr7	113627136	113629184	19.033164978027344
chr7	113631232	113633280	10.29585075378418
chr7	77797376	77799424	13.482490539550781
chr7	77985792	77987840	12.09153938293457
chr7	78014464	78016512	12.119399070739746
chr7	78659584	78661632	13.006396293640137
chr7	78680064	78682112	11.072400093078613
chr17	28698624	28700672	13.510763168334961
chr17	28790784	28792832	13.373023986816406
chr17	28794880	28796928	12.387134552001953
chr17	28798976	28801024	15.980206489562988
chr17	28803072	28805120	11.779706001281738
chr17	28823552	28825600	11.068181991577148
chr17	28839936	28841984	13.731471061706543
chr17	28856320	28858368	10.168374061584473
chr17	28858368	28860416	11.100628852844238
chr17	28891136	28893184	9.98267650604248
chr17	29227008	29229056	9.766278266906738
chr1	179728384	179730432	15.308123588562012
chr1	179730432	179732480	15.711941719055176
chrX	42465280	42467328	9.624848365783691
