chrom	start	end	lncRNA_Shap
chrX	124557312	124559360	46.0112190246582
chrX	124653568	124655616	41.540122985839844
chrX	124702720	124704768	44.262996673583984
chrX	125052928	125054976	42.03580856323242
chrX	125130752	125132800	58.5318489074707
chrX	125286400	125288448	47.34062957763672
chr11	41199616	41201664	25.940715789794922
chr11	41254912	41256960	23.048908233642578
chr11	41271296	41273344	27.148174285888672
chr11	41361408	41363456	44.75254821777344
chr11	41383936	41385984	26.031641006469727
chr11	41428992	41431040	37.316307067871094
chr11	41457664	41459712	27.006305694580078
chr11	41588736	41590784	26.342937469482422
chr11	41609216	41611264	52.79839324951172
chr11	41715712	41717760	26.881420135498047
chr11	41781248	41783296	27.79416847229004
chr1	41535488	41537536	23.09545135498047
chr1	41539584	41541632	23.843700408935547
chr1	42172416	42174464	32.541534423828125
chr1	42174464	42176512	34.37532424926758
chr2	21778432	21780480	45.12526321411133
chr2	21831680	21833728	39.79420852661133
chr2	21835776	21837824	60.985633850097656
chr2	21938176	21940224	24.273468017578125
chr2	22280192	22282240	35.35226821899414
chr2	22355968	22358016	32.82846450805664
chr2	22382592	22384640	31.75150489807129
chr5	140025856	140027904	24.385982513427734
chr4	25448448	25450496	24.711854934692383
chr4	38666240	38668288	31.68389320373535
chr4	38713344	38715392	27.77297592163086
chr12	26640384	26642432	30.105899810791016
chr12	26787840	26789888	26.509113311767578
chr4	63965184	63967232	25.411523818969727
chr4	64006144	64008192	26.75851058959961
chr4	64165888	64167936	30.458078384399414
chr4	64339968	64342016	26.6639461517334
chr4	64354304	64356352	28.760940551757812
chr4	64389120	64391168	31.453338623046875
chr4	64428032	64430080	29.306949615478516
chr4	64538624	64540672	32.11444091796875
chr18	74655744	74657792	37.834373474121094
chr15	49168384	49170432	32.595062255859375
chr15	49496064	49498112	30.4909610748291
chr1	95285248	95287296	26.917339324951172
chr1	95428608	95430656	23.346736907958984
chr1	95459328	95461376	57.17415237426758
chr1	95653888	95655936	45.47301483154297
chr1	95664128	95666176	28.586406707763672
chr1	95696896	95698944	49.261878967285156
chr21	19431424	19433472	32.04228591918945
chr21	19435520	19437568	30.293781280517578
chr21	19466240	19468288	33.567867279052734
chr21	19511296	19513344	24.739540100097656
chr21	19605504	19607552	30.393341064453125
chr21	19982336	19984384	25.45241928100586
chr21	20037632	20039680	27.282669067382812
chr21	20180992	20183040	28.755605697631836
chr21	20195328	20197376	69.67121887207031
chr9	30347264	30349312	39.4632453918457
chr9	30445568	30447616	34.33565139770508
chr9	30816256	30818304	83.75760650634766
chr9	30916608	30918656	30.375667572021484
chr9	31023104	31025152	46.25117492675781
chr9	31029248	31031296	38.86284637451172
chr9	31082496	31084544	36.91820526123047
chr9	31098880	31100928	23.562538146972656
chr9	31115264	31117312	35.68921661376953
chr15	85800960	85803008	32.06425476074219
chr15	85862400	85864448	27.701791763305664
chr15	85886976	85889024	31.561504364013672
chr15	86013952	86016000	41.451255798339844
chr12	28962816	28964864	57.00187301635742
chr12	29175808	29177856	33.4951057434082
chr12	29376512	29378560	25.761974334716797
chr10	102137856	102139904	29.070642471313477
chr10	102371328	102373376	27.07306480407715
chr4	95072256	95074304	25.47342300415039
chr4	95074304	95076352	39.113765716552734
chr4	95096832	95098880	24.340972900390625
chr4	95492096	95494144	23.341623306274414
chr4	95528960	95531008	31.659988403320312
chr4	95551488	95553536	43.747093200683594
chr4	95649792	95651840	41.35460662841797
chr4	95797248	95799296	29.669246673583984
chr1	207024128	207026176	24.391803741455078
chr1	237862912	237864960	25.01552963256836
chr7	100802560	100804608	32.28392791748047
chr7	100804608	100806656	36.068931579589844
chr10	120848384	120850432	28.866540908813477
chr10	121079808	121081856	25.33527183532715
chr10	121094144	121096192	40.05337142944336
chr10	121122816	121124864	39.18222427368164
chr10	121176064	121178112	53.74177169799805
chr10	52563968	52566016	23.37363052368164
chr10	52652032	52654080	41.36156463623047
chr10	52725760	52727808	51.91082000732422
chr10	53180416	53182464	62.73997116088867
chr10	53284864	53286912	27.16141128540039
chr13	38914048	38916096	25.864852905273438
chr13	39012352	39014400	33.78396224975586
chr13	39323648	39325696	23.29655647277832
chr13	39350272	39352320	26.40390396118164
chr11	14245888	14247936	37.827537536621094
chr8	135825408	135827456	36.15279006958008
chr8	136015872	136017920	34.593772888183594
chr8	136017920	136019968	52.312889099121094
chr8	136144896	136146944	23.89459228515625
chr8	136327168	136329216	27.589679718017578
chr8	136361984	136364032	28.987070083618164
chr8	136368128	136370176	25.48420524597168
