chrom	start	end	snoRNA_Shap
chrX	124653568	124655616	49.408668518066406
chrX	124674048	124676096	57.57487869262695
chrX	124821504	124823552	49.15398406982422
chrX	124958720	124960768	25.512182235717773
chrX	124991488	124993536	41.0070915222168
chrX	125079552	125081600	21.83807373046875
chrX	125097984	125100032	27.4484806060791
chrX	125104128	125106176	21.237123489379883
chrX	125198336	125200384	21.361793518066406
chrX	125261824	125263872	18.610797882080078
chrX	125270016	125272064	17.5596981048584
chrX	125288448	125290496	18.36021614074707
chrX	9715712	9717760	19.411134719848633
chr11	41158656	41160704	18.93627166748047
chr11	41213952	41216000	16.469879150390625
chr11	41216000	41218048	20.929534912109375
chr11	41521152	41523200	33.957130432128906
chr1	41539584	41541632	20.020763397216797
chr1	42174464	42176512	27.75333595275879
chr2	21766144	21768192	32.003578186035156
chr2	21835776	21837824	29.529327392578125
chr2	22202368	22204416	27.760608673095703
chr2	22333440	22335488	65.1053237915039
chr2	22382592	22384640	20.529706954956055
chr5	139640832	139642880	16.686479568481445
chr5	139694080	139696128	17.365093231201172
chr5	139712512	139714560	16.673490524291992
chr11	19070976	19073024	16.04891586303711
chr12	26699776	26701824	25.6419620513916
chr12	26937344	26939392	51.81683349609375
chr4	63756288	63758336	26.305917739868164
chr4	63877120	63879168	21.400297164916992
chr4	63961088	63963136	17.644561767578125
chr4	63973376	63975424	19.14195442199707
chr4	64249856	64251904	22.225637435913086
chr4	64299008	64301056	23.402694702148438
chr4	64389120	64391168	18.664186477661133
chr4	64471040	64473088	19.695133209228516
chr4	64491520	64493568	30.207275390625
chr18	74551296	74553344	26.421417236328125
chr18	74655744	74657792	28.339956283569336
chr18	74657792	74659840	17.18536376953125
chr15	49420288	49422336	17.34371566772461
chr1	95074304	95076352	24.554759979248047
chr1	95180800	95182848	16.342369079589844
chr1	95285248	95287296	24.169437408447266
chr1	95287296	95289344	26.359643936157227
chr1	95289344	95291392	17.89040756225586
chr1	95528960	95531008	25.015708923339844
chr1	95537152	95539200	26.020193099975586
chr1	95610880	95612928	20.925365447998047
chr1	95655936	95657984	30.13320541381836
chr1	95733760	95735808	25.473913192749023
chr21	19466240	19468288	23.780292510986328
chr21	19601408	19603456	16.87363052368164
chr21	19664896	19666944	19.996837615966797
chr21	19779584	19781632	21.011882781982422
chr21	19879936	19881984	54.344337463378906
chr21	19994624	19996672	20.755695343017578
chr21	20004864	20006912	27.591665267944336
chr21	20060160	20062208	33.239566802978516
chr21	20064256	20066304	22.42328453063965
chr21	20068352	20070400	40.21175003051758
chr21	20146176	20148224	25.654932022094727
chr21	20160512	20162560	22.760486602783203
chr21	20203520	20205568	24.47258186340332
chr21	20250624	20252672	23.405433654785156
chr9	30345216	30347264	20.267974853515625
chr9	30406656	30408704	18.793560028076172
chr9	30447616	30449664	30.43686866760254
chr9	30480384	30482432	32.859901428222656
chr9	30842880	30844928	47.38837814331055
chr9	30939136	30941184	23.81020164489746
chr9	30949376	30951424	31.325336456298828
chr9	30984192	30986240	16.936330795288086
chr9	31023104	31025152	24.2938232421875
chr9	31029248	31031296	34.3243522644043
chr9	31031296	31033344	24.817371368408203
chr9	31143936	31145984	32.740745544433594
chr9	31188992	31191040	35.645530700683594
chr15	85567488	85569536	16.578954696655273
chr15	85678080	85680128	19.274295806884766
chr15	85745664	85747712	18.049612045288086
chr15	85747712	85749760	16.380069732666016
chr15	85839872	85841920	37.660560607910156
chr15	85854208	85856256	15.922426223754883
chr15	85956608	85958656	22.254405975341797
chr15	86056960	86059008	25.284690856933594
chr15	86061056	86063104	16.120922088623047
chr15	86165504	86167552	18.27584457397461
chr15	86218752	86220800	21.948762893676758
chr15	86224896	86226944	33.97336196899414
chr12	29145088	29147136	33.31972885131836
chr12	29190144	29192192	27.689937591552734
chr12	29378560	29380608	23.01548194885254
chr10	102066176	102068224	21.580833435058594
chr10	102131712	102133760	26.806713104248047
chr10	102203392	102205440	15.84038257598877
chr4	95182848	95184896	32.01233673095703
chr4	95250432	95252480	21.60694694519043
chr4	95543296	95545344	37.398067474365234
chr4	95569920	95571968	33.70136260986328
chr4	95596544	95598592	37.230953216552734
chr4	95696896	95698944	24.464557647705078
chr4	95891456	95893504	31.681396484375
chr1	207321088	207323136	24.94843864440918
chr7	100100096	100102144	16.05306625366211
chr7	100423680	100425728	18.646799087524414
chr7	100476928	100478976	19.619457244873047
chr7	100481024	100483072	16.437349319458008
chr7	100569088	100571136	19.055639266967773
chr7	100573184	100575232	15.822033882141113
chr7	100626432	100628480	20.87457847595215
chr7	100687872	100689920	18.005598068237305
chr10	120842240	120844288	21.234464645385742
chr10	120846336	120848384	22.704849243164062
chr10	120850432	120852480	50.13352584838867
chr10	120856576	120858624	16.76541519165039
chr10	120899584	120901632	24.29238510131836
chr10	120907776	120909824	17.442533493041992
chr10	120938496	120940544	18.489723205566406
chr10	121079808	121081856	30.915990829467773
chr10	121184256	121186304	40.17192077636719
chr10	52652032	52654080	16.148914337158203
chr10	52776960	52779008	23.299053192138672
chr10	53284864	53286912	28.735271453857422
chr13	38576128	38578176	39.86125183105469
chr13	38914048	38916096	23.76403045654297
chr13	38977536	38979584	17.60076141357422
chr13	39004160	39006208	18.75639533996582
chr13	39006208	39008256	17.25678062438965
chr13	39010304	39012352	19.960599899291992
chr13	39012352	39014400	32.67196273803711
chr13	39016448	39018496	18.668378829956055
chr13	39038976	39041024	18.002573013305664
chr11	14247936	14249984	21.878520965576172
chr11	14497792	14499840	20.68172836303711
chr11	14536704	14538752	21.450220108032227
chr8	135827456	135829504	24.72174835205078
chr8	136157184	136159232	17.4298038482666
chr8	136394752	136396800	33.928775787353516
chr8	136448000	136450048	26.95672607421875
chr1	23617536	23619584	16.86971092224121
chr1	23742464	23744512	19.362085342407227
chr1	23756800	23758848	16.22169303894043
chr1	23758848	23760896	25.995342254638672
chr1	23799808	23801856	19.212339401245117
