Geneinfo	sum_inter_counts	mean_inter_counts	bin_counts	bin_ratio
ENSG00000187634.13|SAMD11|protein_coding|chr1:[923922,944575)/+	1	6e-05	1	5.651633322030067e-05
ENSG00000131591.18|C1orf159|protein_coding|chr1:[1081817,1116361)/-	12	0.00068	9	0.000508646998982706
ENSG00000078808.20|SDF4|protein_coding|chr1:[1216930,1232031)/-	20	0.00113	15	0.00084774499830451
ENSG00000131584.19|ACAP3|protein_coding|chr1:[1292389,1309609)/-	8	0.00045	5	0.00028258166610150334
ENSG00000127054.22|INTS11|protein_coding|chr1:[1311584,1324687)/-	3	0.00017	3	0.00016954899966090201
ENSG00000107404.21|DVL1|protein_coding|chr1:[1335275,1349418)/-	6	0.00034	5	0.00028258166610150334
ENSG00000162576.17|MXRA8|protein_coding|chr1:[1352688,1361777)/-	46	0.0026	30	0.00169548999660902
ENSG00000221978.13|CCNL2|protein_coding|chr1:[1385710,1399335)/-	41	0.00232	27	0.001525940996948118
ENSG00000242485.6|MRPL20|protein_coding|chr1:[1401908,1407293)/-	5	0.00028	4	0.00022606533288120268
ENSG00000008130.15|NADK|protein_coding|chr1:[1751231,1780457)/-	6	0.00034	3	0.00016954899966090201
ENSG00000078369.19|GNB1|protein_coding|chr1:[1785284,1892292)/-	193	0.01091	121	0.006838476319656381
ENSG00000157933.11|SKI|protein_coding|chr1:[2227387,2310213)/+	109	0.00616	66	0.003730077992539844
ENSG00000116151.14|MORN1|protein_coding|chr1:[2321252,2391707)/-	6	0.00034	4	0.00022606533288120268
ENSG00000157916.20|RER1|protein_coding|chr1:[2391774,2405442)/+	46	0.0026	29	0.0016389736633887193
ENSG00000157911.11|PEX10|protein_coding|chr1:[2403963,2413797)/-	6	0.00034	4	0.00022606533288120268
ENSG00000157881.16|PANK4|protein_coding|chr1:[2508536,2526597)/-	8	0.00045	6	0.00033909799932180403
ENSG00000157870.17|PRXL2B|protein_coding|chr1:[2586490,2591469)/+	3	0.00017	3	0.00016954899966090201
ENSG00000162591.17|MEGF6|protein_coding|chr1:[3487950,3611508)/-	37	0.00209	20	0.0011303266644060134
ENSG00000158109.15|TPRG1L|protein_coding|chr1:[3625014,3630127)/+	13	0.00073	9	0.000508646998982706
ENSG00000116198.14|CEP104|protein_coding|chr1:[3812085,3857396)/-	23	0.0013	14	0.0007912286650842093
ENSG00000169598.17|DFFB|protein_coding|chr1:[3857266,3885429)/+	7	0.0004	4	0.00022606533288120268
ENSG00000198912.12|C1orf174|protein_coding|chr1:[3889124,3900293)/-	3	0.00017	2	0.00011303266644060134
ENSG00000131697.18|NPHP4|protein_coding|chr1:[5862810,5992473)/-	13	0.00073	7	0.00039561433254210466
ENSG00000069424.16|KCNAB2|protein_coding|chr1:[5990926,6101193)/+	7	0.0004	5	0.00028258166610150334
ENSG00000285629.1|ENSG00000285629|protein_coding|chr1:[6159429,6197757)/-	18	0.00102	14	0.0007912286650842093
ENSG00000116251.11|RPL22|protein_coding|chr1:[6185019,6209389)/-	20	0.00113	15	0.00084774499830451
ENSG00000158286.13|RNF207|protein_coding|chr1:[6205474,6221299)/+	5	0.00028	3	0.00016954899966090201
ENSG00000116237.16|ICMT|protein_coding|chr1:[6221192,6235972)/-	37	0.00209	25	0.0014129083305075166
ENSG00000097021.21|ACOT7|protein_coding|chr1:[6264268,6393767)/-	14	0.00079	6	0.00033909799932180403
ENSG00000215788.11|TNFRSF25|protein_coding|chr1:[6460785,6466175)/-	1	6e-05	1	5.651633322030067e-05
ENSG00000162408.11|NOL9|protein_coding|chr1:[6521346,6554513)/-	39	0.0022	24	0.0013563919972872161
ENSG00000162413.17|KLHL21|protein_coding|chr1:[6590723,6614607)/-	14	0.00079	11	0.0006216796654233074
ENSG00000007923.17|DNAJC11|protein_coding|chr1:[6634167,6701924)/-	35	0.00198	24	0.0013563919972872161
ENSG00000171735.20|CAMTA1|protein_coding|chr1:[6785453,7769706)/+	82	0.00463	51	0.002882332994235334
ENSG00000049245.13|VAMP3|protein_coding|chr1:[7771295,7781432)/+	43	0.00243	26	0.0014694246637278173
ENSG00000049246.15|PER3|protein_coding|chr1:[7784290,7845177)/+	24	0.00136	15	0.00084774499830451
ENSG00000116288.13|PARK7|protein_coding|chr1:[7954290,7985505)/+	25	0.00141	19	0.0010738103311857127
