Geneinfo	sum_inter_counts	mean_inter_counts	bin_counts	bin_ratio
ENSG00000225972.1|MTND1P23|unprocessed_pseudogene|chr1:[629061,629433)/+	19	0.0001	15	7.771416729269746e-05
ENSG00000230021.10|ENSG00000230021|transcribed_processed_pseudogene|chr1:[586070,827796)/-	108	0.00056	74	0.0003833898919773075
ENSG00000237491.10|LINC01409|lncRNA|chr1:[778746,810065)/+	27	0.00014	19	9.843794523741679e-05
ENSG00000290784.1|ENSG00000290784|lncRNA|chr1:[800878,817712)/-	9	5e-05	9	4.662850037561848e-05
ENSG00000177757.2|FAM87B|lncRNA|chr1:[817370,819837)/+	2	1e-05	1	5.180944486179831e-06
ENSG00000225880.6|LINC00115|lncRNA|chr1:[824227,827539)/-	10	5e-05	7	3.626661140325881e-05
ENSG00000228794.12|LINC01128|lncRNA|chr1:[825137,859446)/+	56	0.00029	34	0.00017615211253011425
ENSG00000272438.1|ENSG00000272438|lncRNA|chr1:[904833,915976)/+	26	0.00013	16	8.289511177887729e-05
ENSG00000230699.2|ENSG00000230699|lncRNA|chr1:[911434,914948)/+	13	7e-05	8	4.1447555889438645e-05
.	148599	0.76988	14441	0.07481801932492294
ENSG00000223764.2|LINC02593|lncRNA|chr1:[916864,921016)/-	18	9e-05	13	6.735227832033779e-05
ENSG00000188976.11|NOC2L|protein_coding|chr1:[944202,959309)/-	104	0.00054	73	0.00037820894749112765
ENSG00000187961.15|KLHL17|protein_coding|chr1:[960583,965719)/+	35	0.00018	22	0.00011398077869595627
ENSG00000272512.1|ENSG00000272512|lncRNA|chr1:[995965,998051)/-	22	0.00011	17	8.807605626505712e-05
ENSG00000188290.11|HES4|protein_coding|chr1:[998961,1000172)/-	22	0.00011	14	7.253322280651763e-05
ENSG00000187608.10|ISG15|protein_coding|chr1:[1001137,1014540)/+	63	0.00033	45	0.00023314250187809237
ENSG00000224969.1|ENSG00000224969|lncRNA|chr1:[1011996,1013193)/-	3	2e-05	2	1.0361888972359661e-05
ENSG00000188157.15|AGRN|protein_coding|chr1:[1020119,1056118)/+	695	0.0036	453	0.002346967852239463
ENSG00000242590.1|ENSG00000242590|lncRNA|chr1:[1055032,1056116)/+	175	0.00091	111	0.0005750848379659612
ENSG00000131591.18|C1orf159|protein_coding|chr1:[1081817,1116361)/-	242	0.00125	161	0.0008341320622749527
ENSG00000078808.20|SDF4|protein_coding|chr1:[1216930,1232031)/-	464	0.0024	319	0.0016527212910913659
ENSG00000176022.7|B3GALT6|protein_coding|chr1:[1232236,1235041)/+	86	0.00045	59	0.00030567572468461
ENSG00000260179.1|ENSG00000260179|lncRNA|chr1:[1249776,1251334)/-	15	8e-05	9	4.662850037561848e-05
ENSG00000160087.21|UBE2J2|protein_coding|chr1:[1253908,1273864)/-	316	0.00164	205	0.0010620936196668652
ENSG00000162572.21|SCNN1D|protein_coding|chr1:[1280435,1292029)/+	23	0.00012	14	7.253322280651763e-05
ENSG00000131584.19|ACAP3|protein_coding|chr1:[1292389,1309609)/-	185	0.00096	129	0.0006683418387171982
ENSG00000127054.22|INTS11|protein_coding|chr1:[1311584,1324687)/-	164	0.00085	114	0.0005906276714245007
ENSG00000240731.1|ENSG00000240731|lncRNA|chr1:[1317580,1318689)/-	63	0.00033	41	0.00021241872393337304
ENSG00000107404.21|DVL1|protein_coding|chr1:[1335275,1349418)/-	151	0.00078	100	0.000518094448617983
ENSG00000162576.17|MXRA8|protein_coding|chr1:[1352688,1361777)/-	753	0.0039	494	0.0025593865761728363
ENSG00000175756.14|AURKAIP1|protein_coding|chr1:[1373729,1375207)/-	65	0.00034	41	0.00021241872393337304
ENSG00000221978.13|CCNL2|protein_coding|chr1:[1385710,1399335)/-	947	0.00491	640	0.0033158044711550914
ENSG00000224870.9|MRPL20-AS1|lncRNA|chr1:[1399514,1402046)/+	30	0.00016	18	9.325700075123695e-05
ENSG00000242485.6|MRPL20|protein_coding|chr1:[1401908,1407293)/-	208	0.00108	133	0.0006890656166619175
ENSG00000225285.1|LINC01770|lncRNA|chr1:[1430538,1434573)/-	1	1e-05	1	5.180944486179831e-06
ENSG00000160072.20|ATAD3B|protein_coding|chr1:[1471764,1497848)/+	136	0.0007	85	0.0004403802813252856
ENSG00000197785.14|ATAD3A|protein_coding|chr1:[1512161,1534685)/+	62	0.00032	42	0.00021759966841955288
ENSG00000205090.9|TMEM240|protein_coding|chr1:[1534777,1540624)/-	13	7e-05	8	4.1447555889438645e-05
ENSG00000160075.12|SSU72|protein_coding|chr1:[1541672,1574863)/-	549	0.00284	354	0.00183405434810766
ENSG00000272106.1|ENSG00000272106|lncRNA|chr1:[1613757,1615795)/-	9	5e-05	7	3.626661140325881e-05
ENSG00000197530.13|MIB2|protein_coding|chr1:[1615453,1630605)/+	135	0.0007	90	0.00046628500375618475
ENSG00000248333.9|CDK11B|protein_coding|chr1:[1635224,1659012)/-	29	0.00015	22	0.00011398077869595627
ENSG00000189339.12|SLC35E2B|protein_coding|chr1:[1659528,1692795)/-	252	0.00131	166	0.0008600367847058518
ENSG00000008128.23|CDK11A|protein_coding|chr1:[1702378,1724357)/-	42	0.00022	29	0.00015024739009921508
ENSG00000268575.1|ENSG00000268575|lncRNA|chr1:[1702735,1737688)/-	174	0.0009	120	0.0006217133383415797
ENSG00000290854.1|ENSG00000290854|lncRNA|chr1:[1724837,1745992)/-	141	0.00073	96	0.0004973706706732637
ENSG00000227775.3|ENSG00000227775|transcribed_processed_pseudogene|chr1:[1724511,1737251)/+	1	1e-05	1	5.180944486179831e-06
ENSG00000008130.15|NADK|protein_coding|chr1:[1751231,1780457)/-	213	0.0011	135	0.0006994275056342771
ENSG00000078369.19|GNB1|protein_coding|chr1:[1785284,1892292)/-	3887	0.02014	2375	0.012304743154677097
ENSG00000169885.10|CALML6|protein_coding|chr1:[1915107,1917296)/+	4	2e-05	2	1.0361888972359661e-05
ENSG00000067606.17|PRKCZ|protein_coding|chr1:[2050410,2185395)/+	11	6e-05	8	4.1447555889438645e-05
ENSG00000182873.5|PRKCZ-AS1|lncRNA|chr1:[2181793,2184389)/-	10	5e-05	7	3.626661140325881e-05
ENSG00000162585.17|FAAP20|protein_coding|chr1:[2184460,2212720)/-	147	0.00076	97	0.0005025516151594435
ENSG00000234396.3|ENSG00000234396|lncRNA|chr1:[2212522,2220738)/+	32	0.00017	18	9.325700075123695e-05
ENSG00000157933.11|SKI|protein_coding|chr1:[2227387,2310213)/+	2147	0.01112	1397	0.007237779447193223
ENSG00000287356.1|ENSG00000287356|lncRNA|chr1:[2315039,2323085)/+	3	2e-05	2	1.0361888972359661e-05
ENSG00000116151.14|MORN1|protein_coding|chr1:[2321252,2391707)/-	190	0.00098	130	0.000673522783203378
ENSG00000272420.1|ENSG00000272420|lncRNA|chr1:[2363060,2363628)/-	4	2e-05	3	1.554283345853949e-05
ENSG00000157916.20|RER1|protein_coding|chr1:[2391774,2405442)/+	788	0.00408	526	0.002725176799730591
ENSG00000157911.11|PEX10|protein_coding|chr1:[2403963,2413797)/-	90	0.00047	55	0.00028495194673989067
ENSG00000157881.16|PANK4|protein_coding|chr1:[2508536,2526597)/-	75	0.00039	56	0.0002901328912260705
ENSG00000272449.3|ENSG00000272449|lncRNA|chr1:[2530063,2547471)/+	23	0.00012	15	7.771416729269746e-05
ENSG00000238164.6|TNFRSF14-AS1|lncRNA|chr1:[2549919,2557031)/-	1	1e-05	1	5.180944486179831e-06
ENSG00000157873.18|TNFRSF14|protein_coding|chr1:[2555638,2565382)/+	34	0.00018	24	0.00012434266766831592
ENSG00000157870.17|PRXL2B|protein_coding|chr1:[2586490,2591469)/+	58	0.0003	36	0.0001865140015024739
ENSG00000215912.13|TTC34|protein_coding|chr1:[2636985,2801693)/-	20	0.0001	15	7.771416729269746e-05
ENSG00000142611.17|PRDM16|protein_coding|chr1:[3069167,3438621)/+	12	6e-05	6	3.108566691707898e-05
ENSG00000287828.1|ENSG00000287828|lncRNA|chr1:[3313051,3323149)/-	5	3e-05	2	1.0361888972359661e-05
ENSG00000162591.17|MEGF6|protein_coding|chr1:[3487950,3611508)/-	630	0.00326	423	0.002191539517654068
ENSG00000158109.15|TPRG1L|protein_coding|chr1:[3625014,3630127)/+	267	0.00138	183	0.000948112840970909
ENSG00000116213.16|WRAP73|protein_coding|chr1:[3630766,3652761)/-	80	0.00041	54	0.00027977100225371084
ENSG00000078900.15|TP73|protein_coding|chr1:[3652515,3736201)/+	4	2e-05	3	1.554283345853949e-05
ENSG00000227372.12|TP73-AS1|transcribed_unitary_pseudogene|chr1:[3735510,3747373)/-	27	0.00014	17	8.807605626505712e-05
ENSG00000162592.10|CCDC27|protein_coding|chr1:[3746459,3771645)/+	4	2e-05	3	1.554283345853949e-05
ENSG00000235169.11|SMIM1|protein_coding|chr1:[3772748,3775982)/+	1	1e-05	1	5.180944486179831e-06
ENSG00000130764.10|LRRC47|protein_coding|chr1:[3778558,3796498)/-	223	0.00116	157	0.0008134082843302334
ENSG00000116198.14|CEP104|protein_coding|chr1:[3812085,3857396)/-	458	0.00237	293	0.0015180167344506904
ENSG00000169598.17|DFFB|protein_coding|chr1:[3857266,3885429)/+	169	0.00088	108	0.0005595420045074217
ENSG00000198912.12|C1orf174|protein_coding|chr1:[3889124,3900293)/-	141	0.00073	92	0.0004766468927285444
ENSG00000236423.8|LINC01134|lncRNA|chr1:[3900346,3917225)/+	28	0.00015	20	0.0001036188897235966
ENSG00000284668.2|LINC02780|lncRNA|chr1:[3976132,4012704)/+	3	2e-05	3	1.554283345853949e-05
ENSG00000284739.1|ENSG00000284739|lncRNA|chr1:[4963953,4973298)/-	2	1e-05	1	5.180944486179831e-06
ENSG00000289893.1|ENSG00000289893|lncRNA|chr1:[5733357,5771453)/-	3	2e-05	2	1.0361888972359661e-05
ENSG00000131697.18|NPHP4|protein_coding|chr1:[5862810,5992473)/-	290	0.0015	190	0.0009843794523741677
ENSG00000069424.16|KCNAB2|protein_coding|chr1:[5990926,6101193)/+	186	0.00096	126	0.0006527990052586587
ENSG00000285629.1|ENSG00000285629|protein_coding|chr1:[6159429,6197757)/-	461	0.00239	311	0.0016112737352019272
ENSG00000116251.11|RPL22|protein_coding|chr1:[6185019,6209389)/-	514	0.00266	347	0.0017977877367044012
ENSG00000158286.13|RNF207|protein_coding|chr1:[6205474,6221299)/+	129	0.00067	93	0.00048182783721472424
ENSG00000116237.16|ICMT|protein_coding|chr1:[6221192,6235972)/-	708	0.00367	458	0.0023728725746703623
ENSG00000158292.7|GPR153|protein_coding|chr1:[6247352,6261098)/-	69	0.00036	49	0.0002538662798228117
ENSG00000097021.21|ACOT7|protein_coding|chr1:[6264268,6393767)/-	194	0.00101	132	0.0006838846721757377
ENSG00000187017.18|ESPN|protein_coding|chr1:[6424775,6461367)/+	3	2e-05	3	1.554283345853949e-05
ENSG00000215788.11|TNFRSF25|protein_coding|chr1:[6460785,6466175)/-	11	6e-05	9	4.662850037561848e-05
ENSG00000171680.23|PLEKHG5|protein_coding|chr1:[6467121,6520074)/-	74	0.00038	40	0.0002072377794471932
ENSG00000162408.11|NOL9|protein_coding|chr1:[6521346,6554513)/-	609	0.00316	397	0.0020568349610133926
ENSG00000204859.13|ZBTB48|protein_coding|chr1:[6579993,6589280)/+	106	0.00055	62	0.0003212185581431495
ENSG00000162413.17|KLHL21|protein_coding|chr1:[6590723,6614607)/-	457	0.00237	308	0.001595730901743388
ENSG00000116273.6|PHF13|protein_coding|chr1:[6613730,6624030)/+	133	0.00069	84	0.00043519933683910575
ENSG00000041988.16|THAP3|protein_coding|chr1:[6624867,6635586)/+	59	0.00031	37	0.00019169494598865374
ENSG00000007923.17|DNAJC11|protein_coding|chr1:[6634167,6701924)/-	701	0.00363	459	0.002378053519156542
ENSG00000171735.20|CAMTA1|protein_coding|chr1:[6785453,7769706)/+	1808	0.00937	1219	0.006315571328653214
ENSG00000049245.13|VAMP3|protein_coding|chr1:[7771295,7781432)/+	894	0.00463	603	0.003124109525166438
ENSG00000049246.15|PER3|protein_coding|chr1:[7784290,7845177)/+	455	0.00236	319	0.0016527212910913659
ENSG00000116288.13|PARK7|protein_coding|chr1:[7954290,7985505)/+	559	0.0029	385	0.0019946636271792346
ENSG00000116285.13|ERRFI1|protein_coding|chr1:[8004403,8026309)/-	433	0.00224	292	0.0015128357899645106
ENSG00000238290.1|ERRFI1-DT|lncRNA|chr1:[8026737,8122702)/+	27	0.00014	19	9.843794523741679e-05
ENSG00000162426.16|SLC45A1|protein_coding|chr1:[8318113,8344167)/+	19	0.0001	15	7.771416729269746e-05
ENSG00000142599.20|RERE|protein_coding|chr1:[8352396,8848921)/-	4453	0.02307	2443	0.012657047379737326
SNORD128|SNORD128|snoRNA|chr1:[8494799,8494913)/-	3	2e-05	2	1.0361888972359661e-05
ENSG00000224315.2|RPL7P7|processed_pseudogene|chr1:[8786210,8786913)/-	5	3e-05	4	2.0723777944719323e-05
ENSG00000228423.2|ENSG00000228423|lncRNA|chr1:[8805859,8807051)/-	20	0.0001	11	5.6990389347978135e-05
ENSG00000074800.16|ENO1|protein_coding|chr1:[8860999,8879190)/-	1030	0.00534	685	0.003548946973033184
ENSG00000197241.4|SLC2A7|protein_coding|chr1:[9002972,9026423)/-	3	2e-05	3	1.554283345853949e-05
ENSG00000142583.18|SLC2A5|protein_coding|chr1:[9035105,9088478)/-	40	0.00021	23	0.0001191617231821361
ENSG00000180758.12|GPR157|protein_coding|chr1:[9100304,9129102)/-	99	0.00051	62	0.0003212185581431495
ENSG00000228526.8|MIR34AHG|lncRNA|chr1:[9148010,9198906)/-	2243	0.01162	1424	0.007377664948320079
ENSG00000284357.1|MIR34A|miRNA|chr1:[9151667,9151777)/-	22	0.00011	13	6.735227832033779e-05
ENSG00000289914.1|ENSG00000289914|lncRNA|chr1:[9162321,9162945)/-	27	0.00014	24	0.00012434266766831592
ENSG00000234546.5|LNCTAM34A|lncRNA|chr1:[9182003,9196284)/+	190	0.00098	125	0.0006476180607724788
ENSG00000049239.13|H6PD|protein_coding|chr1:[9234773,9271337)/+	803	0.00416	530	0.0027459005776753103
ENSG00000171621.14|SPSB1|protein_coding|chr1:[9292893,9369532)/+	338	0.00175	207	0.0010724555086392249
ENSG00000171612.7|SLC25A33|protein_coding|chr1:[9539464,9585173)/+	350	0.00181	231	0.0011967981763075408
ENSG00000188807.13|TMEM201|protein_coding|chr1:[9588910,9614877)/+	47	0.00024	31	0.00016060927907157475
ENSG00000171608.18|PIK3CD|protein_coding|chr1:[9629888,9729114)/+	163	0.00084	109	0.0005647229489936015
ENSG00000231789.4|PIK3CD-AS2|lncRNA|chr1:[9672404,9687583)/-	26	0.00013	17	8.807605626505712e-05
ENSG00000171603.18|CLSTN1|protein_coding|chr1:[9728925,9823984)/-	1160	0.00601	795	0.004118850866512965
ENSG00000178585.15|CTNNBIP1|protein_coding|chr1:[9848275,9910336)/-	220	0.00114	142	0.000735694117037536
ENSG00000162441.12|LZIC|protein_coding|chr1:[9922112,9943407)/-	272	0.00141	186	0.0009636556744294485
ENSG00000173614.14|NMNAT1|protein_coding|chr1:[9943427,9985501)/+	226	0.00117	148	0.000766779783954615
ENSG00000228150.1|ENSG00000228150|lncRNA|chr1:[9942922,9949974)/+	26	0.00013	21	0.00010879983420977644
ENSG00000202415.1|RN7SKP269|misc_RNA|chr1:[9947317,9947636)/+	4	2e-05	3	1.554283345853949e-05
ENSG00000283611.2|TMEM274P|unitary_pseudogene|chr1:[9950571,9960787)/-	7	4e-05	3	1.554283345853949e-05
ENSG00000241326.1|ENSG00000241326|lncRNA|chr1:[9983140,9984568)/+	40	0.00021	26	0.00013470455664067559
ENSG00000130939.20|UBE4B|protein_coding|chr1:[10032831,10181239)/+	2097	0.01086	1377	0.0071341605574696265
ENSG00000233623.2|PGAM1P11|processed_pseudogene|chr1:[10058670,10059648)/+	6	3e-05	5	2.590472243089915e-05
ENSG00000054523.20|KIF1B|protein_coding|chr1:[10210569,10381603)/+	2302	0.01193	1497	0.007755873895811206
ENSG00000264881.1|ENSG00000264881|miRNA|chr1:[10227717,10227803)/+	2	1e-05	1	5.180944486179831e-06
ENSG00000264501.2|RN7SL731P|misc_RNA|chr1:[10306464,10306757)/+	19	0.0001	13	6.735227832033779e-05
