Geneinfo	sum_inter_counts	mean_inter_counts	bin_counts	bin_ratio
ENSG00000225630.1|MTND2P28|unprocessed_pseudogene|chr1:[629639,630683)/+	5	2e-05	3	9.68726286387781e-06
ENSG00000230021.10|ENSG00000230021|transcribed_processed_pseudogene|chr1:[586070,827796)/-	77	0.00025	58	0.00018728708203497103
ENSG00000291215.1|ENSG00000291215|lncRNA|chr1:[725884,778688)/-	6	2e-05	5	1.614543810646302e-05
ENSG00000237491.10|LINC01409|lncRNA|chr1:[778746,810065)/+	19	6e-05	15	4.8436314319389054e-05
ENSG00000290784.1|ENSG00000290784|lncRNA|chr1:[800878,817712)/-	11	4e-05	10	3.229087621292604e-05
ENSG00000225880.6|LINC00115|lncRNA|chr1:[824227,827539)/-	4	1e-05	3	9.68726286387781e-06
ENSG00000228794.12|LINC01128|lncRNA|chr1:[825137,859446)/+	37	0.00012	24	7.749810291102249e-05
ENSG00000272438.1|ENSG00000272438|lncRNA|chr1:[904833,915976)/+	28	9e-05	20	6.458175242585208e-05
ENSG00000230699.2|ENSG00000230699|lncRNA|chr1:[911434,914948)/+	8	3e-05	6	1.937452572775562e-05
ENSG00000223764.2|LINC02593|lncRNA|chr1:[916864,921016)/-	26	8e-05	18	5.8123577183266865e-05
ENSG00000188976.11|NOC2L|protein_coding|chr1:[944202,959309)/-	91	0.00029	62	0.00020020343252014143
ENSG00000187961.15|KLHL17|protein_coding|chr1:[960583,965719)/+	10	3e-05	7	2.2603613349048227e-05
ENSG00000187642.10|PERM1|protein_coding|chr1:[975197,982117)/-	2	1e-05	1	3.2290876212926037e-06
ENSG00000187583.11|PLEKHN1|protein_coding|chr1:[966481,975865)/+	5	2e-05	2	6.4581752425852075e-06
.	179199	0.57865	22848	0.07377819397129341
ENSG00000272512.1|ENSG00000272512|lncRNA|chr1:[995965,998051)/-	33	0.00011	26	8.39562781536077e-05
ENSG00000188290.11|HES4|protein_coding|chr1:[998961,1000172)/-	13	4e-05	8	2.583270097034083e-05
ENSG00000187608.10|ISG15|protein_coding|chr1:[1001137,1014540)/+	62	0.0002	45	0.00014530894295816717
ENSG00000224969.1|ENSG00000224969|lncRNA|chr1:[1011996,1013193)/-	1	0.0	1	3.2290876212926037e-06
ENSG00000188157.15|AGRN|protein_coding|chr1:[1020119,1056118)/+	799	0.00258	525	0.001695271001178617
ENSG00000242590.1|ENSG00000242590|lncRNA|chr1:[1055032,1056116)/+	161	0.00052	105	0.0003390542002357234
ENSG00000131591.18|C1orf159|protein_coding|chr1:[1081817,1116361)/-	221	0.00071	146	0.00047144679270872016
ENSG00000078808.20|SDF4|protein_coding|chr1:[1216930,1232031)/-	477	0.00154	325	0.0010494534769200962
ENSG00000176022.7|B3GALT6|protein_coding|chr1:[1232236,1235041)/+	101	0.00033	71	0.00022926522111177487
ENSG00000260179.1|ENSG00000260179|lncRNA|chr1:[1249776,1251334)/-	9	3e-05	5	1.614543810646302e-05
ENSG00000160087.21|UBE2J2|protein_coding|chr1:[1253908,1273864)/-	329	0.00106	216	0.0006974829261992024
ENSG00000230415.1|LINC01786|lncRNA|chr1:[1275222,1280420)/+	21	7e-05	13	4.197813907680385e-05
ENSG00000162572.21|SCNN1D|protein_coding|chr1:[1280435,1292029)/+	14	5e-05	10	3.229087621292604e-05
ENSG00000131584.19|ACAP3|protein_coding|chr1:[1292389,1309609)/-	194	0.00063	129	0.00041655230314674587
SNORD167|SNORD167|snoRNA|chr1:[1304728,1304812)/-	5	2e-05	3	9.68726286387781e-06
ENSG00000169972.13|PUSL1|protein_coding|chr1:[1308596,1311677)/+	28	9e-05	17	5.4894489561974266e-05
ENSG00000127054.22|INTS11|protein_coding|chr1:[1311584,1324687)/-	181	0.00058	120	0.00038749051455511243
ENSG00000240731.1|ENSG00000240731|lncRNA|chr1:[1317580,1318689)/-	55	0.00018	42	0.00013562168009428936
ENSG00000107404.21|DVL1|protein_coding|chr1:[1335275,1349418)/-	137	0.00044	92	0.0002970760611589195
ENSG00000162576.17|MXRA8|protein_coding|chr1:[1352688,1361777)/-	732	0.00236	477	0.001540274795356572
ENSG00000175756.14|AURKAIP1|protein_coding|chr1:[1373729,1375207)/-	64	0.00021	38	0.00012270532960911894
ENSG00000221978.13|CCNL2|protein_coding|chr1:[1385710,1399335)/-	959	0.0031	653	0.00210859421670407
ENSG00000224870.9|MRPL20-AS1|lncRNA|chr1:[1399514,1402046)/+	15	5e-05	10	3.229087621292604e-05
ENSG00000242485.6|MRPL20|protein_coding|chr1:[1401908,1407293)/-	169	0.00055	117	0.00037780325169123465
