chrom	start	end	snRNA_Shap
chr1	41453568	41455616	-14.014604568481445
chr1	41455616	41457664	-14.31250286102295
chr1	41492480	41494528	-15.301658630371094
chr1	41682944	41684992	-17.569534301757812
chr1	41709568	41711616	-17.05733871459961
chr1	41713664	41715712	-16.05706787109375
chr1	41719808	41721856	-14.256505966186523
chr1	41721856	41723904	-14.248250961303711
chr20	57352192	57354240	-20.32259750366211
chr5	139460608	139462656	-14.8839693069458
chr5	139493376	139495424	-21.601551055908203
chr5	139497472	139499520	-16.760793685913086
chr5	139563008	139565056	-19.37047576904297
chr5	139581440	139583488	-23.440338134765625
chr5	139585536	139587584	-18.07187271118164
chr5	139608064	139610112	-16.299158096313477
chr5	139612160	139614208	-17.15864372253418
chr5	139614208	139616256	-17.08517074584961
chr5	139624448	139626496	-38.07424545288086
chr5	139626496	139628544	-28.579381942749023
chr5	139632640	139634688	-14.0958890914917
chr5	139638784	139640832	-17.34622573852539
chr5	139640832	139642880	-13.338641166687012
chr5	139642880	139644928	-13.502911567687988
chr5	139675648	139677696	-19.384798049926758
chr5	139681792	139683840	-19.873594284057617
chr5	139689984	139692032	-18.30216407775879
chr5	139696128	139698176	-13.88902759552002
chr5	139700224	139702272	-21.66031265258789
chr5	139710464	139712512	-19.895084381103516
chr5	139728896	139730944	-15.201431274414062
chr4	38160384	38162432	-16.08899688720703
chr4	38887424	38889472	-17.79542350769043
chr4	38897664	38899712	-24.344470977783203
chr4	38916096	38918144	-13.339475631713867
chr4	38926336	38928384	-14.800176620483398
chr4	38940672	38942720	-22.86331558227539
chr11	19607552	19609600	-14.119237899780273
chr11	19611648	19613696	-15.412397384643555
chr11	19634176	19636224	-18.962533950805664
chr11	19671040	19673088	-19.402456283569336
chr11	19683328	19685376	-22.066102981567383
chr11	19689472	19691520	-14.895998001098633
chr11	19693568	19695616	-20.483196258544922
chr12	26658816	26660864	-15.893095016479492
chr12	26767360	26769408	-14.031575202941895
chr12	26916864	26918912	-20.105876922607422
chr12	26935296	26937344	-18.9816837310791
chr12	26941440	26943488	-30.253887176513672
chr15	49104896	49106944	-18.416749954223633
chr15	49121280	49123328	-23.503467559814453
chr15	49125376	49127424	-18.080089569091797
chr15	49147904	49149952	-14.795616149902344
chr15	49158144	49160192	-20.1621036529541
chr1	94871552	94873600	-19.738121032714844
chr1	94973952	94976000	-13.57477855682373
chr1	95002624	95004672	-14.962628364562988
chr1	95010816	95012864	-15.535296440124512
chr1	95025152	95027200	-16.04611587524414
chr1	95035392	95037440	-17.760984420776367
chr1	95070208	95072256	-22.626941680908203
chr1	95088640	95090688	-15.345563888549805
chr15	85489664	85491712	-13.68725872039795
chr15	85526528	85528576	-20.144474029541016
chr15	85544960	85547008	-16.33914566040039
chr15	85553152	85555200	-17.30904769897461
chr15	85567488	85569536	-15.081094741821289
chr15	85579776	85581824	-14.094659805297852
chr15	85587968	85590016	-19.484683990478516
chr15	85594112	85596160	-16.67322540283203
chr15	85598208	85600256	-20.492420196533203
chr15	85600256	85602304	-15.37610912322998
chr15	85604352	85606400	-23.68552589416504
chr15	85606400	85608448	-22.52383041381836
chr15	85612544	85614592	-16.306819915771484
chr15	85620736	85622784	-28.69498062133789
chr15	85626880	85628928	-16.38639259338379
chr15	85637120	85639168	-17.788379669189453
chr15	85643264	85645312	-13.78656005859375
chr15	85653504	85655552	-21.37764549255371
chr15	85663744	85665792	-20.10335922241211
chr15	85671936	85673984	-26.068405151367188
chr15	85673984	85676032	-26.210351943969727
chr15	85690368	85692416	-20.69813346862793
chr15	85723136	85725184	-17.143535614013672
chr15	85725184	85727232	-26.17144775390625
chr15	85741568	85743616	-18.744691848754883
chr15	85760000	85762048	-16.445833206176758
chr15	85764096	85766144	-16.833951950073242
chr12	29333504	29335552	-13.822360038757324
chr10	101910528	101912576	-13.45958423614502
chr10	101912576	101914624	-21.23215675354004
chr10	101918720	101920768	-19.999778747558594
chr10	101922816	101924864	-19.971738815307617
chr10	101924864	101926912	-16.558216094970703
chr10	101941248	101943296	-15.336540222167969
chr10	101955584	101957632	-17.064638137817383
chr10	101957632	101959680	-16.420265197753906
chr10	101961728	101963776	-17.541893005371094
chr10	101974016	101976064	-19.375579833984375
chr10	101986304	101988352	-13.652331352233887
chr10	102012928	102014976	-18.006977081298828
chr10	102068224	102070272	-16.22269058227539
chr10	102121472	102123520	-15.907432556152344
chr10	102137856	102139904	-15.812817573547363
chr10	102139904	102141952	-13.650331497192383
chr10	102160384	102162432	-21.012346267700195
chr10	102234112	102236160	-16.037303924560547
chr10	102281216	102283264	-15.455711364746094
chr10	102283264	102285312	-15.199302673339844
chr10	102299648	102301696	-21.394817352294922
chr10	102313984	102316032	-25.13418197631836
chr10	102318080	102320128	-22.68454933166504
chr10	102326272	102328320	-13.324994087219238
chr10	102332416	102334464	-15.758949279785156
