Geneinfo	sum_inter_counts	mean_inter_counts	bin_counts	bin_ratio
ENSG00000225972.1|MTND1P23|unprocessed_pseudogene|chr1:[629061,629433)/+	5	4e-05	5	4.491919037651265e-05
ENSG00000290784.1|ENSG00000290784|lncRNA|chr1:[800878,817712)/-	2	2e-05	2	1.7967676150605062e-05
ENSG00000230021.10|ENSG00000230021|transcribed_processed_pseudogene|chr1:[586070,827796)/-	34	0.00031	23	0.0002066282757319582
ENSG00000225880.6|LINC00115|lncRNA|chr1:[824227,827539)/-	4	4e-05	3	2.6951514225907593e-05
ENSG00000272438.1|ENSG00000272438|lncRNA|chr1:[904833,915976)/+	10	9e-05	5	4.491919037651265e-05
ENSG00000223764.2|LINC02593|lncRNA|chr1:[916864,921016)/-	5	4e-05	4	3.5935352301210124e-05
ENSG00000188976.11|NOC2L|protein_coding|chr1:[944202,959309)/-	38	0.00034	23	0.0002066282757319582
.	58125	0.52219	7947	0.07139456118442922
ENSG00000272512.1|ENSG00000272512|lncRNA|chr1:[995965,998051)/-	12	0.00011	7	6.288686652711771e-05
ENSG00000224969.1|ENSG00000224969|lncRNA|chr1:[1011996,1013193)/-	1	1e-05	1	8.983838075302531e-06
ENSG00000187608.10|ISG15|protein_coding|chr1:[1001137,1014540)/+	33	0.0003	20	0.0001796767615060506
ENSG00000188157.15|AGRN|protein_coding|chr1:[1020119,1056118)/+	264	0.00237	173	0.0015542039870273378
ENSG00000242590.1|ENSG00000242590|lncRNA|chr1:[1055032,1056116)/+	66	0.00059	46	0.0004132565514639164
ENSG00000131591.18|C1orf159|protein_coding|chr1:[1081817,1116361)/-	87	0.00078	58	0.0005210626083675467
ENSG00000078808.20|SDF4|protein_coding|chr1:[1216930,1232031)/-	211	0.0019	142	0.0012757050066929594
ENSG00000176022.7|B3GALT6|protein_coding|chr1:[1232236,1235041)/+	36	0.00032	22	0.00019764443765665567
ENSG00000260179.1|ENSG00000260179|lncRNA|chr1:[1249776,1251334)/-	9	8e-05	6	5.3903028451815186e-05
ENSG00000160087.21|UBE2J2|protein_coding|chr1:[1253908,1273864)/-	109	0.00098	72	0.0006468363414217823
ENSG00000162572.21|SCNN1D|protein_coding|chr1:[1280435,1292029)/+	7	6e-05	5	4.491919037651265e-05
ENSG00000131584.19|ACAP3|protein_coding|chr1:[1292389,1309609)/-	58	0.00052	45	0.00040427271338861387
ENSG00000127054.22|INTS11|protein_coding|chr1:[1311584,1324687)/-	75	0.00067	47	0.00042224038953921897
ENSG00000240731.1|ENSG00000240731|lncRNA|chr1:[1317580,1318689)/-	26	0.00023	21	0.00018866059958135315
ENSG00000107404.21|DVL1|protein_coding|chr1:[1335275,1349418)/-	61	0.00055	37	0.00033240200878619365
ENSG00000162576.17|MXRA8|protein_coding|chr1:[1352688,1361777)/-	270	0.00243	180	0.0016170908535544555
