Geneinfo	sum_inter_counts	mean_inter_counts	bin_counts	bin_ratio
ENSG00000290784.1|ENSG00000290784|lncRNA|chr1:[800878,817712)/-	2	0.00056	2	0.0005621135469364812
ENSG00000230021.10|ENSG00000230021|transcribed_processed_pseudogene|chr1:[586070,827796)/-	5	0.00141	3	0.0008431703204047217
ENSG00000272438.1|ENSG00000272438|lncRNA|chr1:[904833,915976)/+	3	0.00084	1	0.0002810567734682406
ENSG00000188976.11|NOC2L|protein_coding|chr1:[944202,959309)/-	2	0.00056	2	0.0005621135469364812
ENSG00000188157.15|AGRN|protein_coding|chr1:[1020119,1056118)/+	13	0.00365	8	0.0022484541877459247
ENSG00000242590.1|ENSG00000242590|lncRNA|chr1:[1055032,1056116)/+	13	0.00365	6	0.0016863406408094434
ENSG00000131591.18|C1orf159|protein_coding|chr1:[1081817,1116361)/-	7	0.00197	5	0.001405283867341203
ENSG00000160087.21|UBE2J2|protein_coding|chr1:[1253908,1273864)/-	7	0.00197	4	0.0011242270938729624
ENSG00000240731.1|ENSG00000240731|lncRNA|chr1:[1317580,1318689)/-	2	0.00056	2	0.0005621135469364812
ENSG00000127054.22|INTS11|protein_coding|chr1:[1311584,1324687)/-	4	0.00112	3	0.0008431703204047217
ENSG00000162576.17|MXRA8|protein_coding|chr1:[1352688,1361777)/-	20	0.00562	15	0.0042158516020236085
ENSG00000221978.13|CCNL2|protein_coding|chr1:[1385710,1399335)/-	31	0.00871	20	0.005621135469364812
ENSG00000160072.20|ATAD3B|protein_coding|chr1:[1471764,1497848)/+	3	0.00084	3	0.0008431703204047217
ENSG00000160075.12|SSU72|protein_coding|chr1:[1541672,1574863)/-	11	0.00309	9	0.002529510961214165
ENSG00000008128.23|CDK11A|protein_coding|chr1:[1702378,1724357)/-	3	0.00084	2	0.0005621135469364812
ENSG00000268575.1|ENSG00000268575|lncRNA|chr1:[1702735,1737688)/-	4	0.00112	3	0.0008431703204047217
ENSG00000078369.19|GNB1|protein_coding|chr1:[1785284,1892292)/-	82	0.02305	43	0.012085441259134345
ENSG00000162585.17|FAAP20|protein_coding|chr1:[2184460,2212720)/-	5	0.00141	3	0.0008431703204047217
ENSG00000157933.11|SKI|protein_coding|chr1:[2227387,2310213)/+	57	0.01602	39	0.010961214165261383
ENSG00000157916.20|RER1|protein_coding|chr1:[2391774,2405442)/+	26	0.00731	17	0.00477796514896009
ENSG00000162591.17|MEGF6|protein_coding|chr1:[3487950,3611508)/-	13	0.00365	8	0.0022484541877459247
ENSG00000158109.15|TPRG1L|protein_coding|chr1:[3625014,3630127)/+	3	0.00084	2	0.0005621135469364812
ENSG00000130764.10|LRRC47|protein_coding|chr1:[3778558,3796498)/-	11	0.00309	5	0.001405283867341203
ENSG00000116198.14|CEP104|protein_coding|chr1:[3812085,3857396)/-	17	0.00478	11	0.0030916245081506464
ENSG00000131697.18|NPHP4|protein_coding|chr1:[5862810,5992473)/-	12	0.00337	8	0.0022484541877459247
ENSG00000069424.16|KCNAB2|protein_coding|chr1:[5990926,6101193)/+	2	0.00056	2	0.0005621135469364812
ENSG00000285629.1|ENSG00000285629|protein_coding|chr1:[6159429,6197757)/-	20	0.00562	11	0.0030916245081506464
ENSG00000116251.11|RPL22|protein_coding|chr1:[6185019,6209389)/-	23	0.00646	12	0.003372681281618887
ENSG00000097021.21|ACOT7|protein_coding|chr1:[6264268,6393767)/-	6	0.00169	4	0.0011242270938729624
ENSG00000162408.11|NOL9|protein_coding|chr1:[6521346,6554513)/-	16	0.0045	10	0.002810567734682406
ENSG00000162413.17|KLHL21|protein_coding|chr1:[6590723,6614607)/-	5	0.00141	5	0.001405283867341203
ENSG00000007923.17|DNAJC11|protein_coding|chr1:[6634167,6701924)/-	25	0.00703	16	0.004496908375491849
ENSG00000171735.20|CAMTA1|protein_coding|chr1:[6785453,7769706)/+	47	0.01321	33	0.00927487352445194
ENSG00000049245.13|VAMP3|protein_coding|chr1:[7771295,7781432)/+	32	0.00899	21	0.005902192242833052
ENSG00000116288.13|PARK7|protein_coding|chr1:[7954290,7985505)/+	14	0.00393	10	0.002810567734682406
.	3597	1.01096	259	0.07279370432827431
ENSG00000116285.13|ERRFI1|protein_coding|chr1:[8004403,8026309)/-	11	0.00309	6	0.0016863406408094434
ENSG00000142599.20|RERE|protein_coding|chr1:[8352396,8848921)/-	100	0.02811	50	0.014052838673412029
ENSG00000074800.16|ENO1|protein_coding|chr1:[8860999,8879190)/-	33	0.00927	18	0.00505902192242833
ENSG00000142583.18|SLC2A5|protein_coding|chr1:[9035105,9088478)/-	6	0.00169	3	0.0008431703204047217
ENSG00000228526.8|MIR34AHG|lncRNA|chr1:[9148010,9198906)/-	65	0.01827	46	0.012928611579539067
ENSG00000049239.13|H6PD|protein_coding|chr1:[9234773,9271337)/+	20	0.00562	11	0.0030916245081506464
ENSG00000171621.14|SPSB1|protein_coding|chr1:[9292893,9369532)/+	7	0.00197	4	0.0011242270938729624
ENSG00000171612.7|SLC25A33|protein_coding|chr1:[9539464,9585173)/+	7	0.00197	3	0.0008431703204047217
ENSG00000171603.18|CLSTN1|protein_coding|chr1:[9728925,9823984)/-	41	0.01152	27	0.007588532883642495
ENSG00000173614.14|NMNAT1|protein_coding|chr1:[9943427,9985501)/+	8	0.00225	6	0.0016863406408094434
ENSG00000130939.20|UBE4B|protein_coding|chr1:[10032831,10181239)/+	53	0.0149	35	0.00983698707138842
