chrom	start	end	other_smallRNA_Shap
chrX	124899328	124901376	9.758874893188477
chrX	124946432	124948480	8.06334400177002
chrX	124991488	124993536	16.57590675354004
chrX	125009920	125011968	14.617849349975586
chrX	125014016	125016064	9.37248706817627
chrX	125270016	125272064	7.858870506286621
chrX	9000960	9003008	5.332759857177734
chrX	9035776	9037824	8.382226943969727
chr11	41609216	41611264	9.863229751586914
chr1	41287680	41289728	5.3721513748168945
chr1	41338880	41340928	6.410465240478516
chr1	41650176	41652224	5.495140552520752
chr1	41687040	41689088	5.830139636993408
chr20	57356288	57358336	8.163507461547852
chr5	139419648	139421696	5.89631462097168
chr5	139776000	139778048	5.665438652038574
chr5	140017664	140019712	9.736726760864258
chr5	140040192	140042240	13.54478645324707
chr4	25233408	25235456	6.834523677825928
chr4	25350144	25352192	17.839954376220703
chr4	25356288	25358336	17.168277740478516
chr4	25401344	25403392	12.40188217163086
chr4	25411584	25413632	10.764001846313477
chr4	25417728	25419776	16.943641662597656
chr4	25419776	25421824	12.535745620727539
chr4	25452544	25454592	11.351936340332031
chr4	25456640	25458688	7.681066036224365
chr4	38174720	38176768	7.739536285400391
chr4	38676480	38678528	12.325530052185059
chr4	38690816	38692864	14.356013298034668
chr4	38692864	38694912	10.522180557250977
chr4	38703104	38705152	12.748941421508789
chr4	38713344	38715392	8.317537307739258
chr4	38936576	38938624	6.333127498626709
chr11	19816448	19818496	7.115496635437012
chr12	26187776	26189824	7.353049278259277
chr12	26193920	26195968	9.708850860595703
chr12	26730496	26732544	5.396866321563721
chr12	26814464	26816512	6.11590576171875
chr12	26865664	26867712	6.708822727203369
chr12	26923008	26925056	13.154657363891602
chr4	63758336	63760384	14.714553833007812
chr18	74604544	74606592	6.534698486328125
chr18	74641408	74643456	13.192461013793945
chr18	74780672	74782720	5.570041656494141
chr18	74799104	74801152	6.713889122009277
chr18	74803200	74805248	5.648483753204346
chr15	49137664	49139712	5.87667179107666
chr15	49174528	49176576	11.53042221069336
chr15	49385472	49387520	7.6081085205078125
chr15	49465344	49467392	7.299790382385254
chr1	94894080	94896128	8.810583114624023
chr1	94898176	94900224	6.878739833831787
chr1	94912512	94914560	6.987452507019043
chr1	94947328	94949376	7.1061224937438965
chr1	94955520	94957568	5.427116394042969
chr1	94973952	94976000	6.708853244781494
chr1	94976000	94978048	6.510197639465332
chr1	94990336	94992384	6.5659918785095215
chr1	95002624	95004672	5.870814323425293
chr1	95004672	95006720	5.401802062988281
chr1	95072256	95074304	7.603979587554932
chr1	95528960	95531008	9.035554885864258
chr21	20221952	20224000	10.849963188171387
chr9	30406656	30408704	7.105656623840332
chr9	30810112	30812160	12.312409400939941
chr9	31209472	31211520	7.012633323669434
chr15	85366784	85368832	5.694364070892334
chr15	85379072	85381120	6.0581254959106445
chr15	85389312	85391360	5.94893741607666
chr15	85727232	85729280	11.225221633911133
chr15	85813248	85815296	13.252744674682617
chr15	85817344	85819392	15.90284252166748
chr15	85825536	85827584	9.381211280822754
chr15	86108160	86110208	5.4493632316589355
chr15	86224896	86226944	11.948358535766602
chr12	29356032	29358080	9.133501052856445
chr12	29366272	29368320	9.398770332336426
chr12	29376512	29378560	5.577827453613281
chr10	101738496	101740544	8.082844734191895
chr10	101916672	101918720	5.4106035232543945
chr10	102103040	102105088	5.36313533782959
chr10	102107136	102109184	7.907102108001709
chr1	207167488	207169536	5.415246486663818
chr1	207187968	207190016	6.743215084075928
chr1	238528512	238530560	6.270244121551514
chr1	238536704	238538752	6.058608531951904
chr1	238538752	238540800	8.039743423461914
chr7	100100096	100102144	10.416864395141602
chr10	120846336	120848384	6.066184043884277
chr10	120848384	120850432	6.085250377655029
chr10	120850432	120852480	16.621400833129883
chr10	120852480	120854528	7.221612453460693
chr10	120860672	120862720	10.077996253967285
chr10	120866816	120868864	8.965564727783203
chr10	120870912	120872960	9.389461517333984
chr10	120872960	120875008	7.209134101867676
chr10	120875008	120877056	12.8300142288208
chr10	120885248	120887296	19.5317325592041
chr10	120961024	120963072	7.88228702545166
chr10	52387840	52389888	7.116342067718506
chr10	52441088	52443136	6.759737968444824
chr10	52512768	52514816	7.129083156585693
chr10	52600832	52602880	5.338487148284912
chr10	53157888	53159936	6.713114261627197
chr10	53188608	53190656	8.534927368164062
chr13	38926336	38928384	10.0964994430542
chr13	39024640	39026688	8.61937427520752
chr13	39028736	39030784	8.357536315917969
chr13	39036928	39038976	7.644312381744385
chr13	39047168	39049216	16.429967880249023
chr11	14284800	14286848	9.614492416381836
chr11	14286848	14288896	6.49780797958374
chr11	14354432	14356480	5.887504577636719
chr11	14379008	14381056	6.432222843170166
chr11	14405632	14407680	6.0837483406066895
chr11	14643200	14645248	7.150473594665527
chr8	135612416	135614464	5.476698875427246
chr8	136327168	136329216	6.131814479827881
chr1	23582720	23584768	5.474899768829346
chr1	23930880	23932928	16.958316802978516
chr1	23965696	23967744	6.314399242401123
chr1	24178688	24180736	5.620108604431152
chr1	24262656	24264704	5.475331783294678
chr1	24320000	24322048	8.390069007873535
chr1	24414208	24416256	8.676718711853027
chr22	44718080	44720128	16.697107315063477
chr22	45182976	45185024	5.247482776641846
chr22	45185024	45187072	6.961953639984131
chr4	25352192	25354240	6.926339626312256
chr4	25387008	25389056	5.949020862579346
chr4	165111808	165113856	5.708205223083496
chr4	165238784	165240832	7.933093070983887
chr1	158826496	158828544	5.981281280517578
chr1	158828544	158830592	6.42959451675415
chr1	158990336	158992384	5.3070173263549805
chr1	159000576	159002624	5.6594977378845215
chr1	159002624	159004672	11.942708015441895
chr1	159012864	159014912	5.839634895324707
chr1	159029248	159031296	8.873286247253418
chr1	159039488	159041536	10.8644380569458
chr1	159076352	159078400	12.520339012145996
chr1	159129600	159131648	11.140524864196777
