Geneinfo	sum_inter_counts	mean_inter_counts	bin_counts	bin_ratio
ENSG00000225972.1|MTND1P23|unprocessed_pseudogene|chr1:[629061,629433)/+	21	9e-05	14	6.190444606575136e-05
ENSG00000230021.10|ENSG00000230021|transcribed_processed_pseudogene|chr1:[586070,827796)/-	102	0.00045	64	0.00028299175344343483
ENSG00000291215.1|ENSG00000291215|lncRNA|chr1:[725884,778688)/-	7	3e-05	3	1.3265238442661008e-05
ENSG00000237491.10|LINC01409|lncRNA|chr1:[778746,810065)/+	24	0.00011	15	6.632619221330503e-05
ENSG00000290784.1|ENSG00000290784|lncRNA|chr1:[800878,817712)/-	9	4e-05	8	3.5373969180429353e-05
ENSG00000230092.8|ENSG00000230092|transcribed_unprocessed_pseudogene|chr1:[805798,810161)/-	7	3e-05	4	1.7686984590214677e-05
ENSG00000177757.2|FAM87B|lncRNA|chr1:[817370,819837)/+	2	1e-05	1	4.421746147553669e-06
ENSG00000225880.6|LINC00115|lncRNA|chr1:[824227,827539)/-	10	4e-05	7	3.095222303287568e-05
ENSG00000228794.12|LINC01128|lncRNA|chr1:[825137,859446)/+	54	0.00024	33	0.00014591762286927107
ENSG00000288531.1|ENSG00000288531|lncRNA|chr1:[860225,868202)/+	1	0.0	1	4.421746147553669e-06
ENSG00000272438.1|ENSG00000272438|lncRNA|chr1:[904833,915976)/+	22	0.0001	12	5.306095377064403e-05
ENSG00000230699.2|ENSG00000230699|lncRNA|chr1:[911434,914948)/+	9	4e-05	5	2.2108730737768346e-05
ENSG00000223764.2|LINC02593|lncRNA|chr1:[916864,921016)/-	22	0.0001	18	7.959143065596604e-05
.	144986	0.64109	17438	0.07710640932104088
ENSG00000187634.13|SAMD11|protein_coding|chr1:[923922,944575)/+	21	9e-05	18	7.959143065596604e-05
ENSG00000188976.11|NOC2L|protein_coding|chr1:[944202,959309)/-	88	0.00039	57	0.00025203953041055913
ENSG00000187583.11|PLEKHN1|protein_coding|chr1:[966481,975865)/+	2	1e-05	2	8.843492295107338e-06
ENSG00000272512.1|ENSG00000272512|lncRNA|chr1:[995965,998051)/-	27	0.00012	19	8.401317680351971e-05
ENSG00000188290.11|HES4|protein_coding|chr1:[998961,1000172)/-	23	0.0001	12	5.306095377064403e-05
ENSG00000187608.10|ISG15|protein_coding|chr1:[1001137,1014540)/+	68	0.0003	47	0.00020782206893502243
ENSG00000188157.15|AGRN|protein_coding|chr1:[1020119,1056118)/+	704	0.00311	449	0.001985364020251597
ENSG00000242590.1|ENSG00000242590|lncRNA|chr1:[1055032,1056116)/+	164	0.00073	107	0.00047312683778824257
ENSG00000131591.18|C1orf159|protein_coding|chr1:[1081817,1116361)/-	220	0.00097	149	0.0006588401759854966
ENSG00000205231.1|TTLL10-AS1|lncRNA|chr1:[1173055,1179555)/-	5	2e-05	2	8.843492295107338e-06
ENSG00000078808.20|SDF4|protein_coding|chr1:[1216930,1232031)/-	405	0.00179	283	0.0012513541597576883
ENSG00000176022.7|B3GALT6|protein_coding|chr1:[1232236,1235041)/+	78	0.00034	55	0.0002431960381154518
ENSG00000260179.1|ENSG00000260179|lncRNA|chr1:[1249776,1251334)/-	14	6e-05	9	3.979571532798302e-05
ENSG00000160087.21|UBE2J2|protein_coding|chr1:[1253908,1273864)/-	275	0.00122	184	0.0008136012911498751
ENSG00000230415.1|LINC01786|lncRNA|chr1:[1275222,1280420)/+	22	0.0001	12	5.306095377064403e-05
ENSG00000162572.21|SCNN1D|protein_coding|chr1:[1280435,1292029)/+	20	9e-05	11	4.863920762309036e-05
ENSG00000131584.19|ACAP3|protein_coding|chr1:[1292389,1309609)/-	141	0.00062	94	0.00041564413787004487
ENSG00000278073.1|MIR6726|miRNA|chr1:[1296109,1296170)/-	3	1e-05	2	8.843492295107338e-06
ENSG00000169972.13|PUSL1|protein_coding|chr1:[1308596,1311677)/+	19	8e-05	14	6.190444606575136e-05
ENSG00000127054.22|INTS11|protein_coding|chr1:[1311584,1324687)/-	141	0.00062	92	0.00040680064557493755
ENSG00000240731.1|ENSG00000240731|lncRNA|chr1:[1317580,1318689)/-	34	0.00015	26	0.00011496539983639539
ENSG00000224051.7|CPTP|protein_coding|chr1:[1324755,1328896)/+	33	0.00015	22	9.727841524618072e-05
ENSG00000107404.21|DVL1|protein_coding|chr1:[1335275,1349418)/-	117	0.00052	85	0.00037584842254206186
ENSG00000162576.17|MXRA8|protein_coding|chr1:[1352688,1361777)/-	664	0.00294	437	0.0019323030664809534
ENSG00000175756.14|AURKAIP1|protein_coding|chr1:[1373729,1375207)/-	65	0.00029	45	0.0001989785766399151
ENSG00000221978.13|CCNL2|protein_coding|chr1:[1385710,1399335)/-	875	0.00387	576	0.0025469257809909132
ENSG00000224870.9|MRPL20-AS1|lncRNA|chr1:[1399514,1402046)/+	28	0.00012	18	7.959143065596604e-05
ENSG00000242485.6|MRPL20|protein_coding|chr1:[1401908,1407293)/-	140	0.00062	95	0.00042006588401759856
ENSG00000215915.10|ATAD3C|protein_coding|chr1:[1449688,1470163)/+	2	1e-05	2	8.843492295107338e-06
ENSG00000160072.20|ATAD3B|protein_coding|chr1:[1471764,1497848)/+	106	0.00047	69	0.00030510048418120315
ENSG00000284740.3|ENSG00000284740|transcribed_unprocessed_pseudogene|chr1:[1503581,1509351)/+	5	2e-05	3	1.3265238442661008e-05
ENSG00000197785.14|ATAD3A|protein_coding|chr1:[1512161,1534685)/+	45	0.0002	25	0.00011054365368884172
ENSG00000205090.9|TMEM240|protein_coding|chr1:[1534777,1540624)/-	10	4e-05	6	2.6530476885322015e-05
ENSG00000160075.12|SSU72|protein_coding|chr1:[1541672,1574863)/-	496	0.00219	329	0.001454754482545157
ENSG00000272106.1|ENSG00000272106|lncRNA|chr1:[1613757,1615795)/-	16	7e-05	10	4.421746147553669e-05
ENSG00000197530.13|MIB2|protein_coding|chr1:[1615453,1630605)/+	146	0.00065	96	0.00042448763016515224
ENSG00000248333.9|CDK11B|protein_coding|chr1:[1635224,1659012)/-	38	0.00017	25	0.00011054365368884172
ENSG00000189339.12|SLC35E2B|protein_coding|chr1:[1659528,1692795)/-	180	0.0008	134	0.0005925139837721917
ENSG00000008128.23|CDK11A|protein_coding|chr1:[1702378,1724357)/-	51	0.00023	30	0.00013265238442661007
ENSG00000268575.1|ENSG00000268575|lncRNA|chr1:[1702735,1737688)/-	169	0.00075	109	0.0004819703300833499
ENSG00000290854.1|ENSG00000290854|lncRNA|chr1:[1724837,1745992)/-	125	0.00055	85	0.00037584842254206186
ENSG00000227775.3|ENSG00000227775|transcribed_processed_pseudogene|chr1:[1724511,1737251)/+	2	1e-05	2	8.843492295107338e-06
ENSG00000215790.9|SLC35E2A|transcribed_unprocessed_pseudogene|chr1:[1734689,1739557)/-	20	9e-05	13	5.7482699918197696e-05
ENSG00000008130.15|NADK|protein_coding|chr1:[1751231,1780457)/-	179	0.00079	124	0.0005482965222966549
ENSG00000078369.19|GNB1|protein_coding|chr1:[1785284,1892292)/-	3436	0.01519	2103	0.009298932148305366
ENSG00000169885.10|CALML6|protein_coding|chr1:[1915107,1917296)/+	2	1e-05	1	4.421746147553669e-06
ENSG00000142609.20|CFAP74|protein_coding|chr1:[1921950,2003837)/-	3	1e-05	3	1.3265238442661008e-05
ENSG00000067606.17|PRKCZ|protein_coding|chr1:[2050410,2185395)/+	7	3e-05	5	2.2108730737768346e-05
ENSG00000182873.5|PRKCZ-AS1|lncRNA|chr1:[2181793,2184389)/-	11	5e-05	7	3.095222303287568e-05
ENSG00000162585.17|FAAP20|protein_coding|chr1:[2184460,2212720)/-	121	0.00054	74	0.0003272092149189715
ENSG00000234396.3|ENSG00000234396|lncRNA|chr1:[2212522,2220738)/+	27	0.00012	17	7.516968450841237e-05
ENSG00000157933.11|SKI|protein_coding|chr1:[2227387,2310213)/+	1840	0.00814	1194	0.005279564900179081
ENSG00000287356.1|ENSG00000287356|lncRNA|chr1:[2315039,2323085)/+	7	3e-05	5	2.2108730737768346e-05
ENSG00000116151.14|MORN1|protein_coding|chr1:[2321252,2391707)/-	183	0.00081	120	0.0005306095377064403
ENSG00000157916.20|RER1|protein_coding|chr1:[2391774,2405442)/+	671	0.00297	448	0.0019809422741040436
ENSG00000157911.11|PEX10|protein_coding|chr1:[2403963,2413797)/-	59	0.00026	41	0.00018129159204970043
ENSG00000149527.18|PLCH2|protein_coding|chr1:[2425979,2505532)/+	1	0.0	1	4.421746147553669e-06
ENSG00000157881.16|PANK4|protein_coding|chr1:[2508536,2526597)/-	58	0.00026	42	0.00018571333819725409
ENSG00000272449.3|ENSG00000272449|lncRNA|chr1:[2530063,2547471)/+	29	0.00013	14	6.190444606575136e-05
ENSG00000157873.18|TNFRSF14|protein_coding|chr1:[2555638,2565382)/+	22	0.0001	15	6.632619221330503e-05
ENSG00000157870.17|PRXL2B|protein_coding|chr1:[2586490,2591469)/+	33	0.00015	28	0.00012380889213150272
ENSG00000142606.16|MMEL1|protein_coding|chr1:[2590638,2633016)/-	2	1e-05	2	8.843492295107338e-06
ENSG00000215912.13|TTC34|protein_coding|chr1:[2636985,2801693)/-	18	8e-05	10	4.421746147553669e-05
