chrom	start	end	snoRNA_Shap
chrX	124764160	124766208	-33.8658561706543
chrX	124776448	124778496	-23.203174591064453
chrX	124819456	124821504	-25.804336547851562
chrX	124829696	124831744	-23.184940338134766
chrX	124831744	124833792	-20.684833526611328
chrX	124860416	124862464	-44.260643005371094
chrX	124887040	124889088	-33.878334045410156
chrX	124921856	124923904	-24.809982299804688
chrX	124987392	124989440	-22.43580436706543
chrX	125048832	125050880	-31.225284576416016
chrX	125052928	125054976	-21.005748748779297
chrX	125110272	125112320	-20.121374130249023
chrX	125163520	125165568	-26.36771583557129
chrX	125214720	125216768	-25.419649124145508
chrX	125298688	125300736	-23.323028564453125
chr1	41431040	41433088	-28.443927764892578
chr1	41515008	41517056	-21.58261489868164
chr1	41613312	41615360	-24.74043846130371
chr1	41666560	41668608	-22.30343246459961
chr1	41676800	41678848	-23.400537490844727
chr1	41680896	41682944	-23.874183654785156
chr1	41703424	41705472	-25.16458511352539
chr1	41715712	41717760	-22.24759292602539
chr1	41725952	41728000	-20.4300479888916
chr20	57389056	57391104	-23.305164337158203
chr20	57407488	57409536	-26.511295318603516
chr5	139493376	139495424	-36.239784240722656
chr5	139501568	139503616	-29.92489242553711
chr5	139511808	139513856	-26.258737564086914
chr5	139517952	139520000	-50.49837875366211
chr5	139563008	139565056	-38.350162506103516
chr5	139612160	139614208	-24.013803482055664
chr5	139626496	139628544	-25.912334442138672
chr5	139649024	139651072	-26.95292091369629
chr5	139696128	139698176	-20.347698211669922
chr5	139702272	139704320	-21.650318145751953
chr5	139747328	139749376	-24.483976364135742
chr4	25378816	25380864	-57.053245544433594
chr4	25913344	25915392	-67.30236053466797
chr4	38729728	38731776	-22.03711700439453
chr4	38760448	38762496	-44.4952392578125
chr4	38866944	38868992	-35.80736541748047
chr4	38887424	38889472	-24.688522338867188
chr4	38901760	38903808	-30.255727767944336
chr4	38907904	38909952	-29.61785888671875
chr4	38922240	38924288	-23.759275436401367
chr4	38940672	38942720	-24.737668991088867
chr11	19609600	19611648	-26.64129638671875
chr11	19644416	19646464	-20.567317962646484
chr11	19646464	19648512	-26.6684513092041
chr11	19650560	19652608	-20.32738494873047
chr11	19662848	19664896	-28.752986907958984
chr11	19664896	19666944	-29.69242286682129
chr11	19668992	19671040	-21.86223030090332
chr11	19677184	19679232	-25.508695602416992
chr11	19683328	19685376	-26.516860961914062
chr12	26650624	26652672	-25.53649139404297
chr12	26656768	26658816	-21.801807403564453
chr12	26884096	26886144	-27.218481063842773
chr12	26916864	26918912	-26.0065975189209
chr12	26918912	26920960	-26.399728775024414
chr18	74653696	74655744	-27.898916244506836
chr18	74743808	74745856	-20.897369384765625
chr15	48939008	48941056	-35.886314392089844
chr15	49082368	49084416	-23.00003433227539
chr15	49092608	49094656	-21.20591926574707
chr15	49149952	49152000	-27.558115005493164
chr1	94832640	94834688	-31.45231056213379
chr1	94859264	94861312	-33.79383087158203
chr1	94863360	94865408	-21.538850784301758
chr1	94873600	94875648	-20.316085815429688
chr1	94906368	94908416	-21.91059112548828
chr1	94910464	94912512	-30.32107162475586
chr1	94920704	94922752	-28.750972747802734
chr1	94932992	94935040	-27.497100830078125
chr1	94945280	94947328	-24.05087661743164
chr1	95072256	95074304	-60.55365753173828
chr1	95238144	95240192	-25.684986114501953
chr1	95696896	95698944	-21.46146011352539
chr15	85338112	85340160	-27.335647583007812
chr15	85362688	85364736	-22.60515594482422
chr15	85364736	85366784	-20.005939483642578
chr15	85399552	85401600	-20.582290649414062
chr15	85403648	85405696	-29.723114013671875
chr15	85446656	85448704	-29.822505950927734
chr15	85544960	85547008	-21.7077693939209
chr15	85555200	85557248	-26.815044403076172
chr15	85559296	85561344	-22.316852569580078
chr15	85575680	85577728	-26.993732452392578
chr15	85606400	85608448	-22.339061737060547
chr15	85612544	85614592	-23.09683609008789
chr15	85616640	85618688	-25.30402183532715
chr15	85618688	85620736	-31.897151947021484
chr15	85620736	85622784	-27.2004337310791
chr15	85622784	85624832	-35.93246078491211
chr15	85657600	85659648	-28.126628875732422
chr15	85659648	85661696	-24.833520889282227
chr15	85673984	85676032	-20.957393646240234
chr15	85676032	85678080	-20.753597259521484
chr15	85690368	85692416	-22.92965316772461
chr15	85723136	85725184	-30.37534523010254
chr15	85725184	85727232	-23.602645874023438
chr15	85727232	85729280	-32.427818298339844
chr15	85764096	85766144	-42.57177734375
chr15	85794816	85796864	-36.25437545776367
chr12	29317120	29319168	-22.678417205810547
chr12	29333504	29335552	-21.717121124267578
chr12	29380608	29382656	-28.349313735961914
chr10	101857280	101859328	-29.531381607055664
chr10	101859328	101861376	-21.92736053466797
chr10	101879808	101881856	-25.810028076171875
chr10	101896192	101898240	-23.440420150756836
chr10	101898240	101900288	-25.565505981445312
chr10	101906432	101908480	-24.51388168334961
chr10	101914624	101916672	-20.14904022216797
chr10	101916672	101918720	-22.813087463378906
chr10	101935104	101937152	-20.777873992919922
chr10	101937152	101939200	-28.682703018188477
chr10	101939200	101941248	-24.66251564025879
chr10	101941248	101943296	-32.118656158447266
chr10	101943296	101945344	-19.947589874267578
chr10	101957632	101959680	-35.3134651184082
chr10	101961728	101963776	-20.958576202392578
chr10	101969920	101971968	-25.043018341064453
chr10	102053888	102055936	-32.78952407836914
chr10	102057984	102060032	-22.461793899536133
chr10	102133760	102135808	-32.415340423583984
chr10	102236160	102238208	-20.376195907592773
chr10	102268928	102270976	-19.910415649414062
chr10	102283264	102285312	-20.692602157592773
chr10	102285312	102287360	-22.129106521606445
chr10	102303744	102305792	-20.83626365661621
chr10	102307840	102309888	-25.709095001220703
chr10	102340608	102342656	-27.18190574645996
chr10	102348800	102350848	-29.994131088256836
chr10	102383616	102385664	-19.933258056640625
chr10	102389760	102391808	-19.935930252075195
chr10	102393856	102395904	-21.64837074279785
chr1	206469120	206471168	-21.378711700439453
chr1	206497792	206499840	-23.815805435180664
chr1	206534656	206536704	-24.724903106689453
chr1	206612480	206614528	-24.908140182495117
chr1	206811136	206813184	-23.90304183959961
chr1	207077376	207079424	-28.01780128479004
chr7	100478976	100481024	-26.836257934570312
chr7	100517888	100519936	-21.98271942138672
chr7	100554752	100556800	-28.473154067993164
chr7	100556800	100558848	-20.58243179321289
chr7	100558848	100560896	-31.401891708374023
chr7	100585472	100587520	-37.72956848144531
chr7	100587520	100589568	-24.943775177001953
chr7	100610048	100612096	-22.196182250976562
chr7	100612096	100614144	-31.540857315063477
chr7	100689920	100691968	-24.8232421875
chr7	100691968	100694016	-20.260374069213867
chr7	100788224	100790272	-21.71688461303711
chr7	100820992	100823040	-19.964534759521484
chr10	120852480	120854528	-47.312232971191406
chr10	120885248	120887296	-32.226051330566406
chr10	52422656	52424704	-32.130924224853516
chr10	52525056	52527104	-33.964393615722656
chr10	52533248	52535296	-25.831777572631836
chr10	52566016	52568064	-47.44069290161133
chr10	52596736	52598784	-25.521930694580078
chr10	52643840	52645888	-21.666040420532227
chr10	52727808	52729856	-27.70682144165039
chr13	39014400	39016448	-22.710647583007812
chr11	14249984	14252032	-27.630718231201172
chr11	14284800	14286848	-29.211618423461914
chr11	14299136	14301184	-19.828166961669922
chr11	14301184	14303232	-26.366979598999023
chr11	14303232	14305280	-20.226558685302734
chr11	14338048	14340096	-20.01206398010254
chr11	14350336	14352384	-42.736663818359375
chr11	14356480	14358528	-28.857025146484375
chr11	14374912	14376960	-23.54256820678711
chr11	14381056	14383104	-20.801555633544922
chr11	14383104	14385152	-26.44852066040039
chr11	14385152	14387200	-20.23569679260254
chr11	14387200	14389248	-25.064838409423828
chr11	14411776	14413824	-53.41206741333008
chr11	14422016	14424064	-40.92809295654297
chr11	14434304	14436352	-24.03017807006836
chr11	14442496	14444544	-30.030986785888672
chr11	14444544	14446592	-21.176708221435547
chr11	14450688	14452736	-28.07023048400879
chr11	14452736	14454784	-27.286645889282227
chr11	14454784	14456832	-45.581302642822266
chr11	14458880	14460928	-23.358421325683594
chr11	14462976	14465024	-26.687503814697266
chr11	14467072	14469120	-21.187467575073242
chr11	14471168	14473216	-32.7935676574707
chr11	14479360	14481408	-41.96078109741211
chr11	14495744	14497792	-31.218460083007812
chr11	14499840	14501888	-40.91678237915039
chr11	14518272	14520320	-25.67447280883789
chr11	14520320	14522368	-26.989837646484375
chr11	14522368	14524416	-31.77811622619629
chr8	135632896	135634944	-36.62190246582031
chr8	135645184	135647232	-28.082345962524414
chr1	23576576	23578624	-21.973377227783203
chr1	23691264	23693312	-53.5537223815918
chr1	23771136	23773184	-40.6043815612793
chr1	23773184	23775232	-22.84830093383789
chr1	23959552	23961600	-25.292537689208984
chr1	23963648	23965696	-20.175514221191406
chr1	23975936	23977984	-38.689029693603516
chr1	23977984	23980032	-73.7640609741211
chr1	24150016	24152064	-24.41876792907715
chr22	44625920	44627968	-47.124263763427734
chr22	45191168	45193216	-23.358169555664062
chr22	45195264	45197312	-23.073108673095703
chr4	25364480	25366528	-27.434375762939453
chr4	25372672	25374720	-22.597793579101562
chr4	165492736	165494784	-44.841835021972656
chr1	158849024	158851072	-22.15334701538086
chr1	159213568	159215616	-30.405813217163086
chr1	159406080	159408128	-25.066007614135742
chr4	17264640	17266688	-22.855695724487305
chr4	17471488	17473536	-49.82706832885742
chr4	17508352	17510400	-23.562824249267578
chr4	17512448	17514496	-25.430374145507812
chr4	17573888	17575936	-33.101097106933594
chr1	15525888	15527936	-38.994606018066406
chr1	15527936	15529984	-35.82187271118164
chr1	15585280	15587328	-21.321653366088867
chr1	15599616	15601664	-39.21564483642578
chr1	15603712	15605760	-30.184703826904297
chr1	15677440	15679488	-28.38834571838379
chr1	15687680	15689728	-31.14780616760254
chr1	15702016	15704064	-20.791366577148438
chr1	15716352	15718400	-22.230905532836914
chr1	15732736	15734784	-25.443584442138672
chr1	15736832	15738880	-45.86155700683594
chrX	118040576	118042624	-33.2531623840332
chrX	118044672	118046720	-21.216930389404297
chrX	118046720	118048768	-21.07394027709961
chrX	118048768	118050816	-32.86027908325195
chrX	118075392	118077440	-25.69259262084961
chrX	118097920	118099968	-27.908203125
chrX	118128640	118130688	-21.574934005737305
chrX	118134784	118136832	-20.548053741455078
chrX	118147072	118149120	-24.554882049560547
chrX	118155264	118157312	-32.98284912109375
chrX	118157312	118159360	-22.561988830566406
chrX	118343680	118345728	-30.184955596923828
chrX	118704128	118706176	-22.114957809448242
chr7	8040448	8042496	-25.30072021484375
chrX	110174208	110176256	-21.916902542114258
chrX	110241792	110243840	-20.186447143554688
chrX	110411776	110413824	-37.61343765258789
chrX	110936064	110938112	-20.35007095336914
chrX	110938112	110940160	-24.203977584838867
chrX	111015936	111017984	-22.692176818847656
chr2	198297600	198299648	-19.96132469177246
chrX	137861120	137863168	-21.705318450927734
chrX	138080256	138082304	-21.141372680664062
chrX	138133504	138135552	-20.83248519897461
chrX	138162176	138164224	-20.705862045288086
chrX	138274816	138276864	-30.346643447875977
chrX	138364928	138366976	-23.77461814880371
chrX	138375168	138377216	-20.17033576965332
chrX	138393600	138395648	-27.79166603088379
chrX	138414080	138416128	-20.771209716796875
chrX	138467328	138469376	-23.233898162841797
chrX	138483712	138485760	-22.03473472595215
chrX	138493952	138496000	-20.884902954101562
chrX	138520576	138522624	-41.10056686401367
chrX	138522624	138524672	-19.85936164855957
chrX	138530816	138532864	-23.15685272216797
chrX	138536960	138539008	-20.93885040283203
chrX	138571776	138573824	-20.80536460876465
chrX	138582016	138584064	-25.36968421936035
chrX	138586112	138588160	-21.533897399902344
chrX	138602496	138604544	-21.612037658691406
chrX	138606592	138608640	-21.48113441467285
chr7	112896000	112898048	-20.91071319580078
chr7	77885440	77887488	-20.98675537109375
chr17	28502016	28504064	-29.237945556640625
chr17	28639232	28641280	-35.466712951660156
chr17	28649472	28651520	-30.524978637695312
chr17	28661760	28663808	-67.12211608886719
chr17	28710912	28712960	-25.354110717773438
chr17	28719104	28721152	-37.728538513183594
chr17	28721152	28723200	-26.609960556030273
chr17	28725248	28727296	-30.255558013916016
chr17	28727296	28729344	-30.305761337280273
chr17	28786688	28788736	-27.788467407226562
chr17	28837888	28839936	-25.511775970458984
chr17	28841984	28844032	-24.567794799804688
chr17	28848128	28850176	-24.808523178100586
chr17	28856320	28858368	-19.948192596435547
chr17	28907520	28909568	-27.8736572265625
chr17	28921856	28923904	-22.773651123046875
chr17	28962816	28964864	-24.555194854736328
chr17	29069312	29071360	-23.514270782470703
chr17	29116416	29118464	-40.361759185791016
chr17	29218816	29220864	-26.443195343017578
chr1	179814400	179816448	-26.523136138916016
chr1	179867648	179869696	-22.9908504486084
chr1	179877888	179879936	-23.30596351623535
chr1	179888128	179890176	-30.961353302001953
chr1	179906560	179908608	-22.09218978881836
chr1	179910656	179912704	-30.164037704467773
chr1	179937280	179939328	-21.93187141418457
chr1	179939328	179941376	-25.556325912475586
chr1	179941376	179943424	-21.30941390991211
chr1	179976192	179978240	-41.360267639160156
chrX	42246144	42248192	-31.40383529663086
chrX	42266624	42268672	-39.349430084228516
chrX	42311680	42313728	-24.301944732666016
chrX	42348544	42350592	-26.6080379486084
chrX	42369024	42371072	-22.99112319946289
